Column1,Column2,Column3,Column4
,,,
New York Mets,4,St. Louis Cardinals,1
,,,
Atlanta Braves,3,Washington Nationals,2
,,,
» 2021-05-06 Standings & Scores,,,
,,,
"Friday, May 7, 2021",,,
,,,
Los Angeles Dodgers,2,Los Angeles Angels,9
,,,
Philadelphia Phillies,12,Atlanta Braves,2
,,,
Boston Red Sox,6,Baltimore Orioles,2
,,,
Pittsburgh Pirates,2,Chicago Cubs,3
,,,
Cincinnati Reds,3,Cleveland Indians,0
,,,
Minnesota Twins,7,Detroit Tigers,3
,,,
Toronto Blue Jays,4,@ Houston Astros,10
,,,
Chicago White Sox,3,Kansas City Royals,0
,,,
Milwaukee Brewers,1,Miami Marlins,6
,,,
Washington Nationals,11,New York Yankees,4
,,,
Arizona Diamondbacks,4,New York Mets,5
,,,
Tampa Bay Rays,1,Oakland Athletics,2
,,,
San Diego Padres,4,San Francisco Giants,5
,,,
Colorado Rockies,0,St. Louis Cardinals,5
,,,
Seattle Mariners,5,Texas Rangers,4
,,,
» 2021-05-07 Standings & Scores,,,
,,,
"Saturday, May 8, 2021",,,
,,,
Los Angeles Dodgers,14,Los Angeles Angels,11
,,,
Philadelphia Phillies,7,Atlanta Braves,8
,,,
Boston Red Sox,11,Baltimore Orioles,6
,,,
Pittsburgh Pirates,2,Chicago Cubs,3
,,,
Cincinnati Reds,2,Cleveland Indians,9
,,,
Minnesota Twins,3,Detroit Tigers,7
,,,
Toronto Blue Jays,8,@ Houston Astros,4
,,,
Chicago White Sox,9,Kansas City Royals,1
,,,
Milwaukee Brewers,6,Miami Marlins,2
,,,
Washington Nationals,3,New York Yankees,4
,,,
Arizona Diamondbacks,2,New York Mets,4
,,,
Tampa Bay Rays,3,Oakland Athletics,6
,,,
San Diego Padres,1,San Francisco Giants,7
,,,
Colorado Rockies,8,St. Louis Cardinals,9
,,,
Seattle Mariners,8,Texas Rangers,9
,,,
» 2021-05-08 Standings & Scores,,,
,,,
"Sunday, May 9, 2021",,,
,,,
Los Angeles Dodgers,1,Los Angeles Angels,2
,,,
Philadelphia Phillies,1,Atlanta Braves,6
,,,
Boston Red Sox,4,Baltimore Orioles,3
,,,
Pittsburgh Pirates,6,Chicago Cubs,5
,,,
Toronto Blue Jays,4,@ Houston Astros,7
,,,
Chicago White Sox,9,Kansas City Royals,3
,,,
Milwaukee Brewers,2,Miami Marlins,1
,,,
Washington Nationals,2,New York Yankees,3
,,,
Arizona Diamondbacks,2,New York Mets,4
,,,
Tampa Bay Rays,4,Oakland Athletics,3
,,,
San Diego Padres,11,San Francisco Giants,1
,,,
Colorado Rockies,0,St. Louis Cardinals,2
,,,
Seattle Mariners,2,Texas Rangers,10
,,,
» 2021-05-09 Standings & Scores,,,
,,,
"Monday, May 10, 2021",,,
,,,
Miami Marlins,2,Arizona Diamondbacks,5
,,,
Boston Red Sox,1,Baltimore Orioles,4
,,,
Los Angeles Angels,5,Houston Astros,4
,,,
Cincinnati Reds,14,Pittsburgh Pirates,1
,,,
Texas Rangers,1,San Francisco Giants,3
,,,
» 2021-05-10 Standings & Scores,,,
,,,
"Tuesday, May 11, 2021",,,
,,,
Miami Marlins,3,Arizona Diamondbacks,11
,,,
Toronto Blue Jays,5,@ Atlanta Braves,3
,,,
Oakland Athletics,3,Boston Red Sox,2
,,,
Minnesota Twins,3,Chicago White Sox,9
,,,
Chicago Cubs,2,Cleveland Indians,3
,,,
San Diego Padres,8,Colorado Rockies,1
,,,
Kansas City Royals,7,Detroit Tigers,8
,,,
Los Angeles Angels,1,Houston Astros,5
,,,
Seattle Mariners,4,Los Angeles Dodgers,6
,,,
St. Louis Cardinals,6,Milwaukee Brewers,1
,,,
Baltimore Orioles,2,New York Mets,3
,,,
Cincinnati Reds,2,Pittsburgh Pirates,7
,,,
Texas Rangers,2,San Francisco Giants,4
,,,
New York Yankees,3,Tampa Bay Rays,1
,,,
Philadelphia Phillies,6,Washington Nationals,2
,,,
» 2021-05-11 Standings & Scores,,,
,,,
"Wednesday, May 12, 2021",,,
,,,
Miami Marlins,3,Arizona Diamondbacks,2
,,,
Toronto Blue Jays,4,@ Atlanta Braves,1
,,,
Oakland Athletics,4,Boston Red Sox,1
,,,
Minnesota Twins,8,Chicago White Sox,13
,,,
Chicago Cubs,1,Cleveland Indians,2
,,,
San Diego Padres,5,Colorado Rockies,3
,,,
San Diego Padres,2,Colorado Rockies,3
,,,
Kansas City Royals,2,Detroit Tigers,4
,,,
Los Angeles Angels,1,Houston Astros,9
,,,
Seattle Mariners,1,Los Angeles Dodgers,7
,,,
St. Louis Cardinals,1,Milwaukee Brewers,4
,,,
Baltimore Orioles,1,New York Mets,7
,,,
Cincinnati Reds,5,Pittsburgh Pirates,1
,,,
New York Yankees,1,Tampa Bay Rays,0
,,,
Philadelphia Phillies,5,Washington Nationals,2
,,,
» 2021-05-12 Standings & Scores,,,
,,,
"Thursday, May 13, 2021",,,
,,,
Miami Marlins,5,Arizona Diamondbacks,1
,,,
Toronto Blue Jays,8,@ Atlanta Braves,4
,,,
Oakland Athletics,1,Boston Red Sox,8
,,,
Minnesota Twins,2,Chicago White Sox,4
,,,
Cincinnati Reds,8,Colorado Rockies,13
,,,
Kansas City Royals,3,Detroit Tigers,4
,,,
Texas Rangers,3,Houston Astros,4
,,,
St. Louis Cardinals,2,Milwaukee Brewers,0
,,,
San Francisco Giants,3,Pittsburgh Pirates,1
,,,
Cleveland Indians,4,Seattle Mariners,2
,,,
New York Yankees,1,Tampa Bay Rays,9
,,,
Philadelphia Phillies,1,Washington Nationals,5
,,,
» 2021-05-13 Standings & Scores,,,
,,,
"Friday, May 14, 2021",,,
,,,
Washington Nationals,17,Arizona Diamondbacks,2
,,,
New York Yankees,5,Baltimore Orioles,4
,,,
Los Angeles Angels,3,Boston Red Sox,4
,,,
Kansas City Royals,6,Chicago White Sox,2
,,,
Kansas City Royals,1,Chicago White Sox,3
,,,
Cincinnati Reds,6,Colorado Rockies,9
,,,
Chicago Cubs,4,Detroit Tigers,2
,,,
Texas Rangers,4,Houston Astros,10
,,,
Miami Marlins,6,Los Angeles Dodgers,9
,,,
Atlanta Braves,6,Milwaukee Brewers,3
,,,
Oakland Athletics,6,Minnesota Twins,1
,,,
San Francisco Giants,2,Pittsburgh Pirates,3
,,,
St. Louis Cardinals,4,San Diego Padres,5
,,,
Cleveland Indians,3,Seattle Mariners,7
,,,
New York Mets,2,Tampa Bay Rays,3
,,,
Philadelphia Phillies,5,Toronto Blue Jays,1
,,,
» 2021-05-14 Standings & Scores,,,
,,,
"Saturday, May 15, 2021",,,
,,,
Washington Nationals,4,Arizona Diamondbacks,11
,,,
New York Yankees,8,Baltimore Orioles,2
,,,
Los Angeles Angels,0,Boston Red Sox,9
,,,
Kansas City Royals,5,Chicago White Sox,1
,,,
Cincinnati Reds,6,Colorado Rockies,5
,,,
Chicago Cubs,8,Detroit Tigers,9
,,,
Texas Rangers,5,Houston Astros,6
,,,
Miami Marlins,0,Los Angeles Dodgers,7
,,,
Atlanta Braves,5,Milwaukee Brewers,1
,,,
Oakland Athletics,4,Minnesota Twins,5
,,,
San Francisco Giants,6,Pittsburgh Pirates,8
,,,
St. Louis Cardinals,3,San Diego Padres,13
,,,
Cleveland Indians,3,Seattle Mariners,7
,,,
New York Mets,5,Tampa Bay Rays,12
,,,
Philadelphia Phillies,0,Toronto Blue Jays,4
,,,
» 2021-05-15 Standings & Scores,,,
,,,
"Sunday, May 16, 2021",,,
,,,
Washington Nationals,3,Arizona Diamondbacks,0
,,,
New York Yankees,6,Baltimore Orioles,10
,,,
Los Angeles Angels,6,Boston Red Sox,5
,,,
Kansas City Royals,3,Chicago White Sox,4
,,,
Cincinnati Reds,7,Colorado Rockies,6
,,,
Chicago Cubs,5,Detroit Tigers,1
,,,
Texas Rangers,2,Houston Astros,6
,,,
Miami Marlins,3,Los Angeles Dodgers,2
,,,
Atlanta Braves,9,Milwaukee Brewers,10
,,,
Oakland Athletics,7,Minnesota Twins,6
,,,
San Francisco Giants,4,Pittsburgh Pirates,1
,,,
St. Louis Cardinals,3,San Diego Padres,5
,,,
Cleveland Indians,2,Seattle Mariners,3
,,,
New York Mets,1,Tampa Bay Rays,7
,,,
Philadelphia Phillies,8,Toronto Blue Jays,10
,,,
» 2021-05-16 Standings & Scores,,,
,,,
"Monday, May 17, 2021",,,
,,,
Cleveland Indians,4,Los Angeles Angels,7
,,,
New York Mets,3,Atlanta Braves,1
,,,
Washington Nationals,3,Chicago Cubs,7
,,,
San Francisco Giants,6,Cincinnati Reds,3
,,,
Arizona Diamondbacks,1,Los Angeles Dodgers,3
,,,
Chicago White Sox,16,Minnesota Twins,4
,,,
Colorado Rockies,0,San Diego Padres,7
,,,
Detroit Tigers,4,Seattle Mariners,1
,,,
New York Yankees,2,Texas Rangers,5
,,,
» 2021-05-17 Standings & Scores,,,
,,,
"Tuesday, May 18, 2021",,,
,,,
Cleveland Indians,6,Los Angeles Angels,5
,,,
New York Mets,4,Atlanta Braves,3
,,,
Tampa Bay Rays,13,Baltimore Orioles,6
,,,
Washington Nationals,3,Chicago Cubs,6
,,,
San Francisco Giants,4,Cincinnati Reds,2
,,,
Milwaukee Brewers,0,Kansas City Royals,2
,,,
Arizona Diamondbacks,1,Los Angeles Dodgers,9
,,,
Chicago White Sox,4,Minnesota Twins,5
,,,
Houston Astros,5,Oakland Athletics,6
,,,
Miami Marlins,3,Philadelphia Phillies,8
,,,
Colorado Rockies,1,San Diego Padres,2
,,,
Detroit Tigers,5,Seattle Mariners,0
,,,
Pittsburgh Pirates,2,St. Louis Cardinals,5
,,,
New York Yankees,7,Texas Rangers,4
,,,
Boston Red Sox,0,Toronto Blue Jays,8
,,,
» 2021-05-18 Standings & Scores,,,
,,,
"Wednesday, May 19, 2021",,,
,,,
Cleveland Indians,3,Los Angeles Angels,2
,,,
New York Mets,4,Atlanta Braves,5
,,,
Tampa Bay Rays,9,Baltimore Orioles,7
,,,
Washington Nationals,4,Chicago Cubs,3
,,,
San Francisco Giants,4,Cincinnati Reds,0
,,,
Milwaukee Brewers,4,Kansas City Royals,6
,,,
Arizona Diamondbacks,2,Los Angeles Dodgers,4
,,,
Chicago White Sox,2,Minnesota Twins,1
,,,
Houston Astros,8,Oakland Athletics,1
,,,
Miami Marlins,3,Philadelphia Phillies,1
,,,
Colorado Rockies,0,San Diego Padres,3
,,,
Detroit Tigers,6,Seattle Mariners,2
,,,
Pittsburgh Pirates,5,St. Louis Cardinals,8
,,,
New York Yankees,2,Texas Rangers,0
,,,
Boston Red Sox,7,Toronto Blue Jays,3
,,,
» 2021-05-19 Standings & Scores,,,
,,,
"Thursday, May 20, 2021",,,
,,,
Minnesota Twins,1,Los Angeles Angels,7
,,,
Minnesota Twins,6,Los Angeles Angels,3
,,,
Pittsburgh Pirates,6,Atlanta Braves,4
,,,
Tampa Bay Rays,10,Baltimore Orioles,1
,,,
Washington Nationals,2,Chicago Cubs,5
,,,
San Francisco Giants,19,Cincinnati Reds,4
,,,
Arizona Diamondbacks,2,Los Angeles Dodgers,3
,,,
Houston Astros,8,Oakland Athletics,4
,,,
Miami Marlins,6,Philadelphia Phillies,0
,,,
New York Yankees,2,Texas Rangers,0
,,,
Boston Red Sox,8,Toronto Blue Jays,7
,,,
» 2021-05-20 Standings & Scores,,,
,,,
"Friday, May 21, 2021",,,
,,,
Oakland Athletics,8,Los Angeles Angels,4
,,,
Pittsburgh Pirates,1,Atlanta Braves,20
,,,
Milwaukee Brewers,4,Cincinnati Reds,9
,,,
Minnesota Twins,10,Cleveland Indians,0
,,,
Arizona Diamondbacks,1,Colorado Rockies,7
,,,
Detroit Tigers,7,Kansas City Royals,5
,,,
New York Mets,6,Miami Marlins,5
,,,
Chicago White Sox,1,New York Yankees,2
,,,
Boston Red Sox,11,Philadelphia Phillies,3
,,,
Seattle Mariners,1,San Diego Padres,16
,,,
Los Angeles Dodgers,2,San Francisco Giants,1
,,,
Chicago Cubs,12,St. Louis Cardinals,3
,,,
Houston Astros,5,Texas Rangers,7
,,,
Tampa Bay Rays,9,Toronto Blue Jays,7
,,,
Baltimore Orioles,2,Washington Nationals,4
,,,
» 2021-05-21 Standings & Scores,,,
,,,
"Saturday, May 22, 2021",,,
,,,
Oakland Athletics,6,Los Angeles Angels,2
,,,
Pittsburgh Pirates,1,Atlanta Braves,6
,,,
Milwaukee Brewers,4,Cincinnati Reds,3
,,,
Minnesota Twins,3,Cleveland Indians,5
,,,
Arizona Diamondbacks,6,Colorado Rockies,7
,,,
Detroit Tigers,5,Kansas City Royals,7
,,,
New York Mets,1,Miami Marlins,3
,,,
Chicago White Sox,0,New York Yankees,7
,,,
Boston Red Sox,4,Philadelphia Phillies,3
,,,
Seattle Mariners,4,San Diego Padres,6
,,,
Los Angeles Dodgers,6,San Francisco Giants,3
,,,
Chicago Cubs,1,St. Louis Cardinals,2
,,,
Houston Astros,4,Texas Rangers,8
,,,
Tampa Bay Rays,3,Toronto Blue Jays,1
,,,
Baltimore Orioles,9,Washington Nationals,12
,,,
» 2021-05-22 Standings & Scores,,,
,,,
"Sunday, May 23, 2021",,,
,,,
Oakland Athletics,5,Los Angeles Angels,6
,,,
Pittsburgh Pirates,1,Atlanta Braves,7
,,,
Milwaukee Brewers,9,Cincinnati Reds,4
,,,
Minnesota Twins,8,Cleveland Indians,5
,,,
Arizona Diamondbacks,3,Colorado Rockies,4
,,,
Detroit Tigers,2,Kansas City Royals,3
,,,
New York Mets,1,Miami Marlins,5
,,,
Chicago White Sox,4,New York Yankees,5
,,,
Boston Red Sox,2,Philadelphia Phillies,6
,,,
Seattle Mariners,2,San Diego Padres,9
,,,
Los Angeles Dodgers,11,San Francisco Giants,5
,,,
Chicago Cubs,2,St. Louis Cardinals,1
,,,
Houston Astros,2,Texas Rangers,3
,,,
Tampa Bay Rays,6,Toronto Blue Jays,4
,,,
Baltimore Orioles,5,Washington Nationals,6
,,,
» 2021-05-23 Standings & Scores,,,
,,,
"Monday, May 24, 2021",,,
,,,
St. Louis Cardinals,1,Chicago White Sox,5
,,,
Cleveland Indians,6,Detroit Tigers,5
,,,
Philadelphia Phillies,6,Miami Marlins,9
,,,
San Diego Padres,3,Milwaukee Brewers,5
,,,
Baltimore Orioles,3,Minnesota Twins,8
,,,
Colorado Rockies,3,New York Mets,2
,,,
Seattle Mariners,4,Oakland Athletics,2
,,,
Tampa Bay Rays,14,Toronto Blue Jays,8
,,,
» 2021-05-24 Standings & Scores,,,
,,,
"Tuesday, May 25, 2021",,,
,,,
Texas Rangers,5,Los Angeles Angels,11
,,,
San Francisco Giants,8,Arizona Diamondbacks,0
,,,
Atlanta Braves,3,Boston Red Sox,1
,,,
St. Louis Cardinals,3,Chicago White Sox,8
,,,
Cleveland Indians,4,Detroit Tigers,1
,,,
Los Angeles Dodgers,9,Houston Astros,2
,,,
Philadelphia Phillies,2,Miami Marlins,0
,,,
San Diego Padres,7,Milwaukee Brewers,1
,,,
Baltimore Orioles,4,Minnesota Twins,7
,,,
Toronto Blue Jays,6,@ New York Yankees,2
,,,
Colorado Rockies,1,New York Mets,3
,,,
Seattle Mariners,4,Oakland Athletics,3
,,,
Chicago Cubs,4,Pittsburgh Pirates,3
,,,
Kansas City Royals,2,Tampa Bay Rays,1
,,,
Cincinnati Reds,2,Washington Nationals,1
,,,
» 2021-05-25 Standings & Scores,,,
,,,
"Wednesday, May 26, 2021",,,
,,,
Texas Rangers,8,Los Angeles Angels,9
,,,
San Francisco Giants,5,Arizona Diamondbacks,4
,,,
Atlanta Braves,5,Boston Red Sox,9
,,,
St. Louis Cardinals,4,Chicago White Sox,0
,,,
Cleveland Indians,0,Detroit Tigers,1
,,,
Los Angeles Dodgers,2,Houston Astros,5
,,,
Philadelphia Phillies,2,Miami Marlins,4
,,,
San Diego Padres,2,Milwaukee Brewers,1
,,,
Baltimore Orioles,2,Minnesota Twins,3
,,,
Seattle Mariners,3,Oakland Athletics,6
,,,
Chicago Cubs,4,Pittsburgh Pirates,1
,,,
Kansas City Royals,1,Tampa Bay Rays,2
,,,
Cincinnati Reds,3,Washington Nationals,5
,,,
» 2021-05-26 Standings & Scores,,,
,,,
"Thursday, May 27, 2021",,,
,,,
St. Louis Cardinals,5,Arizona Diamondbacks,4
,,,
Baltimore Orioles,1,Chicago White Sox,5
,,,
Cleveland Indians,5,Detroit Tigers,2
,,,
San Francisco Giants,3,Los Angeles Dodgers,4
,,,
Philadelphia Phillies,3,Miami Marlins,2
,,,
San Diego Padres,5,Milwaukee Brewers,6
,,,
Toronto Blue Jays,2,@ New York Yankees,0
,,,
Toronto Blue Jays,3,@ New York Yankees,5
,,,
Colorado Rockies,0,New York Mets,1
,,,
Colorado Rockies,2,New York Mets,4
,,,
Los Angeles Angels,0,Oakland Athletics,5
,,,
Chicago Cubs,5,Pittsburgh Pirates,3
,,,
Texas Rangers,0,Seattle Mariners,5
,,,
Kansas City Royals,2,Tampa Bay Rays,7
,,,
Cincinnati Reds,3,Washington Nationals,0
,,,
» 2021-05-27 Standings & Scores,,,
,,,
"Friday, May 28, 2021",,,
,,,
St. Louis Cardinals,8,Arizona Diamondbacks,6
,,,
Miami Marlins,2,Boston Red Sox,5
,,,
Cincinnati Reds,0,Chicago Cubs,1
,,,
Toronto Blue Jays,11,@ Cleveland Indians,2
,,,
New York Yankees,2,Detroit Tigers,3
,,,
San Diego Padres,10,Houston Astros,3
,,,
San Francisco Giants,8,Los Angeles Dodgers,5
,,,
Kansas City Royals,8,Minnesota Twins,3
,,,
Los Angeles Angels,1,Oakland Athletics,3
,,,
Texas Rangers,2,Seattle Mariners,3
,,,
» 2021-05-28 Standings & Scores,,,
,,,
"Saturday, May 29, 2021",,,
,,,
St. Louis Cardinals,7,Arizona Diamondbacks,4
,,,
Miami Marlins,1,Boston Red Sox,3
,,,
Baltimore Orioles,4,Chicago White Sox,7
,,,
Baltimore Orioles,1,Chicago White Sox,3
,,,
Cincinnati Reds,2,Chicago Cubs,10
,,,
New York Yankees,1,Detroit Tigers,6
,,,
San Diego Padres,11,Houston Astros,8
,,,
San Francisco Giants,11,Los Angeles Dodgers,6
,,,
Kansas City Royals,5,Minnesota Twins,6
,,,
Atlanta Braves,2,New York Mets,13
,,,
Los Angeles Angels,4,Oakland Athletics,0
,,,
Colorado Rockies,0,Pittsburgh Pirates,7
,,,
Colorado Rockies,0,Pittsburgh Pirates,4
,,,
Texas Rangers,2,Seattle Mariners,3
,,,
Philadelphia Phillies,3,Tampa Bay Rays,5
,,,
Milwaukee Brewers,4,Washington Nationals,1
,,,
Milwaukee Brewers,6,Washington Nationals,2
,,,
» 2021-05-29 Standings & Scores,,,
,,,
"Sunday, May 30, 2021",,,
,,,
St. Louis Cardinals,2,Arizona Diamondbacks,9
,,,
Baltimore Orioles,1,Chicago White Sox,3
,,,
Cincinnati Reds,5,Chicago Cubs,1
,,,
Toronto Blue Jays,4,@ Cleveland Indians,1
,,,
Toronto Blue Jays,5,@ Cleveland Indians,6
,,,
New York Yankees,2,Detroit Tigers,6
,,,
San Diego Padres,4,Houston Astros,7
,,,
San Francisco Giants,5,Los Angeles Dodgers,4
,,,
Kansas City Royals,6,Minnesota Twins,3
,,,
Los Angeles Angels,4,Oakland Athletics,2
,,,
Colorado Rockies,4,Pittsburgh Pirates,3
,,,
Texas Rangers,2,Seattle Mariners,4
,,,
Philadelphia Phillies,2,Tampa Bay Rays,6
,,,
Milwaukee Brewers,3,Washington Nationals,0
,,,
» 2021-05-30 Standings & Scores,,,
,,,
"Monday, May 31, 2021",,,
,,,
New York Mets,6,Arizona Diamondbacks,2
,,,
Washington Nationals,3,Atlanta Braves,5
,,,
Minnesota Twins,3,Baltimore Orioles,2
,,,
San Diego Padres,2,Chicago Cubs,7
,,,
Philadelphia Phillies,1,Cincinnati Reds,11
,,,
Chicago White Sox,8,Cleveland Indians,6
,,,
Chicago White Sox,1,Cleveland Indians,3
,,,
Boston Red Sox,2,Houston Astros,11
,,,
Pittsburgh Pirates,3,Kansas City Royals,7
,,,
St. Louis Cardinals,4,Los Angeles Dodgers,9
,,,
Detroit Tigers,2,Milwaukee Brewers,3
,,,
Tampa Bay Rays,3,New York Yankees,1
,,,
Oakland Athletics,5,Seattle Mariners,6
,,,
Los Angeles Angels,1,San Francisco Giants,6
,,,
» 2021-05-31 Standings & Scores,,,
,,,
"Tuesday, June 1, 2021",,,
,,,
New York Mets,5,Arizona Diamondbacks,6
,,,
Washington Nationals,11,Atlanta Braves,6
,,,
Minnesota Twins,4,Baltimore Orioles,7
,,,
San Diego Padres,3,Chicago Cubs,4
,,,
Philadelphia Phillies,17,Cincinnati Reds,3
,,,
Chicago White Sox,5,Cleveland Indians,6
,,,
Texas Rangers,2,Colorado Rockies,3
,,,
Boston Red Sox,1,Houston Astros,5
,,,
Pittsburgh Pirates,5,Kansas City Royals,10
,,,
St. Louis Cardinals,3,Los Angeles Dodgers,2
,,,
Detroit Tigers,10,Milwaukee Brewers,7
,,,
Tampa Bay Rays,3,New York Yankees,5
,,,
Oakland Athletics,12,Seattle Mariners,6
,,,
Los Angeles Angels,8,San Francisco Giants,1
,,,
Miami Marlins,1,Toronto Blue Jays,5
,,,
» 2021-06-01 Standings & Scores,,,
,,,
"Wednesday, June 2, 2021",,,
,,,
New York Mets,7,Arizona Diamondbacks,6
,,,
Washington Nationals,5,Atlanta Braves,3
,,,
Minnesota Twins,3,Baltimore Orioles,6
,,,
San Diego Padres,1,Chicago Cubs,6
,,,
Texas Rangers,3,Colorado Rockies,6
,,,
Boston Red Sox,1,Houston Astros,2
,,,
St. Louis Cardinals,3,Los Angeles Dodgers,14
,,,
Tampa Bay Rays,3,New York Yankees,4
,,,
Oakland Athletics,6,Seattle Mariners,0
,,,
Miami Marlins,5,Toronto Blue Jays,6
,,,
» 2021-06-02 Standings & Scores,,,
,,,
"Thursday, June 3, 2021",,,
,,,
Seattle Mariners,6,Los Angeles Angels,2
,,,
Washington Nationals,1,Atlanta Braves,5
,,,
Detroit Tigers,1,Chicago White Sox,4
,,,
Texas Rangers,6,Colorado Rockies,11
,,,
Boston Red Sox,5,Houston Astros,1
,,,
Minnesota Twins,5,Kansas City Royals,6
,,,
Arizona Diamondbacks,4,Milwaukee Brewers,7
,,,
Tampa Bay Rays,9,New York Yankees,2
,,,
Miami Marlins,3,Pittsburgh Pirates,5
,,,
New York Mets,3,San Diego Padres,4
,,,
Chicago Cubs,2,San Francisco Giants,7
,,,
Cincinnati Reds,4,St. Louis Cardinals,2
,,,
» 2021-06-03 Standings & Scores,,,
,,,
"Friday, June 4, 2021",,,
,,,
Seattle Mariners,2,Los Angeles Angels,3
,,,
Los Angeles Dodgers,9,Atlanta Braves,5
,,,
Cleveland Indians,1,Baltimore Orioles,3
,,,
Detroit Tigers,8,Chicago White Sox,9
,,,
Oakland Athletics,9,Colorado Rockies,5
,,,
Minnesota Twins,5,Kansas City Royals,14
,,,
Arizona Diamondbacks,1,Milwaukee Brewers,5
,,,
Boston Red Sox,5,New York Yankees,2
,,,
Washington Nationals,2,Philadelphia Phillies,1
,,,
Miami Marlins,2,Pittsburgh Pirates,9
,,,
New York Mets,0,San Diego Padres,2
,,,
Chicago Cubs,5,San Francisco Giants,8
,,,
Cincinnati Reds,6,St. Louis Cardinals,4
,,,
Tampa Bay Rays,4,Texas Rangers,5
,,,
Houston Astros,13,Toronto Blue Jays,1
,,,
» 2021-06-04 Standings & Scores,,,
,,,
"Saturday, June 5, 2021",,,
,,,
Seattle Mariners,5,Los Angeles Angels,12
,,,
Los Angeles Dodgers,4,Atlanta Braves,6
,,,
Cleveland Indians,10,Baltimore Orioles,4
,,,
Detroit Tigers,4,Chicago White Sox,3
,,,
Oakland Athletics,6,Colorado Rockies,3
,,,
Minnesota Twins,5,Kansas City Royals,4
,,,
Arizona Diamondbacks,5,Milwaukee Brewers,7
,,,
Boston Red Sox,7,New York Yankees,3
,,,
Washington Nationals,2,Philadelphia Phillies,5
,,,
Miami Marlins,7,Pittsburgh Pirates,8
,,,
New York Mets,4,San Diego Padres,0
,,,
Chicago Cubs,3,San Francisco Giants,4
,,,
Cincinnati Reds,5,St. Louis Cardinals,2
,,,
Tampa Bay Rays,3,Texas Rangers,0
,,,
Houston Astros,2,Toronto Blue Jays,6
,,,
» 2021-06-05 Standings & Scores,,,
,,,
"Sunday, June 6, 2021",,,
,,,
Seattle Mariners,9,Los Angeles Angels,5
,,,
Los Angeles Dodgers,2,Atlanta Braves,4
,,,
Cleveland Indians,5,Baltimore Orioles,18
,,,
Detroit Tigers,0,Chicago White Sox,3
,,,
Oakland Athletics,1,Colorado Rockies,3
,,,
Minnesota Twins,2,Kansas City Royals,1
,,,
Arizona Diamondbacks,0,Milwaukee Brewers,2
,,,
Boston Red Sox,6,New York Yankees,5
,,,
Washington Nationals,6,Philadelphia Phillies,12
,,,
Miami Marlins,3,Pittsburgh Pirates,1
,,,
New York Mets,6,San Diego Padres,2
,,,
Chicago Cubs,4,San Francisco Giants,3
,,,
Cincinnati Reds,8,St. Louis Cardinals,7
,,,
Tampa Bay Rays,7,Texas Rangers,1
,,,
Houston Astros,6,Toronto Blue Jays,3
,,,
» 2021-06-06 Standings & Scores,,,
,,,
"Monday, June 7, 2021",,,
,,,
Kansas City Royals,3,Los Angeles Angels,8
,,,
Miami Marlins,3,Boston Red Sox,5
,,,
Chicago Cubs,4,San Diego Padres,9
,,,
» 2021-06-07 Standings & Scores,,,
,,,
"Tuesday, June 8, 2021",,,
,,,
Kansas City Royals,1,Los Angeles Angels,8
,,,
New York Mets,3,Baltimore Orioles,10
,,,
Houston Astros,7,Boston Red Sox,1
,,,
Toronto Blue Jays,1,@ Chicago White Sox,6
,,,
Milwaukee Brewers,5,Cincinnati Reds,1
,,,
Seattle Mariners,3,Detroit Tigers,5
,,,
Colorado Rockies,2,Miami Marlins,6
,,,
New York Yankees,8,Minnesota Twins,4
,,,
Arizona Diamondbacks,2,Oakland Athletics,5
,,,
Atlanta Braves,9,Philadelphia Phillies,5
,,,
Los Angeles Dodgers,5,Pittsburgh Pirates,3
,,,
Chicago Cubs,7,San Diego Padres,1
,,,
Cleveland Indians,10,St. Louis Cardinals,1
,,,
Washington Nationals,1,Tampa Bay Rays,3
,,,
San Francisco Giants,9,Texas Rangers,4
,,,
» 2021-06-08 Standings & Scores,,,
,,,
"Wednesday, June 9, 2021",,,
,,,
Kansas City Royals,1,Los Angeles Angels,6
,,,
New York Mets,14,Baltimore Orioles,1
,,,
Houston Astros,8,Boston Red Sox,3
,,,
Toronto Blue Jays,6,@ Chicago White Sox,2
,,,
Milwaukee Brewers,3,Cincinnati Reds,7
,,,
Seattle Mariners,9,Detroit Tigers,6
,,,
Colorado Rockies,4,Miami Marlins,3
,,,
New York Yankees,9,Minnesota Twins,6
,,,
Arizona Diamondbacks,0,Oakland Athletics,4
,,,
Atlanta Braves,1,Philadelphia Phillies,2
,,,
Los Angeles Dodgers,2,Pittsburgh Pirates,1
,,,
Chicago Cubs,3,San Diego Padres,1
,,,
Cleveland Indians,2,St. Louis Cardinals,8
,,,
Washington Nationals,9,Tampa Bay Rays,7
,,,
San Francisco Giants,3,Texas Rangers,4
,,,
» 2021-06-09 Standings & Scores,,,
,,,
"Thursday, June 10, 2021",,,
,,,
Houston Astros,8,Boston Red Sox,12
,,,
Toronto Blue Jays,2,@ Chicago White Sox,5
,,,
Milwaukee Brewers,7,Cincinnati Reds,2
,,,
Seattle Mariners,3,Detroit Tigers,8
,,,
Colorado Rockies,4,Miami Marlins,11
,,,
New York Yankees,5,Minnesota Twins,7
,,,
Kansas City Royals,6,Oakland Athletics,1
,,,
Atlanta Braves,3,Philadelphia Phillies,4
,,,
Los Angeles Dodgers,6,Pittsburgh Pirates,3
,,,
