"Season","Team","G","PA","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","wRAA","wRC","RE24","REW","WAR","-WPA","+WPA","BsR","Off","Def","Z-Contact%","Contact%","O-Swing%"
"2009","LAA","2246","6305","173","883","841","148","63","8.7%","16.7%",".156",".322",".285",".350",".441",".346","108","88.0","844","131.72","13.14","29.1","-104.95","117.91","8.6","75.5","-5.4","89.2%","81.3%","25.5%"
"2007","COL","2407","6498","171","860","823","100","31","9.6%","17.7%",".158",".322",".280",".354",".437",".346","97","74.2","878","29.53","2.29","23.1","-116.62","121.18","10.1","-19.4","41.6","87.0%","81.4%","20.7%"
"2006","CHW","2286","6318","236","868","839","93","48","7.9%","16.7%",".184",".305",".280",".342",".464",".346","103","75.8","869","53.63","4.86","19.3","-108.10","113.44","-8.4","14.4","-34.1","88.3%","80.9%","24.1%"
"2010","BOS","2327","6356","211","818","782","68","17","9.2%","17.9%",".183",".299",".268",".339",".451",".345","109","121.3","851","69.13","6.82","24.9","-109.79","115.94","-7.2","59.7","-43.4","89.7%","83.0%","26.2%"
"2004","CLE","2287","6452","184","858","820","94","55","9.4%","15.6%",".168",".305",".276",".351",".444",".345","109","79.3","879","64.63","6.55","26.8","-116.95","120.95","-4.7","72.7","-18.2","87.1%","81.8%","17.3%"
"2011","NYY","2301","6306","222","867","836","147","46","9.9%","18.0%",".181",".292",".263",".343",".444",".345","113","140.2","849","137.73","13.66","37.0","-103.68","109.51","6.6","101.6","39.7","89.5%","82.3%","27.3%"
"2004","COL","2351","6333","202","833","795","44","33","9.0%","18.6%",".180",".314",".275",".345",".455",".344","93","69.1","854","-2.87","-0.76","14.1","-116.69","114.75","-4.9","-64.7","-3.7","81.3%","76.2%","22.5%"
"2015","TOR","2337","6231","232","891","852","88","23","9.1%","18.5%",".188",".298",".269",".340",".457",".344","117","153.1","854","197.60","20.53","36.7","-96.44","109.49","11.0","135.9","6.6","86.4%","79.4%","28.5%"
"2004","STL","2381","6297","214","855","817","111","47","8.7%","17.2%",".182",".307",".278",".344",".460",".344","107","67.6","848","119.99","11.86","33.6","-105.28","116.88","18.9","72.1","60.7","83.4%","78.7%","19.5%"
"2005","TEX","2193","6301","260","865","834","67","15","7.9%","17.6%",".201",".290",".267",".329",".468",".344","106","92.0","847","85.54","8.04","20.8","-110.50","114.54","6.2","49.1","-54.3","87.5%","79.2%","21.7%"
"2002","TEX","2389","6332","230","843","806","62","34","8.7%","16.7%",".187",".292",".269",".338",".455",".343","103","88.8","849","28.69","2.38","21.9","-114.94","115.44","3.0","26.2","-22.9","84.9%","78.4%","19.3%"
"2001","HOU","2121","6325","208","847","805","64","49","9.2%","17.7%",".180",".304",".271",".347",".451",".343","101","76.3","861","43.69","4.11","23.6","-112.69","116.94","-8.8","-1.9","36.1","","",""
"2002","BOS","2172","6332","177","859","810","80","28","8.6%","14.9%",".168",".302",".277",".345",".444",".343","107","88.6","849","83.09","8.02","24.2","-105.25","109.14","-0.4","54.5","-28.8","87.6%","80.8%","17.8%"
"2008","DET","2267","6331","200","821","780","63","31","9.0%","17.0%",".173",".301",".271",".340",".444",".343","106","74.7","837","53.80","5.22","16.8","-110.91","114.22","-6.7","42.3","-93.8","87.2%","80.8%","24.6%"
"2002","CHW","2208","6208","217","856","819","75","31","8.9%","15.3%",".181",".287",".268",".338",".449",".342","105","81.3","827","71.63","6.57","22.5","-99.01","100.76","-1.2","40.1","-26.9","87.3%","81.2%","17.1%"
"2008","STL","2396","6370","174","779","744","73","32","9.1%","15.5%",".152",".312",".281",".350",".433",".342","107","68.7","835","45.33","4.83","34.0","-106.60","112.62","-10.0","46.4","90.6","88.5%","81.6%","25.0%"
"2003","COL","2352","6283","198","853","814","63","37","9.9%","18.0%",".179",".302",".267",".344",".445",".342","90","72.6","843","21.28","1.00","16.5","-106.10","104.30","1.0","-78.3","39.6","86.4%","78.3%","22.3%"
"2009","TBR","2345","6223","199","803","765","194","61","10.3%","19.7%",".177",".303",".263",".343",".439",".342","109","66.4","812","68.29","7.61","35.1","-107.13","112.10","21.6","90.5","41.8","86.1%","79.2%","23.0%"
"2012","NYY","2367","6231","245","804","774","93","27","9.1%","18.9%",".188",".293",".265",".337",".453",".342","113","132.3","843","83.00","8.30","33.6","-107.89","116.55","2.3","97.2","12.1","86.8%","79.8%","28.8%"
"2006","PHI","2410","6509","216","865","823","92","25","9.6%","18.5%",".180",".302",".267",".347",".447",".341","100","51.7","869","64.21","6.21","25.9","-115.90","119.87","18.5","15.5","34.6","88.8%","80.2%","22.3%"
"2000","CIN","2313","6373","200","825","794","100","38","8.8%","15.6%",".173",".299",".274",".343",".447",".341","94","-0.9","836","-5.37","-0.76","24.3","-120.22","116.04","3.3","-46.5","89.9","","",""
"2009","COL","2352","6241","190","804","760","106","55","10.6%","20.5%",".180",".305",".261",".343",".441",".341","96","60.4","808","24.67","1.89","18.9","-109.88","109.66","5.3","-29.7","22.8","85.2%","78.5%","22.8%"
"2001","SFG","2231","6408","235","799","775","57","42","9.8%","17.0%",".194",".290",".266",".342",".460",".341","108","76.0","871","60.98","6.25","30.9","-109.88","114.58","-7.2","60.2","46.3","","",""
"2013","DET","2274","6388","176","796","767","35","20","8.3%","16.8%",".151",".320",".283",".346",".434",".341","114","137.5","838","96.79","10.01","27.6","-106.76","111.46","-19.0","83.7","-35.3","87.8%","81.0%","30.2%"
"2020","SDP","913","2231","95","325","312","55","13","9.1%","21.5%",".209",".291",".257",".333",".466",".341","115","39.3","319","51.08","5.09","12.7","-37.18","42.36","2.1","45.1","7.4","85.8%","78.1%","27.2%"
"2000","DET","1938","6343","177","823","785","83","38","8.9%","15.5%",".163",".303",".275",".343",".438",".341","100","-0.4","832","-5.11","-0.27","19.7","-110.24","106.74","-0.1","-0.3","-15.3","","",""
"2020","NYY","878","2210","94","315","301","27","7","11.4%","21.7%",".200",".280",".247",".342",".447",".341","116","38.7","316","48.18","4.77","9.7","-36.81","39.05","6.0","49.7","-8.3","84.7%","75.8%","26.8%"
"2004","PHI","2317","6456","215","840","802","100","27","10.0%","17.5%",".176",".297",".267",".345",".443",".340","100","52.1","853","58.98","5.62","26.7","-119.92","124.93","5.5","5.8","50.4","85.5%","80.3%","18.7%"
"2005","CIN","2309","6321","222","820","784","72","23","9.7%","20.6%",".185",".302",".261",".339",".446",".340","103","70.3","828","77.61","7.86","23.2","-109.88","114.42","12.9","35.6","-10.3","85.9%","77.5%","22.4%"
"2006","BOS","2346","6435","192","820","777","51","23","10.4%","16.4%",".166",".298",".269",".351",".435",".340","100","48.5","856","9.10","0.76","16.1","-114.06","118.27","-10.3","-13.3","-43.5","90.1%","82.0%","21.7%"
"2004","CHW","2245","6197","242","865","823","78","51","8.1%","16.6%",".189",".288",".268",".333",".457",".340","101","49.8","818","54.67","4.96","23.2","-104.32","109.49","-1.6","7.3","19.4","85.4%","80.4%","18.5%"
"2007","FLA","2423","6344","201","790","749","105","34","8.2%","21.0%",".181",".315",".267",".336",".448",".340","101","40.5","825","25.02","2.49","20.7","-111.40","112.94","3.8","9.4","-6.4","85.4%","75.9%","25.2%"
"2005","CLE","2166","6255","207","790","760","62","36","8.0%","17.5%",".181",".302",".271",".334",".453",".340","110","71.7","821","53.51","5.30","30.9","-109.22","110.59","3.6","76.4","20.2","88.4%","80.3%","20.3%"
"2010","CIN","2370","6285","188","790","761","93","43","8.3%","19.4%",".164",".314",".272",".338",".436",".340","106","90.0","812","80.77","8.32","35.7","-108.52","114.69","12.7","57.2","96.8","86.5%","78.6%","30.0%"
"2018","BOS","2345","6302","208","876","829","125","31","9.0%","19.9%",".185",".309",".268",".339",".453",".340","111","128.8","865","116.17","11.20","32.2","-102.76","115.84","-5.1","74.1","30.9","87.2%","79.3%","29.9%"
"2004","SFG","2405","6466","183","850","805","43","23","10.9%","13.5%",".168",".290",".270",".357",".438",".340","105","62.9","865","101.91","10.06","27.5","-110.36","123.41","-6.0","35.7","28.4","86.0%","81.9%","20.4%"
"2008","CHW","2298","6231","235","811","785","67","34","8.7%","16.3%",".185",".281",".263",".332",".448",".339","101","55.5","806","25.08","2.11","15.5","-110.63","108.22","-27.4","-17.7","-43.6","87.4%","80.4%","26.7%"
"2000","NYM","2345","6328","198","807","761","66","46","10.7%","16.4%",".167",".290",".263",".346",".430",".339","99","-15.5","815","49.04","4.63","23.5","-110.51","114.45","-7.2","-16.2","55.3","","",""
"2000","ATL","2039","6275","179","810","758","148","56","9.5%","16.1%",".157",".302",".271",".346",".429",".339","96","-16.2","807","36.28","3.84","24.5","-109.52","113.16","4.6","-33.9","83.2","","",""
"2006","ATL","2435","6284","222","849","818","52","35","8.4%","18.6%",".184",".304",".270",".337",".455",".339","100","32.0","821","75.26","7.65","23.7","-111.95","115.81","-13.4","-13.1","48.1","86.4%","78.3%","24.1%"
"2009","PHI","2285","6338","224","820","788","119","28","9.3%","18.2%",".189",".286",".258",".334",".447",".339","103","48.1","808","94.68","9.69","32.0","-101.48","113.33","20.0","42.5","78.4","87.9%","79.9%","24.0%"
"2016","COL","2369","6236","204","845","805","66","39","7.9%","21.3%",".182",".326",".275",".336",".457",".339","94","101.5","836","26.65","1.43","18.5","-108.37","109.16","1.1","-45.0","32.2","86.3%","78.4%","31.1%"
"2004","DET","2255","6285","201","827","800","86","50","8.2%","18.2%",".177",".308",".272",".337",".449",".339","106","44.1","823","41.40","3.86","21.7","-107.53","105.40","3.9","49.5","-41.5","84.6%","79.0%","25.0%"
"2000","KCR","1875","6394","150","879","831","121","35","8.0%","13.1%",".138",".312",".288",".348",".425",".338","89","-13.1","826","-15.35","-1.24","17.1","-121.05","122.23","8.9","-82.8","33.1","","",""
"2019","LAD","2413","6281","279","886","861","57","10","9.7%","21.6%",".215",".291",".257",".338",".472",".338","111","94.0","885","160.76","16.53","34.8","-102.64","116.79","11.9","103.3","51.7","85.2%","76.9%","28.3%"
"2002","SFG","2263","6298","198","783","751","74","21","9.8%","15.3%",".175",".289",".267",".344",".442",".338","109","70.0","826","96.50","10.35","35.1","-106.06","112.71","2.8","73.4","72.1","86.2%","79.7%","16.4%"
"2019","BOS","2455","6475","245","901","857","68","30","9.1%","21.3%",".197",".313",".269",".340",".466",".338","106","100.1","915","61.34","5.50","27.6","-118.33","118.12","-7.0","44.2","10.9","84.7%","76.9%","32.1%"
"2009","MIN","2315","6346","172","817","770","85","32","9.2%","16.1%",".155",".306",".274",".345",".429",".338","104","47.6","808","54.43","5.45","22.4","-107.70","111.30","15.3","42.9","-41.4","88.8%","82.0%","25.1%"
"2003","TEX","2311","6293","239","826","799","65","25","7.8%","16.7%",".188",".287",".266",".330",".454",".338","99","52.3","824","1.90","-0.31","20.2","-105.50","103.14","7.8","-1.8","-9.5","89.3%","78.8%","21.8%"
"2001","OAK","1830","6385","199","884","835","68","29","10.0%","16.0%",".175",".288",".264",".345",".439",".338","108","59.6","852","129.86","12.71","28.0","-106.31","117.06","0.6","64.5","0.4","","",""
"2000","BAL","1901","6238","184","794","750","126","65","8.9%","14.4%",".163",".293",".272",".341",".435",".338","98","-16.6","802","-39.29","-3.68","15.3","-110.99","106.77","-3.9","-19.0","-38.4","","",""
"2008","NYY","2330","6257","180","789","758","118","39","8.6%","16.2%",".156",".302",".271",".342",".427",".338","104","46.5","800","42.84","4.19","21.3","-108.42","110.52","-6.7","24.3","-28.4","89.0%","82.3%","23.2%"
"2007","MIL","2330","6238","231","801","774","96","32","8.0%","18.2%",".194",".289",".262",".329",".456",".337","100","28.1","800","40.66","4.20","25.1","-103.61","105.41","7.4","7.7","44.1","86.4%","78.8%","25.2%"
"2006","TEX","2227","6273","183","835","799","53","24","8.1%","16.9%",".168",".311",".278",".338",".446",".337","97","30.6","818","19.46","1.81","15.9","-107.75","107.11","-7.4","-31.5","-21.7","87.7%","80.6%","23.6%"
"2014","COL","2387","6164","186","755","721","85","48","6.4%","20.8%",".169",".326",".276",".327",".445",".337","97","125.0","787","11.96","-0.55","17.0","-114.61","111.92","-12.3","-33.1","2.2","86.7%","79.3%","34.5%"
"2009","TOR","2202","6362","209","798","766","73","23","8.6%","16.2%",".174",".290",".266",".333",".440",".337","101","43.9","806","16.47","1.59","19.5","-118.26","114.61","12.2","21.5","-50.0","89.3%","82.8%","22.7%"
"2021","TOR","2063","5247","217","713","685","71","20","8.2%","20.5%",".193",".298",".264",".330",".457",".337","112","100.3","734","77.88","7.55","25.3","-89.35","90.43","1.0","76.4","-3.2","86.7%","77.3%","31.5%"
"2006","LAD","2384","6394","153","820","787","128","49","9.4%","15.0%",".157",".307",".276",".348",".432",".337","101","25.2","828","47.97","4.64","20.7","-109.69","111.25","-4.8","3.4","-2.6","89.5%","82.4%","21.3%"
"2011","DET","2309","6231","169","787","750","49","20","8.4%","18.3%",".157",".318",".277",".340",".434",".337","109","104.9","805","67.97","6.49","23.1","-104.77","111.58","-15.2","48.5","-36.5","88.6%","81.6%","30.0%"
"2007","ATL","2398","6374","176","810","781","64","30","8.4%","18.0%",".160",".314",".275",".339",".435",".337","99","25.7","814","48.61","4.75","27.2","-111.41","111.97","-6.2","-12.5","80.4","86.0%","78.9%","24.4%"
"2001","CHW","1906","6151","214","798","770","123","59","8.5%","16.2%",".183",".290",".268",".334",".451",".337","104","50.4","814","-0.49","-0.21","23.0","-106.35","107.95","-1.3","28.4","-7.1","","",""
"2004","OAK","2217","6459","189","793","752","47","22","9.4%","16.4%",".163",".300",".270",".343",".433",".337","102","36.5","837","-10.41","-1.12","20.6","-119.74","120.91","-5.8","10.7","-20.0","86.0%","81.3%","19.6%"
"2004","BAL","2278","6431","169","842","803","101","41","8.2%","14.8%",".150",".309",".281",".345",".432",".337","103","35.8","833","41.57","3.83","22.0","-113.44","109.87","6.4","31.9","-25.2","87.7%","82.6%","19.9%"
"2020","SFG","974","2259","81","299","290","19","8","8.6%","22.1%",".187",".311",".263",".335",".451",".337","113","32.4","316","25.12","2.38","9.3","-39.46","40.82","-3.2","33.3","-16.8","84.2%","76.4%","31.4%"
"2002","OAK","2312","6291","205","800","772","46","20","9.7%","16.0%",".171",".284",".261",".339",".432",".337","106","54.7","810","50.22","5.22","23.1","-105.10","113.96","10.1","59.2","-42.7","86.6%","80.9%","15.0%"
"2000","LAD","2057","6312","211","798","756","95","42","10.6%","17.2%",".174",".283",".257",".341",".431",".337","99","-29.3","799","45.32","4.33","23.7","-112.72","118.42","0.5","-4.5","46.3","","",""
"2004","TEX","2240","6256","227","860","825","69","36","8.0%","17.6%",".191",".291",".266",".329",".457",".336","95","32.6","808","18.99","1.51","18.4","-106.85","108.04","18.0","-25.9","1.3","84.2%","77.9%","21.7%"
"2007","NYM","2335","6344","177","804","761","200","46","8.7%","15.5%",".157",".303",".275",".342",".432",".336","100","22.5","807","56.60","5.74","27.7","-104.81","110.30","14.2","17.4","57.5","88.8%","82.2%","25.0%"
"2007","CLE","2225","6367","178","811","784","72","41","9.3%","18.9%",".159",".310",".268",".343",".428",".336","104","27.2","815","43.05","4.30","21.7","-113.83","118.15","0.3","31.9","-29.6","87.8%","80.2%","22.8%"
"2020","PHI","875","2223","82","306","289","35","8","10.3%","21.6%",".183",".299",".257",".342",".439",".336","109","30.9","310","39.79","3.84","6.9","-39.11","42.31","3.3","29.7","-18.0","84.8%","76.0%","30.6%"
"2003","CHW","2277","6148","220","791","766","77","29","8.4%","14.9%",".182",".279",".263",".331",".446",".336","101","41.4","795","-4.53","-0.59","22.5","-107.22","102.94","-5.1","3.1","12.9","89.0%","81.7%","19.9%"
"2004","CHC","2290","6281","235","789","755","66","28","7.8%","17.2%",".190",".292",".268",".328",".458",".336","98","25.2","804","20.76","2.06","25.4","-115.88","114.13","-12.0","-26.2","74.9","83.0%","78.1%","21.0%"
"2004","ATL","2349","6339","178","803","767","86","32","9.3%","18.3%",".164",".309",".270",".343",".434",".336","100","25.9","812","57.44","5.76","29.0","-106.04","112.54","14.1","13.0","71.5","81.8%","77.7%","18.5%"
"2017","CLE","2367","6234","212","818","780","88","23","9.7%","18.5%",".186",".295",".263",".339",".449",".336","105","79.0","839","53.34","5.27","26.7","-102.82","102.06","11.1","48.8","6.8","86.8%","80.1%","26.8%"
"2002","ANA","2307","6327","152","851","811","117","51","7.3%","12.7%",".150",".303",".282",".341",".433",".336","105","51.1","811","84.88","8.50","28.2","-108.96","115.14","12.5","49.4","16.5","88.3%","82.7%","18.1%"
"2004","HOU","2391","6269","187","803","756","89","30","9.4%","15.9%",".170",".293",".267",".342",".436",".336","98","23.9","801","46.23","4.47","24.6","-104.40","108.30","10.0","-7.1","48.7","85.2%","80.2%","21.4%"
"2009","MIL","2321","6296","182","785","757","68","37","9.7%","19.6%",".164",".305",".263",".341",".426",".336","103","32.0","787","70.37","7.33","24.6","-105.19","112.98","-9.6","10.2","38.9","86.6%","79.0%","22.9%"
"2012","TEX","2236","6216","200","808","780","91","44","7.7%","17.7%",".173",".306",".273",".334",".446",".336","106","103.8","813","79.56","7.38","23.3","-100.54","103.43","-5.8","39.5","-27.3","86.3%","79.1%","30.7%"
"2021","HOU","1977","5429","180","741","713","45","14","9.0%","19.3%",".172",".306",".269",".340",".441",".336","117","98.0","754","134.22","14.32","30.2","-87.51","94.10","-8.5","107.4","8.2","88.2%","80.7%","29.4%"
"2019","WSN","2327","6267","231","873","824","116","29","9.3%","20.9%",".190",".306",".265",".342",".454",".336","104","80.3","869","114.35","11.27","26.3","-104.28","113.25","3.7","32.4","35.8","87.5%","78.9%","29.4%"
"2001","ARI","2180","6349","208","818","776","71","38","9.2%","16.6%",".175",".294",".267",".341",".442",".336","97","41.9","830","37.53","3.41","26.0","-111.72","109.57","-2.6","-31.4","88.6","","",""
"2017","NYY","2294","6354","241","858","821","90","22","9.7%","21.8%",".185",".304",".262",".339",".447",".336","109","78.6","853","99.74","9.86","29.2","-108.54","112.22","11.1","82.3","-6.5","84.7%","76.2%","28.3%"
"2002","ARI","2331","6318","165","819","783","92","46","10.2%","16.1%",".156",".298",".267",".346",".423",".335","97","45.8","804","76.37","6.98","22.1","-107.22","112.50","1.8","-21.0","36.6","86.3%","79.8%","15.6%"
"2003","MIN","2269","6324","155","801","755","94","44","8.1%","16.2%",".154",".312",".277",".341",".431",".335","102","39.8","815","6.55","0.51","24.0","-111.04","113.35","1.8","19.8","5.4","87.4%","78.1%","23.7%"
"2007","TBD","2229","6280","187","782","750","131","48","8.7%","21.1%",".165",".318",".268",".336",".433",".335","103","22.8","799","6.79","0.72","17.6","-110.26","109.73","8.4","29.5","-66.0","83.9%","75.5%","24.1%"
"2002","SEA","2251","6362","152","814","771","137","58","9.9%","15.8%",".144",".307",".275",".350",".419",".335","110","49.7","814","86.55","8.49","31.3","-112.13","120.00","12.9","87.6","8.8","87.4%","81.3%","16.0%"
"2018","NYY","2269","6271","267","851","821","63","21","10.0%","22.7%",".202",".285",".249",".329",".451",".335","112","105.3","838","109.38","10.70","31.4","-103.68","113.26","14.6","102.8","-4.6","85.2%","75.7%","30.2%"
"2005","PHI","2273","6345","167","807","760","116","27","10.1%","17.1%",".154",".306",".270",".348",".423",".335","98","43.2","804","73.60","7.38","29.3","-107.25","109.39","9.2","-2.9","88.2","88.4%","81.0%","16.7%"
"2007","CIN","2383","6332","204","783","747","97","31","8.5%","17.6%",".170",".298",".267",".335",".436",".335","94","16.0","799","-13.45","-1.44","15.5","-117.23","113.50","-7.2","-58.3","8.4","88.2%","79.7%","24.8%"
"2008","TBR","2299","6312","180","774","735","142","50","9.9%","19.4%",".162",".302",".260",".340",".422",".335","105","34.9","795","40.98","4.39","29.2","-111.95","117.47","5.6","43.8","30.3","86.1%","79.8%","22.2%"
"2001","STL","2300","6177","199","814","768","91","35","8.6%","17.6%",".172",".302",".270",".339",".441",".335","101","35.4","802","57.95","6.16","31.1","-100.84","104.08","2.7","11.2","103.0","","",""
"2010","MIN","2290","6257","142","781","749","68","28","8.9%","15.5%",".148",".306",".273",".341",".422",".335","106","68.0","787","64.39","6.54","27.8","-104.59","111.54","-15.8","29.5","17.9","90.7%","84.2%","27.0%"
"2008","CLE","2199","6299","171","805","772","77","29","8.9%","19.3%",".162",".305",".262",".339",".424",".334","103","31.0","789","57.05","5.82","24.0","-106.89","108.38","0.7","24.6","-2.8","87.2%","79.9%","22.8%"
"2011","STL","2403","6242","162","762","726","57","39","8.7%","15.7%",".151",".305",".273",".341",".425",".334","112","86.2","787","110.54","12.10","29.6","-106.43","122.15","-16.5","72.3","17.6","89.6%","82.6%","29.0%"
"2006","MIN","2226","6228","143","801","754","101","42","7.9%","14.0%",".138",".316",".287",".347",".425",".334","101","14.6","796","32.02","3.25","22.7","-104.38","107.98","-1.4","5.9","13.5","90.8%","84.0%","24.1%"
"2020","CHW","889","2267","96","306","294","20","8","7.9%","25.2%",".192",".314",".261",".326",".453",".334","113","27.5","312","25.55","2.58","13.6","-36.47","37.94","-0.5","36.0","2.5","82.8%","72.5%","34.1%"
"2008","PHI","2396","6273","214","799","762","136","25","9.3%","17.8%",".182",".283",".255",".332",".438",".334","98","22.7","778","50.99","4.95","32.8","-113.59","116.38","23.6","4.7","123.4","87.9%","81.0%","24.5%"
"2010","MIL","2262","6304","182","750","710","81","26","8.7%","19.3%",".161",".304",".262",".335",".424",".334","104","64.2","788","45.07","4.72","30.0","-105.19","108.22","0.6","32.4","66.3","87.3%","79.4%","28.5%"
"2000","BOS","2051","6371","167","792","755","43","30","9.6%","16.0%",".156",".297",".267",".341",".423",".334","92","-36.8","799","-29.15","-2.53","16.4","-119.84","113.46","-4.4","-76.1","21.3","","",""
"2006","DET","2214","6198","203","822","785","60","40","6.9%","18.3%",".174",".310",".274",".329",".449",".334","99","11.3","789","36.62","3.51","21.8","-107.37","108.53","-1.6","-12.2","23.4","87.2%","79.3%","25.4%"
"2002","MIN","2289","6196","167","768","731","79","62","7.6%","17.6%",".165",".309",".272",".332",".437",".334","101","39.6","784","-13.04","-1.50","25.7","-112.04","112.48","-5.6","1.1","45.0","84.7%","77.6%","19.2%"
"2006","NYM","2279","6291","200","834","800","146","35","8.7%","17.0%",".181",".293",".264",".334",".445",".334","99","6.3","796","72.28","7.03","28.1","-106.00","114.59","20.5","13.8","66.4","88.0%","81.0%","22.8%"
"2004","ANA","2217","6296","162","836","783","143","46","7.1%","15.0%",".147",".312",".282",".341",".429",".334","103","18.0","799","58.64","5.90","23.4","-107.44","111.15","2.2","23.8","1.4","86.8%","80.8%","21.2%"
"2010","TOR","2206","6072","257","755","732","58","20","7.8%","19.2%",".206",".269",".248",".312",".454",".334","105","60.6","758","33.71","3.46","23.7","-99.10","101.15","-12.3","25.1","-9.9","87.4%","79.2%","30.8%"
"2016","CHC","2332","6335","199","808","767","66","34","10.4%","21.1%",".173",".302",".256",".343",".429",".333","106","75.6","822","90.85","9.28","37.1","-107.84","111.63","17.3","61.3","104.8","84.7%","77.0%","29.0%"
"2006","COL","2306","6348","157","813","761","85","50","8.8%","17.5%",".163",".310",".270",".341",".433",".333","87","-1.6","795","-35.84","-3.34","13.5","-121.06","111.73","-2.7","-111.8","39.3","87.8%","81.4%","22.0%"
"2000","PIT","2202","6369","168","793","749","86","40","8.9%","16.2%",".157",".299",".267",".339",".424",".333","91","-45.8","790","-33.99","-2.56","10.6","-123.12","117.87","-0.4","-82.5","-14.3","","",""
"2003","HOU","2390","6320","191","805","763","66","30","8.8%","16.2%",".169",".289",".263",".336",".431",".333","97","24.4","799","44.34","4.23","26.4","-110.30","107.37","10.9","-15.9","76.6","87.7%","78.1%","21.1%"
"2009","CLE","2188","6320","161","773","730","84","31","9.2%","19.2%",".153",".308",".264",".339",".417",".333","100","22.6","780","5.85","0.67","14.5","-111.37","106.22","-1.1","-0.7","-75.7","87.9%","80.3%","23.0%"
"2010","COL","2379","6265","173","770","741","99","42","9.3%","20.3%",".162",".310",".263",".336",".425",".333","91","56.8","776","-12.11","-1.96","13.5","-115.42","110.43","9.3","-62.0","2.5","86.3%","78.7%","28.1%"
"2010","TEX","2312","6302","162","787","740","123","48","8.1%","15.6%",".143",".307",".276",".338",".419",".333","98","58.6","782","30.70","2.80","21.8","-114.89","116.30","4.5","-7.0","-4.1","88.3%","81.6%","30.4%"
"2020","BOS","884","2304","81","292","278","31","9","8.1%","23.7%",".180",".321",".265",".330",".445",".333","106","25.4","315","-0.67","-0.15","7.1","-39.31","38.75","-0.5","17.3","-5.6","84.2%","74.7%","34.2%"
"2008","BAL","2340","6211","172","782","750","81","37","8.6%","15.9%",".162",".296",".267",".333",".429",".333","99","22.9","771","17.48","1.70","19.0","-111.87","111.05","-5.1","-17.0","-7.7","89.6%","83.0%","25.0%"
"2007","SEA","2338","6209","153","794","754","81","30","6.3%","13.9%",".138",".313",".287",".337",".425",".333","103","9.4","777","46.15","4.70","15.3","-104.14","110.84","-9.6","10.7","-68.4","89.3%","82.4%","26.5%"
"2018","LAD","2574","6358","235","804","756","75","24","10.2%","22.6%",".191",".294",".250",".333",".442",".333","111","87.6","831","121.09","13.32","34.8","-110.21","114.68","11.4","99.3","38.3","84.1%","76.9%","27.1%"
"2007","LAA","2230","6198","123","822","776","139","55","8.2%","14.2%",".133",".315",".284",".345",".417",".333","100","8.9","775","55.86","5.60","21.6","-103.88","109.72","3.7","5.3","2.0","90.8%","81.9%","27.1%"
"2017","COL","2374","6201","192","824","793","59","34","8.4%","22.7%",".171",".332",".273",".338",".444",".332","88","53.7","810","-18.20","-2.15","13.7","-101.86","95.89","-6.4","-105.8","39.9","85.3%","76.9%","30.6%"
"2001","BOS","2035","6264","198","772","739","46","35","8.3%","18.1%",".173",".300",".266",".334",".439",".332","100","27.9","805","3.55","0.25","14.2","-111.79","111.66","-6.3","-3.8","-67.4","","",""
"2003","PHI","2227","6333","166","791","757","72","29","10.3%","18.2%",".158",".301",".261",".343",".419",".332","100","20.7","797","68.61","7.23","26.4","-108.55","110.49","1.2","1.3","59.1","86.5%","77.9%","20.3%"
"2008","NYM","2405","6388","172","799","751","138","36","9.7%","16.0%",".154",".296",".266",".340",".420",".332","100","14.0","783","64.14","6.61","28.9","-106.29","113.52","12.7","13.4","72.0","88.5%","82.0%","24.1%"
"2019","ATL","2411","6302","249","855","824","89","28","9.8%","23.3%",".195",".305",".258",".336",".452",".332","102","62.3","855","100.92","9.78","26.6","-102.18","111.46","11.0","23.7","46.2","82.4%","75.4%","31.3%"
"2001","MIN","1791","6185","164","771","717","146","67","8.0%","17.5%",".161",".310",".272",".337",".433",".332","99","25.1","793","-16.62","-1.71","21.8","-112.61","115.35","-0.2","-5.2","13.0","","",""
"2006","CIN","2335","6296","217","749","718","124","33","9.8%","18.9%",".175",".290",".257",".336",".432",".332","94","-3.0","787","-48.18","-4.65","19.8","-113.75","113.86","16.4","-36.5","31.1","87.1%","78.7%","20.3%"
"2009","FLA","2394","6312","159","772","727","75","35","9.0%","19.4%",".148",".316",".268",".340",".416",".332","97","9.7","766","40.64","4.18","19.3","-109.78","116.72","4.5","-16.7","12.0","87.1%","79.1%","24.4%"
"2003","KCR","2217","6239","162","836","781","120","42","7.6%","14.8%",".153",".301",".274",".336",".427",".332","95","20.1","785","13.30","0.90","12.5","-101.66","103.43","7.3","-30.2","-57.8","88.7%","81.5%","20.9%"
"2021","BOS","2046","5386","190","721","682","37","21","8.2%","22.5%",".187",".309",".261",".327",".447",".332","106","79.4","730","58.69","5.33","20.2","-93.43","98.02","-4.2","38.2","-20.4","83.4%","75.6%","34.1%"
"2008","ATL","2407","6368","130","753","721","58","27","9.7%","16.1%",".138",".309",".270",".345",".408",".332","99","14.1","781","18.28","1.97","24.5","-113.04","109.07","-5.8","-12.5","54.2","88.8%","81.7%","23.9%"
