"Season","Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"2005","CIN","6321","110","128","97","100","104","103","116","101","100","101","99","97","101","103"
"2009","PHI","6338","100","104","97","99","106","103","121","95","103","93","106","106","102","87"
"2011","MIL","6113","93","97","101","100","105","103","114","98","98","103","98","101","98","100"
"2006","CHW","6318","96","104","102","101","106","103","113","100","102","96","103","103","94","103"
"2019","TBR","6285","101","104","100","101","98","103","95","103","101","105","93","95","107","99"
"2004","SDP","6313","99","88","101","100","95","103","84","101","102","100","99","92","107","105"
"2016","BAL","6089","96","105","99","99","105","103","113","98","94","96","108","102","99","99"
"2015","DET","6159","96","103","106","103","102","103","95","109","110","96","99","95","100","108"
"2004","ANA","6296","84","91","104","101","99","103","90","104","103","103","95","97","101","104"
"2007","TBD","6280","101","126","99","99","102","103","108","104","102","97","102","104","97","97"
"2007","SEA","6209","73","83","106","100","100","103","91","103","99","107","92","101","102","97"
"2017","SEA","6166","94","96","101","100","99","103","95","101","95","102","100","98","104","98"
"2009","MIL","6296","104","112","99","101","101","103","105","101","95","100","103","100","102","97"
"2014","OAK","6245","122","90","96","101","97","102","99","93","97","88","117","100","102","97"
"2012","MIL","6224","91","104","99","100","106","102","116","99","89","99","108","97","104","99"
"2003","MIN","6324","98","103","103","102","101","102","96","106","97","110","89","102","98","99"
"2020","OAK","2201","119","100","93","101","96","102","100","93","103","88","112","102","98","99"
"2019","CHC","6195","106","108","98","100","102","102","107","99","93","107","96","97","101","103"
"2004","OAK","6459","111","100","100","101","100","102","99","100","103","95","104","102","97","100"
"2010","DET","6312","102","104","103","102","102","102","100","105","107","98","99","101","95","107"
"2009","LAD","6385","103","96","102","102","98","102","90","102","109","105","90","92","103","108"
"2011","NYM","6335","107","93","102","103","97","102","88","103","105","97","101","97","103","102"
"2019","ATL","6302","111","106","100","102","102","102","104","102","109","95","101","103","94","103"
"2013","ATL","6133","111","119","97","100","100","102","107","100","98","96","106","106","98","93"
"2017","CHC","6283","110","106","98","101","100","101","104","99","95","103","99","106","98","94"
"2021","CIN","5405","98","105","101","101","103","101","106","102","107","101","95","102","97","101"
"2008","CHW","6231","101","97","98","99","106","101","121","93","99","92","110","107","94","95"
"2012","SFG","6200","94","92","103","100","96","101","84","104","105","103","93","98","98","106"
"2009","TOR","6362","98","93","100","99","103","101","108","97","98","92","110","102","104","91"
"2005","BAL","6134","93","93","100","99","102","101","105","98","99","97","104","105","96","97"
"2012","WSN","6221","93","111","100","99","103","101","109","102","93","102","102","97","103","100"
"2004","CHW","6197","95","102","99","98","105","101","116","96","98","93","109","100","93","108"
"2016","HOU","6204","111","113","96","99","98","101","102","100","104","100","97","107","100","88"
"2001","STL","6177","96","103","100","100","100","101","100","101","","","","","",""
"2003","CHW","6148","102","95","98","99","104","101","113","95","98","93","110","105","95","96"
"2017","MIA","6248","86","98","102","99","98","101","93","102","97","112","87","94","102","106"
"2006","LAD","6394","106","91","101","102","98","101","92","101","100","102","98","98","101","102"
"2006","MIN","6228","95","87","104","102","97","101","85","103","109","108","86","90","107","106"
"2002","MIN","6196","90","108","103","100","103","101","103","106","103","107","90","97","100","105"
"2001","HOU","6325","103","103","101","102","103","101","105","102","","","","","",""
"2002","STL","6246","93","91","101","100","100","101","100","99","101","100","99","106","95","96"
"2018","WSN","6288","112","95","100","102","100","101","101","99","95","102","100","96","101","104"
"2017","STL","6219","106","103","98","100","97","101","96","100","102","98","101","104","97","97"
"2000","TOR","6326","87","104","100","98","106","101","115","98","","","","","",""
"2007","FLA","6344","93","128","98","98","103","101","111","104","102","94","105","103","98","98"
"2018","TOR","6076","99","105","98","98","103","101","110","97","100","97","104","104","96","100"
"2020","MIN","2168","95","103","100","99","103","101","108","97","103","92","108","100","97","104"
"2005","TBD","6120","86","102","102","99","100","101","96","103","100","101","99","98","105","97"
"2011","KCR","6267","87","89","106","102","102","101","93","106","103","103","94","94","102","107"
"2002","PHI","6323","108","106","97","100","100","101","104","99","101","96","105","99","103","99"
"2017","NYM","6169","95","100","96","96","99","101","105","94","98","91","112","102","102","95"
"2013","BAL","6144","83","93","101","97","106","101","115","97","95","100","103","105","95","99"
"2014","MIN","6233","113","108","100","102","99","100","98","104","102","99","100","100","98","103"
"2005","STL","6246","97","94","100","100","99","100","96","99","99","106","94","96","101","106"
"2007","NYM","6344","98","94","101","100","99","100","96","100","103","105","93","99","102","99"
"2013","SFG","6168","95","92","101","99","95","100","85","101","100","102","98","97","103","101"
"2015","SEA","6131","101","110","97","98","99","100","103","99","100","100","100","96","102","105"
"2001","BOS","6264","100","110","100","100","102","100","107","101","","","","","",""
"2007","LAA","6198","96","85","105","102","98","100","87","103","92","107","95","101","100","99"
"2018","CHC","6369","101","101","102","102","98","100","93","104","98","106","93","101","98","101"
"2008","NYM","6388","106","94","100","100","99","100","97","98","110","106","86","102","100","96"
"2004","PHI","6456","110","107","99","101","101","100","105","100","104","97","101","100","103","97"
"2010","CHW","6118","90","86","103","101","103","100","103","99","98","104","97","104","96","99"
"2020","HOU","2229","95","83","99","98","98","100","98","94","100","96","105","107","99","90"
"2009","CLE","6320","105","110","99","101","97","100","95","102","107","102","94","102","97","100"
"2006","ATL","6284","94","113","99","98","103","100","109","101","103","100","98","95","102","105"
"2007","MIL","6238","91","111","96","96","105","100","119","95","95","97","105","103","99","96"
"2021","WSN","5262","97","97","104","102","100","100","94","104","106","110","85","92","109","100"
"2000","DET","6343","93","99","100","98","99","100","97","100","","","","","",""
"2003","PHI","6333","114","113","97","101","97","100","97","101","105","100","97","96","103","104"
"2012","TBR","6105","116","113","94","99","96","100","99","97","96","96","107","113","95","86"
"2021","MIN","5317","104","100","98","100","101","100","106","96","100","101","99","107","96","93"
"2018","MIL","6210","96","109","99","99","102","100","105","101","99","106","93","97","104","99"
"2010","ATL","6252","115","99","99","102","97","100","95","100","101","102","98","99","100","101"
"2004","ATL","6339","102","112","100","101","99","100","98","104","100","105","94","98","102","102"
"2005","ATL","6186","98","109","99","98","102","100","107","100","98","103","98","96","100","106"
"2016","CLE","6155","108","98","102","102","101","100","101","102","102","97","103","101","100","98"
"2018","SEA","6087","85","92","102","99","98","100","92","100","99","106","93","99","102","99"
"2021","ATL","5279","102","106","98","98","104","100","113","97","99","95","106","104","99","95"
"2006","PHI","6509","108","113","98","101","101","100","106","100","102","102","97","105","98","94"
"2006","BOS","6435","126","102","98","103","99","100","102","98","102","91","110","108","99","89"
"2003","SFG","6204","106","98","98","99","99","100","99","98","97","97","106","103","103","92"
"2015","TBR","6071","93","109","99","99","98","100","98","101","103","97","103","103","98","97"
"2000","LAD","6312","106","106","94","97","97","99","100","94","","","","","",""
"2007","OAK","6365","122","105","95","100","96","99","99","95","103","92","108","100","103","97"
"2001","MIN","6185","96","106","102","101","101","99","100","105","","","","","",""
"2018","STL","6200","94","103","98","98","98","99","98","98","102","99","100","104","95","101"
"2011","CIN","6329","100","108","99","100","101","99","105","99","101","99","101","96","102","104"
"2021","NYY","5281","123","107","96","102","96","99","96","98","95","103","99","97","100","105"
"2013","PIT","6135","96","114","95","97","99","99","105","98","100","101","98","107","102","87"
"2007","ATL","6374","95","110","101","99","100","99","98","103","100","104","96","100","101","99"
"2014","SFG","6087","90","102","99","97","98","99","96","100","97","98","104","98","103","99"
"2006","NYM","6291","98","104","97","97","101","99","106","97","94","101","102","99","97","105"
"2008","ATL","6368","106","94","101","102","96","99","87","102","106","103","93","95","104","104"
"2013","TOR","6152","102","93","98","99","101","99","106","95","96","102","100","102","95","104"
"2015","BOS","6237","100","93","104","102","100","99","95","103","98","106","94","94","105","103"
"2008","MIN","6331","97","92","104","101","97","99","85","105","101","107","91","90","104","110"
"2014","WSN","6216","106","105","99","100","99","99","101","100","98","101","100","101","97","101"
"2010","PHI","6291","101","92","99","100","100","99","102","97","98","102","99","103","102","92"
"2000","NYM","6328","107","101","96","99","96","99","96","96","","","","","",""
"2005","OAK","6275","109","83","98","100","96","99","92","95","103","97","102","99","103","98"
"2015","KCR","6116","81","80","105","101","100","99","91","102","105","100","97","96","104","102"
"2010","STL","6241","98","89","100","100","97","99","92","98","101","104","94","97","100","106"
"2017","WSN","6214","97","102","102","100","103","99","104","102","99","99","102","99","99","103"
"2003","TEX","6293","94","106","99","99","106","99","117","97","107","90","108","105","98","93"
"2016","NYM","6115","98","104","94","96","98","99","104","93","104","88","113","103","100","96"
"2011","CLE","6142","99","115","97","98","97","99","97","101","99","103","98","104","100","93"
"2006","SDP","6287","101","107","97","97","94","99","90","99","99","98","103","98","100","103"
"2003","FLA","6186","92","98","99","98","98","99","95","99","101","104","94","98","101","102"
"2006","DET","6198","84","113","100","97","102","99","107","102","97","97","105","103","93","104"
"2017","TBR","6147","105","117","95","98","98","99","102","99","99","100","101","101","100","99"
"2005","DET","6136","80","107","101","97","101","99","100","103","99","101","100","98","98","105"
"2016","LAA","6041","97","79","101","100","95","99","87","97","98","104","97","95","105","102"
"2008","BAL","6211","100","95","100","99","102","99","106","98","98","98","103","98","100","103"
"2014","CHW","6077","89","114","100","98","102","99","106","103","101","105","94","97","98","108"
"2011","LAA","6088","90","99","98","97","98","98","99","98","99","101","100","97","103","100"
"2005","PHI","6345","115","106","100","103","99","98","97","102","110","97","98","97","108","96"
"2010","TEX","6302","95","90","106","103","103","98","97","104","105","103","94","93","104","105"
"2012","CHW","6111","94","103","100","99","102","98","107","99","103","96","103","100","97","104"
"2014","CLE","6222","105","97","100","100","99","98","99","99","106","97","100","103","97","100"
"2000","BAL","6238","93","92","98","98","98","98","97","97","","","","","",""
"2004","CHC","6281","86","105","99","96","105","98","114","98","103","96","103","106","91","100"
"2014","HOU","6055","106","121","95","98","98","98","102","100","98","98","104","97","105","98"
"2016","TBR","6046","93","119","94","95","100","98","110","98","96","94","110","106","94","98"
"2010","SFG","6143","90","97","98","97","99","98","100","97","97","102","99","104","96","100"
"2015","NYM","6145","100","105","94","96","98","98","104","94","103","92","109","103","95","102"
"2010","KCR","6209","89","83","105","101","98","98","85","103","100","101","98","96","103","103"
"2019","SEA","6199","112","112","94","98","96","98","100","96","98","96","106","95","100","108"
"2009","STL","6168","92","97","99","98","98","98","97","98","95","103","99","101","99","99"
"2005","FLA","6214","94","92","101","100","96","98","86","102","105","102","94","96","100","107"
"2004","HOU","6269","104","98","99","100","100","98","101","98","101","96","104","101","97","102"
"2018","LAA","6108","101","98","97","98","99","98","103","94","102","98","102","109","98","87"
"2021","SDP","5312","108","98","97","99","96","98","93","97","96","106","96","98","103","100"
"2015","TEX","6187","106","101","101","102","100","98","99","101","93","103","100","103","101","94"
"2006","STL","6225","96","90","99","98","98","98","96","97","100","104","96","101","100","99"
"2001","CHC","6219","104","101","97","99","98","98","99","97","","","","","",""
"2008","PHI","6273","102","104","96","98","103","98","115","94","103","97","101","107","99","89"
"2017","DET","6150","97","100","101","100","99","98","95","103","114","97","95","95","99","110"
"2005","SDP","6271","109","97","96","98","91","98","84","97","103","97","102","100","101","98"
"2019","MIL","6309","113","113","96","99","98","98","102","99","97","102","99","94","102","107"
"2016","PIT","6261","104","104","99","101","94","97","88","102","101","105","93","102","99","99"
"2009","FLA","6312","97","111","101","100","98","97","94","104","102","97","102","101","97","101"
"2002","FLA","6263","102","110","98","99","95","97","91","102","101","103","95","96","100","106"
"2021","LAA","5214","86","103","101","98","100","97","98","102","105","100","97","100","98","103"
"2012","OAK","6183","111","117","93","97","98","97","106","96","101","89","114","102","102","93"
"2008","MIL","6252","97","112","94","96","101","97","112","95","89","97","109","104","96","98"
"2006","OAK","6281","125","96","94","100","94","97","93","93","99","98","104","96","102","103"
"2004","LAD","6244","95","107","97","97","97","97","96","98","94","104","99","96","109","97"
"2015","BAL","6007","90","112","98","96","102","97","109","98","99","97","104","103","98","98"
"2001","SDP","6278","121","118","94","99","91","97","86","99","","","","","",""
"2015","PIT","6285","92","106","100","100","97","97","91","103","101","104","93","104","100","94"
"2016","LAD","6164","99","104","96","97","96","97","97","96","99","104","96","97","101","105"
"2001","LAD","6169","94","100","95","95","97","97","99","93","","","","","",""
"2014","COL","6164","82","104","108","102","113","97","121","107","101","102","96","96","103","102"
"2002","ARI","6318","109","98","100","102","100","97","99","101","102","103","95","98","103","100"
"2006","TEX","6273","97","105","101","99","102","97","104","102","102","98","101","102","100","97"
"2015","STL","6139","104","104","97","99","96","97","95","99","100","101","98","99","100","101"
"2009","ATL","6335","102","96","99","100","96","97","91","99","104","100","97","99","102","98"
"2012","SDP","6112","107","105","95","98","92","97","87","98","96","107","93","95","105","100"
"2014","TBR","6205","110","92","97","100","94","97","87","96","95","103","99","102","100","97"
"2019","LAA","6251","110","89","97","100","96","97","94","94","101","102","97","106","98","93"
"2003","HOU","6320","98","100","98","99","100","97","104","97","95","97","107","103","97","98"
"2011","TOR","6210","104","106","96","98","101","97","109","96","94","95","110","109","95","92"
"2011","ARI","6096","103","112","97","99","102","97","113","98","103","94","106","102","97","100"
"2015","CLE","6109","113","96","100","102","97","97","92","101","104","101","96","100","99","101"
"2012","CLE","6195","112","91","98","101","93","97","84","98","100","105","94","103","98","99"
"2016","CHW","6131","93","101","100","99","97","97","92","102","100","105","93","95","98","111"
"2018","ATL","6251","91","96","101","99","100","97","98","101","105","99","98","102","97","101"
"2012","ARI","6150","106","107","99","100","101","97","104","101","102","94","107","102","98","100"
"2007","COL","6498","108","108","103","103","100","97","97","106","111","102","93","86","108","112"
"2004","MIN","6286","96","96","98","98","99","97","101","97","93","106","97","103","96","98"
"2013","TEX","6196","92","87","102","101","102","97","100","99","98","102","99","99","101","101"
"2001","ARI","6349","103","97","99","100","100","97","102","98","","","","","",""
"2000","TEX","6364","95","93","103","101","100","97","97","102","","","","","",""
"2002","TOR","6230","100","113","99","99","101","97","105","101","103","98","100","95","105","103"
"2003","PIT","6315","93","103","100","99","98","97","94","101","99","100","101","101","99","100"
"2003","ANA","6119","94","87","100","99","96","96","90","99","101","97","103","98","102","102"
"2006","WSN","6283","106","112","96","99","94","96","92","100","100","101","99","96","99","108"
"2012","BAL","6160","97","111","97","97","101","96","109","97","96","100","102","105","100","93"
"2006","FLA","6191","90","123","97","97","98","96","100","102","97","102","100","99","98","104"
"2015","WSN","6117","111","110","96","99","98","96","101","98","95","104","98","102","97","102"
"2008","LAA","6155","91","95","100","98","98","96","95","99","91","107","97","103","99","97"
"2011","BAL","6156","91","101","99","98","101","96","104","98","97","101","101","99","102","99"
"2006","BAL","6240","92","87","101","100","97","96","90","99","101","102","97","101","100","100"
"2007","SDP","6326","100","118","92","94","94","96","98","96","97","95","107","103","98","97"
"2009","WSN","6273","106","110","97","99","96","96","95","100","98","103","97","104","97","98"
"2016","SFG","6271","106","86","99","100","94","96","85","98","102","102","97","94","101","108"
"2018","MIN","6154","105","99","100","100","97","96","93","101","102","95","105","98","101","102"
"2016","WSN","6201","100","98","98","99","100","96","103","96","92","99","107","104","98","97"
"2008","FLA","6206","96","129","95","96","101","96","112","99","94","96","108","108","93","96"
"2021","NYM","5119","92","106","96","97","93","96","88","99","102","102","97","97","99","106"
"2002","LAD","6146","75","94","99","94","97","96","93","98","99","105","94","96","104","103"
"2015","CHC","6200","115","123","94","99","97","96","103","100","98","94","109","106","98","94"
"2013","CIN","6293","116","104","97","101","98","96","99","98","98","102","99","96","100","106"
"2020","MIA","2167","95","107","99","98","91","96","80","104","93","111","91","98","97","107"
"2005","LAA","6186","92","87","101","98","96","96","88","100","101","97","103","100","100","100"
"2011","PHI","6279","102","89","97","99","98","96","99","95","98","101","100","103","101","94"
"2009","COL","6241","114","117","98","101","104","96","115","101","100","96","105","101","97","102"
"2000","ATL","6275","95","99","99","99","96","96","91","100","","","","","",""
"2012","MIN","6209","101","90","102","101","95","95","83","102","101","110","87","93","106","102"
"2007","BAL","6264","93","90","100","99","97","95","92","99","96","100","102","96","99","107"
"2017","CHW","6059","79","108","100","97","97","95","93","104","96","109","92","99","97","106"
"2007","TOR","6197","100","101","96","97","99","95","105","95","106","91","107","101","104","94"
"2015","OAK","6171","100","92","98","98","96","95","92","97","96","102","100","97","102","103"
"2017","BAL","6140","76","108","101","96","101","95","101","103","100","101","99","101","101","97"
"2001","FLA","6184","85","108","98","96","96","95","93","101","","","","","",""
"2003","KCR","6239","92","95","102","101","100","95","95","102","101","103","96","99","102","99"
"2006","LAA","6221","94","91","100","98","97","95","93","99","94","102","101","102","98","99"
"2016","MIN","6245","102","111","97","98","99","95","102","100","102","97","103","102","98","100"
"2015","ARI","6276","98","105","102","100","101","95","100","103","100","104","94","98","101","102"
"2013","SEA","6172","105","111","92","95","96","95","102","94","96","97","105","103","99","97"
"2014","STL","6086","99","93","99","100","93","95","84","99","101","104","94","92","104","106"
"2011","LAD","6094","97","97","99","99","93","95","82","100","106","101","96","92","101","111"
"2017","ARI","6224","103","111","97","99","102","95","108","100","98","102","98","97","104","99"
"2005","MIL","6156","98","117","97","98","99","95","103","100","104","98","100","93","106","105"
"2003","SDP","6246","100","107","97","98","90","95","78","101","104","103","94","95","101","108"
"2019","CLE","6124","108","95","98","100","98","95","98","97","93","101","103","103","98","99"
"2001","COL","6394","89","94","109","104","110","95","111","108","","","","","",""
"2018","PIT","6066","87","94","100","97","98","95","94","99","98","102","99","95","101","107"
"2006","SEA","6213","78","97","99","96","97","95","94","98","96","102","100","104","95","100"
"2003","OAK","6189","109","92","95","98","97","95","101","93","95","99","105","99","103","99"
"2017","CIN","6213","101","102","97","99","99","95","102","96","101","96","104","102","99","98"
"2021","PHI","5308","102","103","97","98","98","95","98","98","97","105","96","97","99","107"
"2014","MIA","6185","103","115","99","99","95","95","90","104","96","109","90","89","105","109"
"2010","OAK","6117","101","99","98","99","93","95","83","101","107","96","101","97","103","99"
"2005","CHW","6146","90","103","98","97","100","95","103","97","101","99","100","101","93","106"
"2016","TEX","6089","89","97","102","100","102","95","103","100","98","102","99","101","101","96"
"2005","CHC","6161","77","93","100","96","103","95","107","97","98","102","99","103","89","107"
"2015","LAA","5990","94","97","96","96","96","95","95","94","95","102","101","98","104","98"
"2012","BOS","6166","86","101","102","98","101","95","99","103","102","96","104","99","97","107"
"2004","TEX","6256","94","107","98","97","105","95","117","97","103","90","111","98","101","102"
"2002","CLE","6099","106","101","94","97","97","95","101","93","94","105","98","106","100","91"
"2016","MIA","6133","84","96","101","98","93","95","79","103","102","109","87","91","105","107"
"2013","WSN","6047","96","104","97","97","99","94","102","97","98","101","100","97","101","104"
"2018","CIN","6240","100","102","100","100","96","94","90","102","113","95","99","98","99","105"
"2019","STL","6167","103","105","95","97","93","94","91","97","102","96","103","101","102","95"
"2021","MIL","5360","103","108","96","98","96","94","97","98","100","102","98","99","101","99"
"2009","NYM","6159","92","86","102","99","93","94","80","102","105","108","89","90","105","110"
"2002","HOU","6252","101","110","99","99","99","94","99","101","102","97","103","101","97","101"
"2000","CIN","6373","88","96","100","98","100","94","100","99","","","","","",""
"2010","CLE","6165","104","110","95","98","93","94","88","99","101","102","97","105","97","96"
"2001","DET","6145","91","96","97","96","95","94","92","98","","","","","",""
"2001","TOR","6284","90","106","98","97","100","94","103","99","","","","","",""
"2016","COL","6236","92","104","106","102","108","94","111","107","104","99","99","97","99","106"
"2007","TEX","6214","95","118","97","97","101","94","107","100","103","95","104","96","102","103"
"2003","BAL","6241","84","92","100","97","95","94","86","100","103","100","98","103","97","99"
"2005","TOR","6233","99","97","99","100","96","94","90","100","103","101","96","98","102","100"
"2007","STL","6211","92","89","100","99","93","94","81","99","100","103","97","100","98","103"
"2012","KCR","6149","82","87","103","99","97","94","87","103","105","104","92","95","102","104"
"2018","NYM","6177","102","105","92","96","93","94","94","94","93","96","109","104","98","97"
"2021","BAL","5190","89","104","98","96","98","94","97","99","100","97","104","100","96","104"
"2007","CIN","6332","96","107","98","98","100","94","104","98","101","99","101","100","97","105"
"2014","SEA","5977","86","105","96","95","96","94","96","97","100","101","98","95","102","106"
"2014","NYY","6082","96","94","97","97","97","94","98","95","102","99","100","101","102","96"
"2009","DET","6234","98","103","97","98","97","94","96","98","98","99","102","104","95","100"
"2012","NYM","6091","100","107","95","97","93","94","89","98","106","100","97","99","98","104"
"2010","LAA","6089","90","101","95","95","96","94","96","95","95","105","97","95","105","102"
"2007","LAD","6282","92","84","101","98","93","94","80","99","99","108","91","94","104","104"
"2017","MIL","6135","99","122","95","97","98","94","102","101","103","103","94","99","100","101"
"2013","SDP","6122","95","113","95","95","94","94","93","98","101","104","94","107","98","92"
"2002","ATL","6224","96","101","98","98","97","94","95","98","96","106","95","100","102","98"
"2006","CIN","6296","110","115","95","98","98","94","103","96","99","100","100","101","100","98"
"2008","TOR","6191","98","90","98","99","95","94","89","98","102","101","98","97","104","100"
"2004","FLA","6160","90","96","98","97","93","94","85","99","97","103","98","97","97","107"
"2014","MIL","6065","89","99","98","97","100","94","106","96","97","100","103","97","98","107"
"2009","OAK","6247","96","96","98","98","93","94","83","99","104","97","101","90","105","110"
"2008","HOU","6051","81","101","98","95","97","93","96","98","94","105","98","96","102","103"
"2019","ARI","6315","97","99","98","98","98","93","97","98","98","101","100","101","106","90"
"2002","CHC","6242","100","124","92","95","98","93","106","96","94","101","102","103","99","97"
"2003","MIL","6270","97","121","95","97","97","93","100","99","94","104","99","94","106","103"
"2012","CIN","6115","95","108","96","97","99","93","104","97","101","95","106","100","96","106"
"2021","DET","5238","97","111","99","98","98","93","95","104","111","98","96","98","98","106"
"2009","BAL","6233","94","93","100","99","97","93","91","100","97","104","97","99","98","104"
"2005","NYM","6146","90","109","96","95","97","93","99","97","95","103","100","99","97","105"
"2012","PHI","6172","89","92","98","97","97","93","95","96","96","105","95","106","99","92"
"2013","ARI","6334","103","95","100","100","98","93","93","100","98","105","95","94","101","108"
"2004","COL","6333","99","114","102","101","104","93","108","105","97","103","98","96","99","107"
"2020","STL","2011","110","103","95","99","88","93","78","99","101","99","100","99","103","96"
"2008","LAD","6194","96","97","99","98","93","93","84","100","103","106","90","94","101","108"
"2004","SEA","6362","91","102","100","98","91","93","77","103","98","108","91","89","107","111"
"2021","STL","5189","88","100","96","95","95","93","93","96","99","95","107","104","97","98"
"2010","ARI","6183","108","134","95","98","101","93","110","103","99","94","108","102","101","96"
"2001","ANA","6226","96","98","98","98","94","93","89","98","","","","","",""
"2002","MON","6250","99","108","98","98","99","93","100","101","100","106","93","91","108","105"
"2017","TOR","6154","105","101","94","96","96","93","99","93","95","101","102","99","100","101"
"2009","SDP","6179","102","109","91","95","90","93","88","94","96","101","100","102","98","100"
"2016","ARI","6260","86","111","100","97","102","93","104","104","98","108","90","97","101","103"
"2009","TEX","6127","87","117","97","95","104","92","114","98","103","94","105","100","104","95"
"2008","SDP","6244","91","118","93","93","91","92","88","98","95","98","105","100","101","99"
"2001","PHI","6219","99","105","97","97","94","92","90","99","","","","","",""
"2019","CHW","6042","74","112","103","97","94","92","82","110","99","110","88","92","98","116"
"2012","ATL","6126","112","110","95","98","94","92","93","97","100","101","99","100","98","103"
"2021","SEA","5222","106","111","91","95","92","92","93","94","95","97","106","101","103","94"
"2014","KCR","6058","81","82","104","99","96","92","82","101","100","106","92","100","98","104"
"2010","FLA","6194","94","120","97","97","98","92","99","102","99","102","98","104","98","96"
"2014","NYM","6145","107","103","93","96","92","92","90","94","102","94","107","102","97","100"
"2010","SDP","6148","99","104","94","96","90","92","83","96","99","103","97","100","99","101"
"2011","FLA","6232","103","109","95","97","96","92","98","97","100","100","100","100","101","99"
"2016","MIL","6061","114","124","94","98","96","92","99","100","96","105","96","94","103","105"
"2012","TOR","6094","97","107","96","96","99","92","103","96","94","99","105","101","99","101"
"2020","CHC","2214","112","111","89","98","92","92","95","92","90","108","97","104","104","88"
"2019","PIT","6228","77","89","103","97","94","92","83","103","100","109","89","97","98","108"
"2000","BOS","6371","100","102","97","98","95","92","93","98","","","","","",""
"2019","TOR","6091","98","109","93","94","97","92","103","94","99","94","108","107","97","93"
"2016","NYY","6058","98","95","98","98","96","92","92","97","101","103","96","102","100","97"
"2018","CHW","6071","84","120","97","95","96","92","96","103","97","106","95","98","99","104"
"2007","HOU","6324","98","100","95","96","95","92","93","96","93","102","101","97","99","106"
"2017","LAA","6073","102","93","95","97","92","92","89","93","92","107","96","105","99","94"
"2021","CLE","5111","94","101","97","96","99","92","101","96","96","102","99","100","100","100"
"2004","CIN","6278","105","130","93","97","96","92","100","99","101","102","97","102","99","98"
"2006","KCR","6229","92","103","98","98","94","92","86","102","101","109","89","93","102","108"
"2010","LAD","6140","98","105","96","97","92","92","84","99","110","103","92","94","103","106"
"2019","PHI","6261","101","106","95","97","96","92","97","98","101","98","102","101","98","101"
"2013","MIL","6064","84","103","98","96","99","91","102","98","90","105","99","89","105","109"
"2020","KCR","2200","86","101","100","97","97","91","92","102","105","101","96","101","106","90"
"2015","CIN","6196","101","102","95","96","96","91","97","95","100","96","106","99","97","105"
"2002","NYM","6150","85","104","96","95","93","91","88","98","95","101","101","102","99","98"
"2011","CHC","6130","82","107","99","96","99","91","100","101","101","101","98","101","102","95"
"2017","BOS","6338","107","91","101","102","95","91","86","101","100","105","95","95","103","105"
"2002","SDP","6178","95","105","95","95","90","91","82","97","101","103","96","94","99","110"
"2005","ARI","6327","109","107","95","98","98","91","104","95","94","104","98","103","103","92"
"2021","CHC","5202","88","120","93","94","96","91","100","98","93","102","102","102","100","98"
"2017","KCR","6027","77","91","101","96","98","91","92","99","110","95","100","96","100","106"
"2007","MIN","6161","97","82","98","97","92","91","83","95","92","114","88","93","104","105"
"2011","ATL","6169","97","111","94","94","96","91","100","95","90","104","101","103","99","97"
"2009","CHW","6132","99","96","97","98","96","91","95","95","93","102","101","103","95","100"
"2014","CHC","6102","93","121","93","94","97","91","105","97","97","95","109","105","99","94"
"2005","LAD","6134","100","111","94","96","92","91","89","97","99","101","100","101","97","102"
"2000","SDP","6291","96","115","93","94","90","91","86","98","","","","","",""
"2003","CHC","6187","88","116","97","95","97","91","97","100","102","101","98","101","97","101"
"2020","CIN","2123","121","109","86","96","96","91","109","84","100","94","107","105","101","91"
"2012","PIT","6014","89","117","93","93","95","91","100","96","93","100","104","101","97","103"
"2020","SEA","2181","105","105","93","97","89","91","84","96","95","102","101","92","109","101"
"2015","MIA","5988","79","96","100","96","94","91","83","100","96","114","84","87","107","110"
"2000","PIT","6369","89","100","98","97","95","91","91","99","","","","","",""
