"Season","Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"2015","MIL","6024","86","108","97","95","96","87","95","99","96","105","96","92","100","112"
"2017","PHI","6133","90","110","96","94","94","87","90","99","100","103","95","96","100","107"
"2004","TBD","6098","91","95","95","95","93","87","90","95","93","103","100","99","103","99"
"2012","SEA","6057","96","108","91","92","90","87","87","94","102","97","103","99","97","106"
"2000","MON","6153","77","105","98","93","97","87","95","99","","","","","",""
"2006","ARI","6330","90","93","98","97","96","87","93","97","97","103","98","100","101","99"
"2013","COL","6152","87","103","105","100","104","87","104","106","106","101","95","93","104","105"
"2021","KCR","5217","83","93","99","96","94","87","86","98","101","103","96","103","102","94"
"2006","COL","6348","99","106","99","99","98","87","96","103","108","101","95","92","101","111"
"2018","BAL","6034","84","107","96","94","94","87","91","97","91","104","100","99","101","101"
"2005","KCR","6086","89","105","98","97","93","87","85","101","98","101","100","94","103","106"
"2012","MIA","6057","97","106","94","94","92","87","90","95","98","99","103","98","102","100"
"2021","MIA","5190","84","117","95","93","89","87","81","103","96","108","93","94","100","109"
"2008","KCR","6118","75","98","100","95","94","87","84","102","102","107","91","90","106","109"
"2002","TBD","6198","87","111","96","95","92","87","85","100","97","106","95","99","99","102"
"2001","NYM","6156","99","101","93","95","88","87","80","95","","","","","",""
"2008","CIN","6188","99","106","92","95","96","87","101","92","94","103","100","104","97","97"
"2015","COL","6071","80","106","102","97","105","87","112","102","100","98","103","98","102","101"
"2016","ATL","6192","94","98","98","97","90","86","79","100","100","106","92","88","104","113"
"2003","ARI","6261","94","100","98","97","97","86","94","99","103","103","94","99","103","98"
"2013","NYY","6044","95","102","95","96","93","86","89","96","101","101","99","97","103","100"
"2011","SDP","6074","98","119","92","93","86","86","77","98","96","106","95","99","102","99"
"2019","COL","6288","88","109","103","99","102","86","102","107","104","99","99","94","102","107"
"2001","TBD","6104","90","111","97","96","90","86","80","102","","","","","",""
"2014","PHI","6198","91","105","94","94","92","86","87","96","101","102","97","107","96","95"
