"Season","Team","Batting","Base Running","Fielding","Positional","Offense","Defense","League","Replacement","RAR","WAR","Dollars"
"2021","PIT","-118.4","0.4","-3.9","26.7","-118.0","22.8","6.7","162.1","73.5","7.4","$59.1"
"2008","KCR","-99.6","-9.5","-14.9","-14.7","-109.1","-29.6","26.2","186.3","73.8","7.4","$45.6"
"2002","KCR","-115.0","10.9","-19.8","-15.3","-104.1","-35.1","22.2","189.1","72.1","7.2","$28.2"
"2020","BOS","17.8","-0.5","1.1","-6.7","17.3","-5.6","-13.9","75.0","72.9","7.1","$56.7"
"2017","SDP","-139.4","6.7","-27.1","34.5","-132.7","7.4","11.6","184.0","70.4","7.0","$56.0"
"2020","KCR","-23.4","3.1","1.1","-7.7","-20.3","-6.6","26.8","71.6","71.6","7.0","$55.7"
"2020","PHI","26.3","3.3","-10.7","-7.2","29.7","-18.0","-13.4","72.4","70.7","6.9","$55.0"
"2020","CLE","-34.8","-1.2","13.0","-6.9","-36.0","6.1","27.4","73.2","70.6","6.9","$54.9"
"2011","PIT","-87.9","-15.2","-48.8","30.9","-103.1","-17.8","8.0","176.3","63.4","6.7","$51.0"
"2001","PIT","-154.1","-13.3","3.0","35.4","-167.4","38.4","9.5","188.0","68.5","6.7",""
"2001","TBD","-105.2","0.1","-26.0","-15.0","-105.1","-41.0","21.6","190.4","65.9","6.4",""
"2008","PIT","-89.2","0.1","-83.7","35.0","-89.2","-48.6","9.7","191.2","63.1","6.3","$39.0"
"2018","SFG","-137.5","-2.9","-28.7","36.6","-140.4","7.9","9.5","182.9","59.8","6.2","$49.3"
"2018","DET","-125.0","6.4","-2.0","-18.5","-118.5","-20.5","18.4","180.4","59.8","6.2","$49.3"
"2012","HOU","-127.5","-16.9","-15.9","33.6","-144.4","17.7","4.6","177.6","55.5","5.8","$37.8"
"2004","MON","-183.9","-0.7","-2.9","38.9","-184.6","36.0","16.5","190.5","58.3","5.7","$23.8"
"2020","HOU","0.3","-0.6","-12.6","-7.3","-0.3","-19.9","5.8","72.6","58.2","5.7","$45.3"
"2020","TOR","14.3","-2.9","-7.4","-6.8","11.4","-14.2","-13.6","73.7","57.2","5.6","$44.5"
"2013","CHW","-104.8","-12.7","-13.7","-15.3","-117.5","-29.0","23.4","173.6","50.5","5.5","$40.3"
"2010","HOU","-150.2","-6.4","-4.9","32.5","-156.6","27.6","3.5","177.9","52.4","5.4","$32.6"
"2020","DET","-29.0","-2.3","-0.5","-7.6","-31.3","-8.0","25.3","67.6","53.5","5.2","$41.7"
"2003","NYM","-151.1","-4.4","-23.5","34.1","-155.5","10.6","11.6","185.6","52.3","5.1","$22.1"
"2020","SEA","-25.3","7.0","1.4","-7.1","-18.3","-5.7","5.7","71.0","52.7","5.1","$41.0"
"2020","CIN","-25.4","-6.0","-3.3","-8.4","-31.4","-11.7","25.8","69.1","51.9","5.0","$40.4"
"2020","ARI","-35.0","5.5","8.1","-7.0","-29.5","1.1","5.9","72.9","50.3","4.9","$39.1"
"2020","BAL","10.8","-4.1","-13.7","-7.2","6.7","-21.0","-13.5","73.0","45.2","4.4","$35.2"
"2020","MIL","-29.8","-17.6","1.5","-7.1","-47.4","-5.7","26.6","71.3","44.8","4.4","$34.9"
"2011","MIN","-126.9","-6.5","-9.1","-16.7","-133.4","-25.8","24.4","175.0","40.2","4.3","$32.3"
"2011","SEA","-136.2","11.9","-21.8","-14.8","-124.4","-36.6","24.2","173.6","36.9","3.9","$29.7"
"2020","MIA","-12.3","4.0","-3.9","-6.8","-8.3","-10.7","-13.0","70.6","38.5","3.7","$29.9"
"2000","MIN","-119.8","-1.9","-47.0","-17.5","-121.7","-64.5","22.9","203.1","39.8","3.3",""
"2013","MIA","-173.7","-5.2","-0.6","30.1","-178.9","29.5","8.3","172.0","30.9","3.3","$24.7"
"2020","WSN","10.2","-3.6","-24.5","-7.3","6.6","-31.8","-13.4","72.2","33.7","3.3","$26.2"
