"Season","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA"
"2012","BAL","6160","0","","","","0","","0","",".247","",".417","",".317",""
"2012","BOS","6166","0","","","","0","","0","",".260","",".415","",".316",""
"2012","CHW","6111","0","","","","0","","0","",".255","",".422","",".322",""
"2012","CLE","6195","0","","","","0","","0","",".251","",".381","",".310",""
"2012","DET","6119","0","","","","0","","0","",".268","",".422","",".328",""
"2012","KCR","6149","0","","","","0","","0","",".265","",".400","",".311",""
"2012","MIN","6209","0","","","","0","","0","",".260","",".390","",".313",""
"2012","NYY","6231","0","","","","0","","0","",".265","",".453","",".342",""
"2012","OAK","6183","0","","","","0","","0","",".238","",".404","",".311",""
"2012","SEA","6057","0","","","","0","","0","",".234","",".369","",".291",""
"2012","TBR","6105","0","","","","0","","0","",".240","",".394","",".311",""
"2012","TEX","6216","0","","","","0","","0","",".273","",".446","",".336",""
"2012","TOR","6094","0","","","","0","","0","",".245","",".407","",".311",""
"2012","ARI","6150","0","","","","0","","0","",".259","",".418","",".323",""
"2012","ATL","6126","0","","","","0","","0","",".247","",".389","",".310",""
"2012","CHC","5967","0","","","","0","","0","",".240","",".378","",".297",""
"2012","CIN","6115","0","","","","0","","0","",".251","",".411","",".314",""
"2012","COL","6183","0","","","","0","","0","",".274","",".436","",".331",""
"2012","MIA","6057","0","","","","0","","0","",".244","",".382","",".300",""
"2012","HOU","6014","0","","","","0","","0","",".236","",".371","",".296",""
"2012","LAD","6091","0","","","","0","","0","",".252","",".374","",".302",""
"2012","MIL","6224","0","","","","0","","0","",".259","",".437","",".329",""
"2012","WSN","6221","0","","","","0","","0","",".261","",".428","",".324",""
"2012","NYM","6091","0","","","","0","","0","",".249","",".386","",".306",""
"2012","PHI","6172","0","","","","0","","0","",".255","",".400","",".311",""
"2012","PIT","6014","0","","","","0","","0","",".243","",".395","",".304",""
"2012","STL","6326","0","","","","0","","0","",".271","",".421","",".329",""
"2012","SDP","6112","0","","","","0","","0","",".247","",".380","",".307",""
"2012","SFG","6200","0","","","","0","","0","",".269","",".397","",".314",""
"2013","LAA","6260","0","","","","0","","0","",".264","",".414","",".325",""
"2013","BAL","6144","0","","","","0","","0","",".260","",".431","",".323",""
"2013","BOS","6382","0","","","","0","","0","",".277","",".446","",".347",""
"2013","CHW","6077","0","","","","0","","0","",".249","",".378","",".299",""
"2013","CLE","6165","0","","","","0","","0","",".255","",".410","",".324",""
"2013","DET","6388","0","","","","0","","0","",".283","",".434","",".341",""
"2013","KCR","6093","0","","","","0","","0","",".260","",".379","",".305",""
"2013","MIN","6212","0","","","","0","","0","",".242","",".380","",".307",""
"2013","NYY","6044","0","","","","0","","0","",".242","",".376","",".301",""
"2013","OAK","6209","0","","","","0","","0","",".254","",".419","",".327",""
"2013","SEA","6172","0","","","","0","","0","",".237","",".390","",".307",""
"2013","TBR","6242","0","","","","0","","0","",".257","",".408","",".324",""
"2013","TEX","6196","0","","","","0","","0","",".262","",".412","",".323",""
"2013","TOR","6152","0","","","","0","","0","",".252","",".411","",".320",""
"2013","ARI","6334","0","","","","0","","0","",".259","",".391","",".314",""
"2013","ATL","6133","0","","","","0","","0","",".249","",".402","",".318",""
"2013","CHC","6079","0","","","","0","","0","",".238","",".392","",".304",""
"2013","CIN","6293","0","","","","0","","0","",".249","",".391","",".316",""
"2013","COL","6152","0","","","","0","","0","",".270","",".418","",".324",""
"2013","MIA","6021","0","","","","0","","0","",".231","",".335","",".279",""
"2013","HOU","6020","0","","","","0","","0","",".240","",".375","",".298",""
"2013","LAD","6145","0","","","","0","","0","",".264","",".396","",".317",""
"2013","MIL","6064","0","","","","0","","0","",".252","",".398","",".311",""
"2013","WSN","6047","0","","","","0","","0","",".251","",".398","",".311",""
"2013","NYM","6207","0","","","","0","","0","",".237","",".366","",".297",""
"2013","PHI","6014","0","","","","0","","0","",".248","",".384","",".303",""
"2013","PIT","6135","0","","","","0","","0","",".245","",".396","",".312",""
"2013","STL","6202","0","","","","0","","0","",".269","",".401","",".322",""
"2013","SDP","6122","0","","","","0","","0","",".245","",".378","",".302",""
"2013","SFG","6168","0","","","","0","","0","",".260","",".381","",".309",""
"2014","LAA","6284","0","","","","0","","0","",".259","",".406","",".321",""
"2014","BAL","6130","0","","","","0","","0","",".256","",".422","",".323",""
"2014","BOS","6226","0","","","","0","","0","",".244","",".369","",".305",""
"2014","CHW","6077","0","","","","0","","0","",".253","",".398","",".312",""
"2014","CLE","6222","0","","","","0","","0","",".253","",".389","",".313",""
"2014","DET","6202","0","","","","0","","0","",".277","",".426","",".331",""
"2014","KCR","6058","0","","","","0","","0","",".263","",".376","",".306",""
"2014","MIN","6233","0","","","","0","","0","",".254","",".389","",".316",""
"2014","NYY","6082","0","","","","0","","0","",".245","",".380","",".305",""
"2014","OAK","6245","0","","","","0","","0","",".244","",".381","",".312",""
"2014","SEA","5977","0","","","","0","","0","",".244","",".376","",".299",""
"2014","TBR","6205","0","","","","0","","0","",".247","",".367","",".305",""
"2014","TEX","6026","0","","","","0","","0","",".256","",".375","",".305",""
"2014","TOR","6167","0","","","","0","","0","",".259","",".414","",".325",""
"2014","ARI","6089","0","","","","0","","0","",".248","",".376","",".300",""
"2014","ATL","6064","0","","","","0","","0","",".241","",".360","",".296",""
"2014","CHC","6102","0","","","","0","","0","",".239","",".385","",".303",""
"2014","CIN","5978","0","","","","0","","0","",".238","",".365","",".294",""
"2014","COL","6164","0","","","","0","","0","",".276","",".445","",".337",""
"2014","MIA","6185","0","","","","0","","0","",".253","",".378","",".307",""
"2014","HOU","6055","0","","","","0","","0","",".242","",".383","",".308",""
"2014","LAD","6231","0","","","","0","","0","",".265","",".406","",".327",""
"2014","MIL","6065","0","","","","0","","0","",".250","",".397","",".313",""
"2014","WSN","6216","0","","","","0","","0","",".253","",".393","",".317",""
"2014","NYM","6145","0","","","","0","","0","",".239","",".364","",".299",""
"2014","PHI","6198","0","","","","0","","0","",".242","",".363","",".295",""
"2014","PIT","6224","0","","","","0","","0","",".259","",".404","",".325",""
"2014","STL","6086","0","","","","0","","0","",".253","",".369","",".308",""
"2014","SDP","5905","0","","","","0","","0","",".226","",".342","",".283",""
"2014","SFG","6087","0","","","","0","","0","",".255","",".388","",".308",""
