Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30,WHIP,oWHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,New York Mets,40,34,.540,L 2,3.6,3.4,0.2,-0.2,0.1,39-35,1,18-16,5-6,14-6,3-6,24-11,16-23,4-3,16-13,32-22,8-12,10-17,30-17,4-6,10-10,16-14,1.152,1.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,New York Yankees,40,38,.513,L 4,4.0,4.1,-0.1,0.2,0.1,38-40,2,17-24,13-6,7-4,3-4,21-19,19-19,3-6,12-8,28-24,12-14,23-24,17-14,4-6,9-11,12-18,1.188,1.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Oakland Athletics,47,33,.588,W 1,4.6,4.1,0.4,0.1,0.5,44-36,3,12-11,12-2,15-15,8-5,25-18,22-15,2-2,12-9,26-22,21-11,17-22,30-11,4-6,12-8,19-11,1.248,1.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Philadelphia Phillies,36,40,.474,L 1,4.3,4.5,-0.3,0.1,-0.1,36-40,0,19-21,9-5,4-8,4-6,21-14,15-26,5-4,14-13,25-24,11-16,21-26,15-14,3-7,10-10,14-16,1.275,1.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Pittsburgh Pirates,29,48,.377,L 1,3.6,4.7,-1.1,-0.1,-1.2,29-48,0,4-7,10-23,7-11,8-7,16-21,13-27,4-1,9-9,24-35,5-13,15-31,14-17,6-4,6-14,11-19,1.356,1.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,San Diego Padres,47,33,.588,W 1,4.6,3.6,1.0,0.0,1.0,49-31,-2,3-4,14-13,22-15,8-1,30-15,17-18,5-4,11-11,33-28,14-5,26-23,21-10,9-1,11-9,15-15,1.169,1.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,San Francisco Giants,50,28,.641,L 2,4.9,3.7,1.3,0.0,1.2,49-29,1,10-7,11-4,20-12,9-5,26-11,24-17,5-5,14-11,36-19,14-9,22-16,28-12,7-3,13-7,21-9,1.295,1.470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Seattle Mariners,41,38,.519,L 1,4.1,4.6,-0.5,0.1,-0.4,35-44,6,10-5,12-13,15-12,4-8,24-16,17-22,8-1,18-7,27-27,14-11,22-22,19-16,7-3,12-8,18-12,1.102,1.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,St. Louis Cardinals,38,41,.481,W 1,3.9,4.5,-0.6,-0.2,-0.8,35-44,3,14-13,14-17,8-6,2-5,21-18,17-23,3-1,9-8,28-34,10-7,15-28,23-13,3-7,7-13,11-19,1.360,1.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tampa Bay Rays,47,32,.595,L 1,4.9,3.8,1.1,0.1,1.1,48-31,-1,21-11,5-4,13-15,8-2,23-16,24-16,3-9,10-13,30-18,17-14,24-24,23-8,4-6,11-9,17-13,1.146,1.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
