Year,Tm,Lg,Wtm,Ltm,tmW-L%,Outs,RC,RC/G,AIR,BAbip,BA,OBP,SLG,OPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd
2020,SFG,NL,29,31,0,1563,317,5.2,100,0.311,0.264,0.335,0.451,0.785,113,0.547,36.1,3.3,0.745,0.289,0.187,30.8
2020,WSN,NL,26,34,0,1529,303,5.1,99,0.308,0.264,0.336,0.433,0.769,110,0.536,31.0,2.8,0.739,0.278,0.170,44.0
2020,CHC,NL,34,26,1,1562,250,4.1,101,0.270,0.220,0.318,0.387,0.705,91,0.439,-21.1,-2.1,0.676,0.294,0.167,36.2
2020,SEA,AL,27,33,0,1560,235,3.9,93,0.281,0.226,0.309,0.370,0.678,91,0.433,-18.5,-1.9,0.647,0.269,0.144,54.5
2020,TOR,AL,32,28,1,1574,301,5.0,98,0.297,0.255,0.325,0.441,0.766,109,0.541,25.8,2.4,0.735,0.300,0.186,48.0
2020,CHW,AL,35,25,1,1579,307,5.1,99,0.314,0.261,0.326,0.453,0.779,112,0.549,30.5,2.9,0.736,0.286,0.193,33.1
2020,KCR,AL,26,34,0,1569,258,4.3,101,0.297,0.244,0.309,0.402,0.711,92,0.472,-26.4,-2.7,0.670,0.260,0.159,57.0
2020,CIN,NL,31,29,1,1512,245,4.2,112,0.245,0.212,0.312,0.403,0.715,83,0.445,-48.7,-4.8,0.693,0.332,0.191,43.9
2020,HOU,AL,29,31,0,1583,262,4.3,100,0.273,0.240,0.312,0.408,0.720,95,0.475,-16.0,-1.6,0.671,0.270,0.168,33.4
2020,LAA,AL,26,34,0,1600,302,4.9,102,0.284,0.248,0.332,0.430,0.763,105,0.535,14.3,1.3,0.732,0.307,0.182,33.7
2020,MIA,NL,31,29,1,1529,250,4.2,102,0.306,0.244,0.319,0.385,0.703,89,0.449,-30.1,-2.9,0.668,0.258,0.141,55.1
2020,CLE,AL,35,25,1,1586,248,4.1,103,0.277,0.228,0.317,0.372,0.689,85,0.450,-38.6,-3.9,0.651,0.274,0.145,35.1
2020,SDP,NL,37,23,1,1542,321,5.3,95,0.291,0.257,0.333,0.466,0.798,121,0.559,59.0,5.5,0.795,0.334,0.209,69.7
2020,OAK,AL,36,24,1,1541,259,4.4,94,0.271,0.225,0.322,0.396,0.718,101,0.482,8.5,0.8,0.694,0.308,0.171,38.1
2020,COL,NL,26,34,0,1605,269,4.3,112,0.316,0.257,0.311,0.405,0.716,83,0.460,-57.8,-5.6,0.662,0.243,0.148,50.4
2020,MIN,AL,36,24,1,1530,267,4.5,96,0.283,0.242,0.315,0.428,0.743,105,0.500,12.7,1.2,0.698,0.286,0.186,24.3
2020,MIL,NL,29,31,0,1565,236,3.9,104,0.278,0.223,0.313,0.389,0.703,87,0.412,-36.0,-3.5,0.655,0.283,0.166,25.0
2020,NYY,AL,33,27,1,1512,305,5.2,97,0.280,0.247,0.342,0.447,0.789,117,0.565,48.7,4.6,0.776,0.342,0.200,42.0
2020,DET,AL,23,35,0,1493,236,4.1,98,0.314,0.245,0.303,0.397,0.700,92,0.454,-24.0,-2.4,0.633,0.237,0.152,29.1
2020,LAD,NL,43,17,1,1588,339,5.5,100,0.277,0.256,0.338,0.483,0.821,121,0.570,61.1,5.7,0.809,0.349,0.227,46.6
2020,PIT,NL,19,41,0,1574,206,3.4,101,0.268,0.220,0.284,0.357,0.641,73,0.351,-77.0,-7.5,0.570,0.226,0.137,25.2
2019,MIA,NL,57,105,0,4419,625,3.8,106,0.300,0.241,0.298,0.375,0.673,78,0.379,-173.4,-16.7,0.594,0.210,0.134,79.9
2019,NYM,NL,86,76,1,4390,840,5.1,105,0.299,0.257,0.328,0.442,0.770,104,0.515,37.1,3.3,0.727,0.282,0.185,91.0
2019,SEA,AL,68,94,0,4376,766,4.7,101,0.287,0.237,0.316,0.424,0.740,99,0.469,1.8,0.0,0.715,0.306,0.187,155.3
2019,ARI,NL,85,77,1,4419,831,5.0,112,0.293,0.252,0.323,0.434,0.757,94,0.507,-59.3,-5.8,0.723,0.292,0.183,125.7
2019,HOU,AL,107,55,1,4315,1004,6.2,108,0.297,0.274,0.353,0.496,0.848,120,0.598,171.0,15.8,0.838,0.344,0.222,108.7
2019,TBR,AL,96,66,1,4394,810,4.9,102,0.306,0.254,0.325,0.431,0.757,103,0.493,32.8,2.9,0.721,0.284,0.178,131.2
2019,ATL,NL,97,65,1,4320,898,5.6,117,0.305,0.258,0.337,0.452,0.789,97,0.553,-33.1,-3.4,0.770,0.317,0.195,131.1
2019,WSN,NL,93,69,1,4288,907,5.7,111,0.306,0.265,0.342,0.455,0.796,105,0.560,41.1,3.6,0.783,0.311,0.190,154.4
2019,PHI,NL,81,81,1,4385,799,4.9,110,0.293,0.246,0.319,0.427,0.746,92,0.492,-63.7,-6.2,0.712,0.293,0.181,114.5
2019,LAD,NL,106,56,1,4289,930,5.8,106,0.291,0.257,0.338,0.472,0.810,112,0.572,103.7,9.6,0.797,0.334,0.215,94.7
2019,BAL,AL,54,108,0,4417,737,4.5,105,0.293,0.246,0.310,0.415,0.725,92,0.447,-68.9,-6.7,0.674,0.260,0.168,120.5
2019,BOS,AL,84,78,1,4437,941,5.7,111,0.313,0.269,0.340,0.466,0.806,107,0.557,58.0,5.2,0.776,0.305,0.197,106.5
2019,LAA,AL,72,90,0,4383,794,4.9,108,0.281,0.247,0.324,0.422,0.746,94,0.485,-44.3,-4.5,0.705,0.289,0.175,100.4
2019,CHC,NL,84,78,1,4303,848,5.3,109,0.297,0.252,0.331,0.452,0.783,103,0.528,21.4,1.8,0.750,0.310,0.200,76.5
2019,TOR,AL,67,95,0,4363,733,4.5,104,0.280,0.237,0.305,0.428,0.733,94,0.450,-48.6,-4.8,0.684,0.290,0.192,84.5
2019,CHW,AL,72,89,0,4296,730,4.6,106,0.329,0.261,0.314,0.414,0.728,92,0.456,-67.4,-6.6,0.661,0.228,0.153,93.6
2019,CIN,NL,75,87,0,4334,747,4.6,117,0.288,0.244,0.315,0.422,0.737,84,0.467,-147.9,-14.2,0.693,0.276,0.178,118.3
2019,OAK,AL,97,65,1,4381,830,5.1,100,0.282,0.249,0.327,0.448,0.776,109,0.505,88.7,8.2,0.739,0.308,0.199,82.3
2019,SDP,NL,70,92,0,4335,697,4.3,105,0.293,0.238,0.308,0.410,0.718,90,0.436,-77.9,-7.6,0.665,0.272,0.172,106.1
2019,SFG,NL,77,85,0,4452,677,4.1,106,0.290,0.239,0.302,0.392,0.694,83,0.411,-131.8,-12.7,0.629,0.241,0.153,73.4
2019,CLE,AL,93,69,1,4302,787,4.9,111,0.289,0.250,0.323,0.432,0.756,94,0.489,-48.4,-4.7,0.726,0.299,0.183,140.9
2019,COL,NL,71,91,0,4394,872,5.3,123,0.321,0.265,0.326,0.456,0.782,90,0.531,-102.8,-10.0,0.740,0.284,0.190,107.8
2019,STL,NL,91,71,1,4331,764,4.7,106,0.292,0.245,0.322,0.415,0.737,95,0.478,-34.9,-3.4,0.709,0.289,0.170,149.4
2019,MIN,AL,101,61,1,4358,967,5.9,105,0.300,0.270,0.338,0.494,0.832,119,0.577,155.3,14.5,0.805,0.317,0.224,51.3
2019,MIL,NL,89,73,1,4379,855,5.2,111,0.296,0.247,0.329,0.438,0.767,97,0.524,-23.0,-2.5,0.748,0.319,0.192,143.9
2019,PIT,NL,69,93,0,4389,782,4.8,108,0.309,0.265,0.321,0.420,0.741,93,0.482,-57.9,-5.7,0.680,0.237,0.156,91.9
2019,DET,AL,47,114,0,4395,644,3.9,107,0.308,0.240,0.294,0.388,0.682,79,0.390,-173.3,-16.6,0.610,0.225,0.148,82.5
2019,NYY,AL,103,59,1,4268,944,5.9,106,0.307,0.267,0.339,0.490,0.829,117,0.575,137.7,12.8,0.807,0.330,0.223,93.2
2019,TEX,AL,78,84,0,4363,799,4.9,116,0.304,0.248,0.319,0.431,0.750,88,0.490,-105.5,-10.2,0.725,0.296,0.183,165.0
2019,KCR,AL,59,103,0,4358,705,4.3,108,0.301,0.247,0.309,0.401,0.710,85,0.433,-123.7,-11.9,0.661,0.251,0.154,135.9
