Year,Tm,Lg,Wtm,Ltm,tmW-L%,Outs,RC,RC/G,AIR,BAbip,BA,OBP,SLG,OPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd
2016,NYY,AL,84,78,1,4293,710,4.4,105,0.289,0.253,0.315,0.405,0.720,91,0.471,-73.4,-7.3,0.663,0.249,0.153,103.3
2016,WSN,NL,95,67,1,4339,808,5.0,107,0.293,0.256,0.326,0.426,0.751,96,0.529,-31.4,-3.3,0.724,0.283,0.170,151.6
2016,CLE,AL,94,67,1,4308,801,5.0,110,0.304,0.262,0.329,0.430,0.759,96,0.524,-27.6,-2.8,0.728,0.284,0.168,155.4
2016,LAD,NL,91,71,1,4350,747,4.6,102,0.294,0.249,0.319,0.409,0.728,95,0.492,-35.3,-3.6,0.673,0.258,0.160,72.7
2016,COL,NL,75,87,0,4310,886,5.5,118,0.326,0.275,0.336,0.457,0.794,97,0.573,-36.6,-3.8,0.750,0.275,0.182,99.7
2016,PHI,NL,71,91,0,4362,636,3.9,104,0.291,0.240,0.301,0.384,0.685,82,0.417,-148.3,-14.7,0.622,0.232,0.144,120.3
2016,DET,AL,86,75,1,4269,810,5.1,102,0.312,0.267,0.331,0.438,0.769,106,0.533,46.8,4.3,0.718,0.266,0.171,91.0
2016,SEA,AL,86,76,1,4368,793,4.8,99,0.297,0.259,0.326,0.430,0.756,106,0.513,54.7,5.1,0.705,0.267,0.171,89.5
2015,MIA,NL,71,91,0,4332,663,4.1,96,0.307,0.260,0.310,0.384,0.694,93,0.467,-58.9,-6.1,0.621,0.205,0.124,115.9
2015,KCR,AL,95,67,1,4326,747,4.6,102,0.301,0.269,0.322,0.412,0.734,98,0.509,-22.4,-2.4,0.674,0.225,0.144,119.0
2015,MIN,AL,83,79,1,4360,661,4.1,98,0.292,0.247,0.305,0.399,0.704,92,0.450,-60.5,-6.2,0.637,0.239,0.152,96.6
2015,NYM,NL,90,72,1,4392,708,4.3,97,0.287,0.244,0.312,0.400,0.712,96,0.491,-25.5,-2.8,0.651,0.249,0.156,79.2
2015,TBR,AL,80,82,0,4334,711,4.4,95,0.300,0.252,0.314,0.406,0.720,100,0.485,7.6,0.6,0.664,0.241,0.154,114.4
2015,ARI,NL,79,83,0,4436,796,4.8,103,0.316,0.265,0.324,0.414,0.738,97,0.540,-28.2,-3.2,0.691,0.252,0.150,142.2
2015,ATL,NL,67,95,0,4338,623,3.9,97,0.297,0.251,0.314,0.359,0.674,87,0.438,-90.2,-9.3,0.597,0.202,0.108,81.7
2015,SEA,AL,76,86,0,4406,725,4.4,94,0.292,0.249,0.311,0.411,0.722,101,0.487,12.1,1.0,0.661,0.253,0.162,102.3
2015,PHI,NL,63,99,0,4388,646,3.9,97,0.300,0.249,0.303,0.382,0.684,89,0.449,-88.6,-9.1,0.613,0.213,0.133,105.0
2015,BAL,AL,81,81,1,4319,708,4.4,100,0.291,0.250,0.307,0.421,0.728,97,0.485,-35.4,-3.7,0.661,0.251,0.171,73.2
2015,WSN,NL,83,79,1,4323,736,4.6,101,0.300,0.251,0.321,0.403,0.724,96,0.516,-30.7,-3.5,0.670,0.257,0.151,86.2
2015,BOS,AL,78,84,0,4371,773,4.7,104,0.305,0.265,0.325,0.415,0.740,97,0.520,-27.9,-3.0,0.682,0.242,0.150,98.5
2015,LAD,NL,92,70,1,4287,743,4.6,95,0.292,0.250,0.326,0.413,0.739,106,0.524,49.8,4.8,0.690,0.272,0.163,89.7
2015,PIT,NL,98,64,1,4433,749,4.5,98,0.314,0.260,0.323,0.396,0.719,97,0.512,-18.5,-2.1,0.664,0.227,0.136,115.3
2015,CHC,NL,97,65,1,4355,748,4.6,98,0.305,0.244,0.321,0.398,0.720,98,0.520,-9.7,-1.3,0.681,0.268,0.154,122.1
2015,CHW,AL,76,86,0,4386,646,3.9,95,0.296,0.250,0.306,0.380,0.686,92,0.437,-62.3,-6.3,0.611,0.208,0.131,90.7
2015,TOR,AL,93,69,1,4290,878,5.5,101,0.298,0.269,0.340,0.457,0.797,115,0.586,119.3,11.6,0.771,0.304,0.188,127.6
2015,SDP,NL,74,88,0,4364,654,4.0,95,0.292,0.243,0.300,0.385,0.685,91,0.457,-70.7,-7.3,0.620,0.230,0.142,105.5
2015,CIN,NL,64,98,0,4426,721,4.4,99,0.290,0.248,0.312,0.394,0.706,92,0.496,-61.3,-6.5,0.661,0.252,0.146,148.7
2015,MIL,NL,68,94,0,4350,679,4.2,99,0.303,0.252,0.307,0.393,0.700,91,0.476,-77.3,-8.0,0.632,0.227,0.142,106.4
2015,NYY,AL,87,75,1,4378,785,4.8,99,0.283,0.251,0.323,0.421,0.744,102,0.526,22.5,2.1,0.703,0.276,0.170,97.1
2015,CLE,AL,81,80,1,4303,731,4.6,104,0.299,0.257,0.325,0.401,0.725,93,0.501,-47.9,-5.0,0.675,0.253,0.144,106.8
2015,TEX,AL,88,74,1,4327,771,4.8,102,0.300,0.258,0.325,0.413,0.739,98,0.523,-13.5,-1.5,0.699,0.258,0.156,127.3
2015,SFG,NL,84,78,1,4339,750,4.6,98,0.313,0.267,0.326,0.406,0.732,101,0.523,4.4,0.3,0.672,0.231,0.139,110.5
2015,COL,NL,68,94,0,4328,771,4.8,113,0.313,0.265,0.315,0.432,0.748,89,0.536,-102.0,-10.5,0.689,0.246,0.167,127.5
2015,OAK,AL,68,94,0,4400,698,4.3,96,0.288,0.251,0.312,0.395,0.707,96,0.470,-28.8,-3.0,0.645,0.238,0.144,101.7
2015,STL,NL,100,62,1,4345,719,4.4,100,0.303,0.253,0.321,0.394,0.716,95,0.503,-39.8,-4.2,0.658,0.240,0.142,91.8
2015,DET,AL,74,87,0,4351,765,4.7,98,0.323,0.270,0.328,0.420,0.748,105,0.517,40.9,3.9,0.683,0.237,0.150,107.1
2015,HOU,AL,86,76,1,4317,758,4.7,96,0.292,0.250,0.315,0.437,0.752,107,0.517,54.6,5.3,0.717,0.289,0.187,158.6
2015,LAA,AL,85,77,1,4313,676,4.2,93,0.280,0.246,0.307,0.396,0.702,97,0.465,-16.9,-1.9,0.635,0.234,0.150,80.3
2014,MIL,NL,82,80,1,4381,690,4.2,97,0.293,0.250,0.311,0.397,0.708,95,0.502,-41.5,-4.5,0.647,0.235,0.147,121.4
2014,ARI,NL,64,98,0,4413,651,4.0,96,0.293,0.248,0.302,0.376,0.678,88,0.472,-101.3,-10.7,0.605,0.209,0.127,99.5
2014,TBR,AL,77,85,0,4413,659,4.0,90,0.287,0.247,0.317,0.367,0.684,96,0.467,-15.3,-1.6,0.621,0.222,0.120,81.9
2014,MIA,NL,77,85,0,4413,683,4.2,94,0.316,0.253,0.317,0.378,0.694,94,0.494,-42.1,-4.6,0.624,0.222,0.125,78.6
2014,SFG,NL,88,74,1,4350,688,4.3,90,0.304,0.255,0.311,0.388,0.699,100,0.504,-3.9,-0.6,0.627,0.216,0.133,78.6
2014,ATL,NL,79,83,0,4386,630,3.9,93,0.298,0.241,0.305,0.360,0.665,88,0.460,-89.6,-9.5,0.599,0.217,0.119,107.2
2014,BAL,AL,96,66,1,4365,742,4.6,95,0.296,0.256,0.311,0.422,0.734,104,0.526,15.6,1.4,0.668,0.242,0.166,72.8
2014,NYY,AL,84,78,1,4361,665,4.1,92,0.282,0.245,0.307,0.380,0.687,94,0.476,-46.0,-4.8,0.632,0.233,0.135,127.1
2014,BOS,AL,71,91,0,4431,674,4.1,95,0.297,0.244,0.316,0.369,0.684,91,0.475,-64.0,-6.8,0.622,0.228,0.125,83.3
2014,PIT,NL,88,74,1,4363,777,4.8,94,0.307,0.259,0.330,0.404,0.734,106,0.558,49.6,4.8,0.688,0.249,0.145,124.8
2014,SEA,AL,87,75,1,4345,623,3.9,88,0.290,0.244,0.300,0.376,0.676,95,0.448,-37.4,-4.0,0.608,0.215,0.132,112.6
2014,STL,NL,90,72,1,4330,655,4.1,94,0.300,0.253,0.320,0.369,0.689,93,0.484,-42.0,-4.5,0.619,0.208,0.117,73.9
2014,CHC,NL,73,89,0,4425,661,4.0,96,0.296,0.239,0.300,0.385,0.684,89,0.478,-87.0,-9.3,0.619,0.231,0.146,91.9
2014,WSN,NL,96,66,1,4378,737,4.5,98,0.303,0.253,0.321,0.393,0.714,96,0.533,-28.1,-3.1,0.667,0.247,0.140,121.4
2014,LAA,AL,98,64,1,4419,760,4.6,88,0.306,0.259,0.322,0.406,0.728,110,0.531,81.5,8.1,0.675,0.242,0.147,106.4
2014,SDP,NL,77,85,0,4348,552,3.4,88,0.277,0.227,0.292,0.342,0.634,84,0.405,-101.7,-10.7,0.568,0.215,0.115,99.2
2014,OAK,AL,88,74,1,4391,706,4.3,91,0.279,0.244,0.320,0.381,0.700,100,0.501,6.6,0.5,0.654,0.254,0.137,105.8
2014,TOR,AL,83,79,1,4338,766,4.8,92,0.295,0.259,0.323,0.414,0.736,108,0.543,55.0,5.3,0.684,0.256,0.155,108.3
2014,CHW,AL,73,89,0,4363,690,4.3,90,0.306,0.253,0.310,0.398,0.708,102,0.493,13.3,1.1,0.643,0.230,0.146,109.8
2014,CIN,NL,76,86,0,4366,613,3.8,94,0.284,0.238,0.297,0.365,0.662,85,0.450,-113.4,-12.0,0.602,0.217,0.127,126.3
2014,TEX,AL,67,95,0,4353,637,3.9,95,0.305,0.256,0.314,0.375,0.689,92,0.458,-62.5,-6.6,0.617,0.204,0.119,107.9
2014,LAD,NL,94,68,1,4343,788,4.9,91,0.318,0.266,0.333,0.406,0.738,110,0.567,83.3,8.3,0.699,0.250,0.140,136.0
2014,CLE,AL,85,77,1,4417,714,4.3,95,0.296,0.253,0.317,0.389,0.706,97,0.503,-21.4,-2.4,0.653,0.240,0.136,120.1
2014,MIN,AL,70,92,0,4357,730,4.5,94,0.309,0.254,0.324,0.389,0.713,100,0.520,6.3,0.5,0.667,0.245,0.135,111.6
2014,NYM,NL,79,83,0,4415,651,4.0,89,0.286,0.239,0.308,0.364,0.673,93,0.472,-35.9,-3.9,0.618,0.232,0.126,111.7
2014,COL,NL,66,96,0,4337,836,5.2,107,0.326,0.276,0.327,0.445,0.772,102,0.594,5.9,0.3,0.716,0.246,0.169,116.7
2014,DET,AL,90,72,1,4336,797,4.9,93,0.319,0.277,0.331,0.426,0.757,113,0.562,94.7,9.4,0.704,0.240,0.150,125.9
2014,HOU,AL,70,92,0,4347,667,4.1,92,0.298,0.242,0.310,0.383,0.692,96,0.479,-34.1,-3.7,0.643,0.247,0.141,139.6
2014,KCR,AL,89,73,1,4336,664,4.1,95,0.302,0.263,0.314,0.376,0.690,92,0.478,-63.3,-6.5,0.628,0.203,0.113,117.2
2014,PHI,NL,73,89,0,4463,649,3.9,95,0.293,0.242,0.302,0.363,0.666,85,0.466,-114.1,-11.9,0.605,0.215,0.121,116.5
2013,SFG,NL,76,86,0,4371,702,4.3,91,0.304,0.260,0.320,0.381,0.702,100,0.501,13.0,1.1,0.632,0.213,0.121,82.4
2013,MIN,AL,66,96,0,4415,679,4.1,98,0.298,0.242,0.312,0.380,0.692,90,0.457,-74.0,-7.5,0.632,0.237,0.138,77.4
2013,PHI,NL,73,89,0,4349,651,4.0,97,0.293,0.248,0.306,0.384,0.690,91,0.469,-75.9,-7.9,0.619,0.220,0.135,96.0
2013,ARI,NL,81,81,1,4502,724,4.3,98,0.301,0.259,0.323,0.392,0.715,96,0.502,-28.1,-3.1,0.646,0.228,0.133,84.0
2013,LAA,AL,78,84,0,4397,769,4.7,92,0.308,0.264,0.329,0.415,0.743,110,0.515,85.1,8.2,0.691,0.253,0.150,109.3
2013,WSN,NL,86,76,1,4321,710,4.4,99,0.292,0.251,0.313,0.398,0.710,94,0.512,-54.3,-5.8,0.653,0.243,0.146,113.8
2013,ATL,NL,96,66,1,4330,727,4.5,97,0.300,0.249,0.321,0.402,0.723,99,0.522,-8.8,-1.1,0.672,0.259,0.153,94.6
2013,KCR,AL,86,76,1,4348,679,4.2,100,0.300,0.260,0.315,0.379,0.694,89,0.464,-89.0,-9.0,0.637,0.216,0.119,129.3
2013,TOR,AL,74,88,0,4380,739,4.5,99,0.284,0.253,0.318,0.411,0.729,99,0.499,-15.1,-1.7,0.680,0.263,0.158,139.5
2013,BAL,AL,85,77,1,4366,773,4.8,100,0.288,0.260,0.313,0.431,0.744,101,0.521,-1.2,-0.4,0.688,0.254,0.171,115.1
2013,LAD,NL,92,70,1,4321,739,4.6,93,0.308,0.264,0.326,0.396,0.722,103,0.530,33.4,3.1,0.663,0.229,0.133,99.7
2013,MIL,NL,74,88,0,4371,700,4.3,99,0.294,0.252,0.311,0.398,0.708,93,0.500,-64.3,-6.8,0.657,0.236,0.145,149.1
2013,BOS,AL,97,65,1,4315,912,5.7,100,0.329,0.277,0.349,0.446,0.795,116,0.601,136.0,13.3,0.777,0.290,0.169,145.5
2013,TEX,AL,91,72,1,4377,757,4.7,100,0.294,0.262,0.323,0.412,0.735,100,0.510,-6.9,-0.8,0.693,0.251,0.150,161.4
2013,CHC,NL,66,96,0,4416,657,4.0,98,0.275,0.238,0.301,0.392,0.693,89,0.466,-87.1,-9.1,0.627,0.240,0.154,92.2
2013,TBR,AL,92,71,1,4374,754,4.6,95,0.295,0.257,0.329,0.408,0.737,106,0.509,53.5,5.2,0.688,0.264,0.151,101.2
2013,SDP,NL,76,86,0,4387,672,4.1,89,0.294,0.245,0.308,0.378,0.686,97,0.480,-10.8,-1.3,0.633,0.233,0.133,130.5
2013,CHW,AL,63,99,0,4411,639,3.9,100,0.291,0.249,0.302,0.378,0.680,84,0.430,-130.1,-13.0,0.611,0.215,0.129,122.8
2013,HOU,AL,51,111,0,4405,619,3.8,96,0.304,0.240,0.299,0.376,0.674,86,0.416,-104.3,-10.5,0.610,0.223,0.136,126.2
2013,STL,NL,97,65,1,4339,764,4.7,97,0.314,0.269,0.332,0.402,0.733,102,0.543,22.1,1.9,0.666,0.223,0.133,66.2
2013,NYY,AL,85,77,1,4352,658,4.1,97,0.285,0.242,0.307,0.376,0.683,88,0.449,-90.5,-9.2,0.628,0.234,0.133,127.9
2013,CIN,NL,90,72,1,4424,738,4.5,97,0.293,0.249,0.327,0.391,0.718,98,0.519,-6.2,-1.0,0.670,0.254,0.142,93.6
2013,NYM,NL,74,88,0,4467,660,4.0,91,0.291,0.237,0.306,0.366,0.672,91,0.463,-60.4,-6.4,0.619,0.235,0.129,121.5
2013,CLE,AL,92,70,1,4303,764,4.8,93,0.300,0.255,0.327,0.410,0.737,107,0.522,65.8,6.4,0.705,0.273,0.155,138.9
2013,PIT,NL,94,68,1,4393,708,4.3,92,0.295,0.245,0.313,0.396,0.709,100,0.503,3.9,0.1,0.656,0.246,0.151,118.7
2013,COL,NL,74,88,0,4331,785,4.9,111,0.317,0.270,0.323,0.419,0.741,91,0.556,-84.5,-8.9,0.687,0.239,0.149,131.4
2013,SEA,AL,71,91,0,4439,672,4.1,90,0.279,0.237,0.306,0.390,0.695,98,0.449,-9.3,-1.0,0.633,0.252,0.152,77.7
2013,DET,AL,93,69,1,4355,874,5.4,100,0.320,0.283,0.346,0.434,0.780,111,0.578,91.6,8.8,0.725,0.246,0.151,58.4
2013,OAK,AL,96,66,1,4324,781,4.9,96,0.289,0.254,0.327,0.419,0.745,107,0.530,57.1,5.5,0.706,0.277,0.165,105.9
2013,MIA,NL,62,100,0,4435,552,3.4,98,0.280,0.231,0.293,0.335,0.627,73,0.387,-210.7,-21.8,0.549,0.192,0.104,85.7
2012,LAD,NL,86,76,1,4372,663,4.0,97,0.298,0.252,0.317,0.374,0.690,91,0.452,-64.5,-6.6,0.628,0.221,0.122,109.7
2012,PHI,NL,81,81,1,4378,734,4.5,103,0.290,0.255,0.317,0.400,0.716,92,0.498,-68.5,-7.0,0.667,0.243,0.145,133.8
2012,TBR,AL,90,72,1,4358,696,4.3,94,0.284,0.240,0.317,0.394,0.711,99,0.469,1.1,0.0,0.675,0.277,0.155,151.8
2012,ARI,NL,81,81,1,4311,777,4.8,103,0.307,0.259,0.328,0.418,0.746,99,0.531,-7.4,-1.0,0.703,0.265,0.159,119.0
2012,HOU,NL,55,107,0,4375,627,3.8,101,0.288,0.236,0.302,0.371,0.673,82,0.426,-141.4,-14.2,0.614,0.232,0.135,122.2
2012,NYY,AL,95,67,1,4305,855,5.3,102,0.293,0.265,0.337,0.453,0.790,112,0.568,91.1,8.9,0.763,0.303,0.189,134.8
2012,ATL,NL,94,68,1,4323,718,4.4,103,0.296,0.247,0.320,0.389,0.709,90,0.493,-72.4,-7.4,0.666,0.259,0.142,120.4
2012,BAL,AL,93,69,1,4434,716,4.3,100,0.286,0.247,0.311,0.417,0.728,97,0.474,-32.2,-3.4,0.666,0.261,0.170,91.3
2012,PIT,NL,79,83,0,4356,679,4.2,97,0.291,0.243,0.304,0.395,0.699,93,0.464,-56.9,-5.9,0.637,0.238,0.152,102.1
2012,NYM,NL,74,88,0,4343,682,4.2,97,0.298,0.249,0.316,0.386,0.701,94,0.468,-38.1,-4.0,0.642,0.237,0.137,100.7
2012,BOS,AL,69,93,0,4370,760,4.7,102,0.301,0.260,0.315,0.415,0.730,96,0.508,-34.0,-3.6,0.676,0.243,0.155,122.2
2012,SEA,AL,75,87,0,4406,617,3.8,92,0.276,0.234,0.296,0.369,0.665,88,0.409,-79.5,-8.0,0.605,0.232,0.135,122.5
2012,CHC,NL,61,101,0,4350,631,3.9,102,0.286,0.240,0.302,0.378,0.680,83,0.432,-137.8,-14.0,0.614,0.230,0.138,111.5
2012,OAK,AL,94,68,1,4402,726,4.4,94,0.282,0.238,0.310,0.404,0.714,99,0.483,-2.5,-0.4,0.679,0.282,0.166,150.1
2012,MIA,NL,69,93,0,4365,686,4.2,103,0.289,0.244,0.308,0.382,0.690,85,0.468,-120.1,-12.3,0.644,0.247,0.138,142.7
2012,CHW,AL,85,77,1,4331,757,4.7,102,0.289,0.255,0.318,0.422,0.740,98,0.510,-22.1,-2.4,0.695,0.262,0.167,143.7
2012,MIL,NL,83,79,1,4376,827,5.0,105,0.299,0.260,0.325,0.437,0.762,101,0.552,-1.5,-0.4,0.736,0.282,0.177,177.3
2012,WSN,NL,98,64,1,4378,793,4.8,102,0.308,0.261,0.322,0.428,0.750,101,0.533,3.6,0.2,0.705,0.264,0.166,136.3
2012,CIN,NL,97,65,1,4337,750,4.6,104,0.296,0.251,0.315,0.411,0.726,93,0.512,-64.0,-6.7,0.678,0.258,0.159,115.6
2012,STL,NL,88,74,1,4386,826,5.0,99,0.316,0.271,0.338,0.421,0.759,107,0.551,59.7,5.7,0.713,0.254,0.150,115.8
2012,MIN,AL,66,96,0,4389,721,4.4,97,0.298,0.260,0.325,0.390,0.715,98,0.481,-8.8,-1.1,0.666,0.238,0.130,133.0
2012,CLE,AL,68,94,0,4381,696,4.3,94,0.288,0.251,0.324,0.381,0.705,99,0.466,5.3,0.4,0.655,0.243,0.131,121.6
2012,TEX,AL,93,69,1,4318,840,5.2,106,0.306,0.273,0.334,0.446,0.780,105,0.559,34.5,3.2,0.738,0.267,0.173,125.1
2012,COL,NL,64,98,0,4336,808,5.0,115,0.321,0.274,0.330,0.436,0.766,93,0.546,-63.9,-6.5,0.715,0.254,0.163,124.8
2012,KCR,AL,72,90,0,4379,719,4.4,100,0.302,0.265,0.317,0.400,0.716,94,0.481,-49.8,-5.1,0.657,0.224,0.135,131.5
2012,DET,AL,88,74,1,4263,786,4.9,103,0.307,0.268,0.335,0.422,0.757,103,0.534,19.9,1.6,0.702,0.254,0.155,86.6
2012,SDP,NL,76,86,0,4326,709,4.4,93,0.297,0.247,0.319,0.380,0.699,97,0.487,-3.6,-0.7,0.664,0.253,0.133,135.9
2012,LAA,AL,89,73,1,4277,809,5.1,94,0.311,0.274,0.332,0.433,0.764,114,0.546,110.8,10.7,0.722,0.258,0.159,156.1
2012,TOR,AL,73,89,0,4369,713,4.4,100,0.281,0.245,0.309,0.407,0.716,94,0.478,-54.5,-5.6,0.672,0.262,0.161,151.7
2012,SFG,NL,94,68,1,4346,764,4.7,91,0.315,0.269,0.327,0.397,0.724,106,0.519,64.8,6.1,0.672,0.229,0.128,110.0
