,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak
2666,"Sunday, Jun 27",MIN,Home,CLE,W,8.0,2.0,9.0,33-43,3.0,11.5,Happ,Hentges,None,2:58,D,20215.0,.19,2.0
2667,"Tuesday, Jun 29",MIN,@,CHW,L,6.0,7.0,9.0,33-44,3.0,12.5,Giolito,Maeda,Hendriks,3:20,N,17382.0,.23,-1.0
2668,"Wednesday, Jun 30",MIN,@,CHW,L,3.0,13.0,9.0,33-45,4.0,13.5,Cease,Ober,None,3:04,N,16803.0,.17,-2.0
2669,"Thursday, Jul 1",MIN,@,CHW,L,5.0,8.0,9.0,33-46,4.0,14.5,Kopech,Alcala,None,3:49,D,24944.0,.15,-3.0
2670,"Friday, Jul 2",MIN,@,KCR,L,4.0,7.0,9.0,33-47,5.0,15.5,Lovelady,Happ,Barlow,3:18,N,31824.0,.09,-4.0
2671,"Saturday, Jul 3",MIN,@,KCR,L,3.0,6.0,9.0,33-48,5.0,15.5,Zimmer,Jax,Barlow,2:57,D,16133.0,.08,-5.0
2672,"Sunday, Jul 4",MIN,@,KCR,W,6.0,2.0,9.0,34-48,5.0,14.5,Maeda,Keller,None,3:11,D,15350.0,.06,1.0
2673,"Monday, Jul 5",MIN,Home,CHW,W,8.0,5.0,9.0,35-48,4.0,13.5,Ober,Cease,Robles,3:38,N,20321.0,.13,2.0
2674,"Tuesday, Jul 6",MIN,Home,CHW,L,1.0,4.0,9.0,35-49,5.0,14.5,Rodon,Berrios,Hendriks,2:57,N,18437.0,.16,-1.0
2675,"Wednesday, Jul 7",MIN,Home,CHW,L,1.0,6.0,9.0,35-50,5.0,15.5,Lynn,Pineda,None,3:09,D,19664.0,.10,-2.0
2676,"Thursday, Jul 8",MIN,Home,DET,W,5.0,3.0,9.0,36-50,4.0,15.0,Happ,Skubal,Rogers,2:23,N,18192.0,.05,1.0
2677,"Friday, Jul 9",MIN,Home,DET,W,4.0,2.0,9.0,37-50,4.0,15.0,Alcala,Manning,Robles,2:57,N,21725.0,.08,2.0
2678,"Saturday, Jul 10",MIN,Home,DET,W,9.0,4.0,9.0,38-50,4.0,15.0,Coulombe,Jimenez,None,3:26,D,21030.0,.07,3.0
2679,"Sunday, Jul 11",MIN,Home,DET,W-wo,12.0,9.0,10.0,39-50,3.0,15.0,Duffey,Holland,None,4:09,D,20744.0,.08,4.0
2680,"Saturday, Jul 17 (1)",MIN,@,DET,L,0.0,1.0,7.0,39-51,4.0,16.0,Norris,Barnes,Soto,1:55,D,13747.0,.08,-1.0
2681,"Saturday, Jul 17 (2)",MIN,@,DET,L-wo,4.0,5.0,8.0,39-52,4.0,16.0,Jimenez,Rogers,None,2:56,N,31624.0,.06,-2.0
2682,"Sunday, Jul 18",MIN,@,DET,L,0.0,7.0,9.0,39-53,4.0,17.0,Peralta,Happ,None,2:30,D,15854.0,.05,-3.0
2684,"Monday, Jul 19 (2)",MIN,@,CHW,L-wo,3.0,5.0,7.0,40-54,4.0,17.0,Bummer,Berrios,None,1:54,N,18272.0,.07,-1.0
2685,"Tuesday, Jul 20",MIN,@,CHW,L,5.0,9.0,9.0,40-55,4.0,18.0,Burr,Alcala,None,3:34,N,17703.0,.04,-2.0
2686,"Wednesday, Jul 21",MIN,@,CHW,W,7.0,2.0,9.0,41-55,4.0,17.0,Pineda,Cease,None,3:15,N,25600.0,.02,1.0
2687,"Thursday, Jul 22",MIN,Home,LAA,L,2.0,3.0,9.0,41-56,4.0,17.5,Heaney,Maeda,Iglesias,2:38,N,23337.0,.02,-1.0
2688,"Friday, Jul 23",MIN,Home,LAA,W,5.0,4.0,9.0,42-56,4.0,16.5,Minaya,Iglesias,Rogers,3:07,N,21384.0,.02,1.0
2689,"Saturday, Jul 24",MIN,Home,LAA,L,1.0,2.0,9.0,42-57,5.0,16.5,Sandoval,Berrios,Iglesias,2:34,N,22240.0,.02,-1.0
2690,"Sunday, Jul 25",MIN,Home,LAA,L,2.0,6.0,9.0,42-58,5.0,17.5,Barria,Coulombe,None,2:42,D,23158.0,.03,-2.0
2691,"Monday, Jul 26",MIN,Home,DET,W-wo,6.0,5.0,10.0,43-58,5.0,16.5,Thielbar,Soto,None,3:46,N,17713.0,.01,1.0
2692,"Tuesday, Jul 27",MIN,Home,DET,L,5.0,6.0,11.0,43-59,5.0,17.5,Cisnero,Alcala,Norris,3:52,N,17643.0,.02,-1.0
2693,"Wednesday, Jul 28",MIN,Home,DET,L,14.0,17.0,9.0,43-60,5.0,17.5,Holland,Happ,None,4:03,D,17817.0,.01,-2.0
2694,"Friday, Jul 30",MIN,@,STL,L,1.0,5.0,9.0,43-61,5.0,18.0,Helsley,Duffey,None,2:45,N,34036.0,.01,-3.0
2695,"Saturday, Jul 31",MIN,@,STL,W,8.0,1.0,9.0,44-61,5.0,17.0,Alcala,Woodford,None,2:58,N,33432.0,.00,1.0
2696,"Sunday, Aug 1",MIN,@,STL,L,3.0,7.0,9.0,44-62,5.0,18.0,Wainwright,Pineda,None,3:01,D,28975.0,.01,-1.0
2697,"Tuesday, Aug 3",MIN,@,CIN,W,7.0,5.0,9.0,45-62,5.0,18.0,Coulombe,Hembree,Colome,3:37,N,18396.0,.00,1.0
2698,"Wednesday, Aug 4",MIN,@,CIN,L,5.0,6.0,9.0,45-63,5.0,18.0,Castillo,Barnes,Lorenzen,3:15,D,16828.0,.00,-1.0
2699,"Thursday, Aug 5",MIN,@,HOU,W,5.0,3.0,9.0,46-63,5.0,17.0,Jax,Valdez,Colome,3:14,N,26208.0,.00,1.0
2700,"Friday, Aug 6",MIN,@,HOU,W,5.0,4.0,11.0,47-63,5.0,17.0,Minaya,Montero,None,3:54,N,29631.0,.01,2.0
2701,"Saturday, Aug 7",MIN,@,HOU,L,0.0,4.0,9.0,47-64,5.0,18.0,Garcia,Pineda,None,2:55,N,29647.0,.01,-1.0
2702,"Sunday, Aug 8",MIN,@,HOU,W,7.0,5.0,9.0,48-64,5.0,18.0,Maeda,McCullers,Colome,4:07,D,26825.0,.00,1.0
2703,"Monday, Aug 9",MIN,Home,CHW,L,1.0,11.0,9.0,48-65,5.0,19.0,Giolito,Burrows,None,2:48,N,17858.0,.01,-1.0
2704,"Tuesday, Aug 10",MIN,Home,CHW,W,4.0,3.0,9.0,49-65,5.0,18.0,Jax,Keuchel,Colome,2:43,N,18302.0,.00,1.0
2705,"Wednesday, Aug 11",MIN,Home,CHW,W,1.0,0.0,9.0,50-65,4.0,17.0,Thielbar,Ruiz,Colome,2:48,D,22370.0,.00,2.0
2706,"Friday, Aug 13",MIN,Home,TBR,L,4.0,10.0,9.0,50-66,4.0,18.0,McClanahan,Pineda,Phillips,3:14,N,23125.0,.00,-1.0
2707,"Saturday, Aug 14",MIN,Home,TBR,W,12.0,0.0,9.0,51-66,4.0,17.0,Maeda,Wacha,None,2:51,N,21034.0,.00,1.0
2708,"Sunday, Aug 15",MIN,Home,TBR,W-wo,5.0,4.0,9.0,52-66,4.0,16.0,Colome,Wisler,None,3:21,D,22467.0,.00,2.0
2709,"Monday, Aug 16",MIN,Home,CLE,W-wo,5.0,4.0,10.0,53-66,4.0,16.0,Thielbar,Wittgren,None,3:43,N,15622.0,.00,3.0
2710,"Tuesday, Aug 17",MIN,Home,CLE,L,1.0,3.0,9.0,53-67,4.0,17.0,Morgan,Ober,Clase,3:01,N,19605.0,.00,-1.0
2711,"Wednesday, Aug 18",MIN,Home,CLE,W-wo,8.0,7.0,11.0,54-67,4.0,17.0,Coulombe,Garza,None,4:16,D,19949.0,.00,1.0
2712,"Thursday, Aug 19",MIN,@,NYY,L,5.0,7.0,9.0,54-68,4.0,17.0,Taillon,Gant,Green,2:54,N,30019.0,.01,-1.0
2713,"Friday, Aug 20",MIN,@,NYY,L,2.0,10.0,9.0,54-69,4.0,18.0,Cortes,Barnes,None,3:02,N,39124.0,.00,-2.0
2714,"Saturday, Aug 21",MIN,@,NYY,L,1.0,7.0,9.0,54-70,5.0,18.0,Cole,Maeda,None,3:04,D,35247.0,.00,-3.0
2715,"Tuesday, Aug 24",MIN,@,BOS,L,9.0,11.0,9.0,54-71,5.0,18.0,Taylor,Jax,Robles,4:09,N,27986.0,.00,-4.0
2716,"Wednesday, Aug 25",MIN,@,BOS,W,9.0,6.0,10.0,55-71,5.0,17.0,Colome,Robles,None,4:07,N,28923.0,.00,1.0
2717,"Thursday, Aug 26",MIN,@,BOS,L,2.0,12.0,9.0,55-72,5.0,18.0,Sale,Gant,None,3:33,N,33746.0,.00,-1.0
2718,"Friday, Aug 27",MIN,Home,MIL,W,2.0,0.0,9.0,56-72,5.0,18.0,Albers,Lauer,Colome,3:22,N,20280.0,.00,1.0
2719,"Saturday, Aug 28",MIN,Home,MIL,W,6.0,4.0,9.0,57-72,5.0,17.0,Thielbar,Houser,Colome,2:47,N,29342.0,.00,2.0
2720,"Sunday, Aug 29",MIN,Home,MIL,L,2.0,6.0,9.0,57-73,5.0,18.0,Ashby,Jax,None,2:52,D,26186.0,.00,-1.0
2721,"Monday, Aug 30",MIN,@,DET,W,3.0,2.0,9.0,58-73,5.0,17.5,Ober,Mize,Colome,2:42,D,13425.0,.00,1.0
2722,"Tuesday, Aug 31",MIN,Home,CHC,L,1.0,3.0,9.0,58-74,5.0,18.5,Rodriguez,Gant,Wick,3:34,N,22224.0,.00,-1.0
2723,"Wednesday, Sep 1",MIN,Home,CHC,L,0.0,3.0,9.0,58-75,5.0,19.5,Steele,Ryan,Alzolay,2:28,N,21784.0,.00,-2.0
2724,"Friday, Sep 3",MIN,@,TBR,L,3.0,5.0,9.0,58-76,5.0,19.5,Wacha,Dobnak,Kittredge,2:25,N,8864.0,.00,-3.0
2725,"Saturday, Sep 4",MIN,@,TBR,L,4.0,11.0,9.0,58-77,5.0,20.5,Archer,Albers,Enns,3:09,D,13861.0,.00,-4.0
2726,"Sunday, Sep 5",MIN,@,TBR,W,6.0,5.0,9.0,59-77,5.0,19.5,Duffey,Kittredge,Colome,3:32,D,14165.0,.00,1.0
2727,"Monday, Sep 6",MIN,@,CLE,W,5.0,2.0,9.0,60-77,5.0,19.0,Pineda,Allen,Colome,2:52,N,12675.0,.00,2.0
2728,"Tuesday, Sep 7",MIN,@,CLE,W,3.0,0.0,9.0,61-77,5.0,19.0,Gant,Civale,Colome,3:39,N,10448.0,.00,3.0
2729,"Wednesday, Sep 8",MIN,@,CLE,W,3.0,0.0,9.0,62-77,4.0,18.0,Ryan,McKenzie,Duffey,2:23,N,11037.0,.00,4.0
2753,"Thursday, Apr 1",NYY,Home,TOR,L,2.0,3.0,10.0,0-1,5.0,1.0,Romano,Nelson,Merryweather,3:44,D,10850.0,1.09,-1.0
2754,"Saturday, Apr 3",NYY,Home,TOR,W,5.0,3.0,9.0,1-1,3.0,1.0,Loaisiga,Stripling,Green,3:38,D,10107.0,.97,1.0
2755,"Sunday, Apr 4",NYY,Home,TOR,L,1.0,3.0,9.0,1-2,4.0,2.0,Borucki,German,Merryweather,2:41,D,10066.0,1.02,-1.0
2756,"Monday, Apr 5",NYY,Home,BAL,W,7.0,0.0,9.0,2-2,3.0,1.0,Montgomery,Lopez,None,2:58,N,9008.0,1.04,1.0
2757,"Tuesday, Apr 6",NYY,Home,BAL,W,7.0,2.0,9.0,3-2,1.0,Tied,Cole,Kremer,None,2:58,N,9404.0,1.03,2.0
2758,"Wednesday, Apr 7",NYY,Home,BAL,L,3.0,4.0,11.0,3-3,2.0,1.0,Valdez,Green,Fry,3:54,N,10254.0,1.10,-1.0
2759,"Friday, Apr 9",NYY,@,TBR,L,5.0,10.0,9.0,3-4,3.0,1.0,Hill,Kluber,None,2:53,D,9021.0,1.07,-2.0
2760,"Saturday, Apr 10",NYY,@,TBR,L,0.0,4.0,9.0,3-5,5.0,2.0,Kittredge,German,None,3:04,D,6270.0,.99,-3.0
2761,"Sunday, Apr 11",NYY,@,TBR,W,8.0,4.0,10.0,4-5,2.0,2.0,Chapman,McHugh,None,3:42,D,6965.0,.95,1.0
2762,"Monday, Apr 12",NYY,@,TOR,W,3.0,1.0,9.0,5-5,2.0,1.5,Cole,Ray,Chapman,3:04,N,1576.0,1.05,2.0
2763,"Tuesday, Apr 13",NYY,@,TOR,L,3.0,7.0,9.0,5-6,2.0,2.5,Ryu,Taillon,None,3:04,N,1550.0,1.04,-1.0
2764,"Wednesday, Apr 14",NYY,@,TOR,L-wo,4.0,5.0,9.0,5-7,4.0,4.0,Dolis,Green,None,2:54,D,1613.0,1.03,-2.0
2765,"Friday, Apr 16",NYY,Home,TBR,L,2.0,8.0,9.0,5-8,5.0,4.0,Wacha,Nelson,None,3:22,N,10202.0,.98,-3.0
2766,"Saturday, Apr 17",NYY,Home,TBR,L,3.0,6.0,9.0,5-9,5.0,5.0,Glasnow,Montgomery,Castillo,3:28,D,10583.0,.90,-4.0
2767,"Sunday, Apr 18",NYY,Home,TBR,L,2.0,4.0,9.0,5-10,5.0,4.5,Yarbrough,Cole,Springs,2:56,D,10606.0,.82,-5.0
2768,"Tuesday, Apr 20",NYY,Home,ATL,W,3.0,1.0,9.0,6-10,5.0,5.0,Loaisiga,Matzek,Chapman,3:06,N,10017.0,.66,1.0
2769,"Wednesday, Apr 21",NYY,Home,ATL,L,1.0,4.0,9.0,6-11,5.0,5.0,Anderson,Kluber,None,3:16,N,9634.0,.69,-1.0
2770,"Thursday, Apr 22",NYY,@,CLE,W,6.0,3.0,9.0,7-11,5.0,4.0,German,Wittgren,Chapman,3:31,N,6380.0,.68,1.0
2771,"Friday, Apr 23",NYY,@,CLE,W,5.0,3.0,9.0,8-11,4.0,4.0,Luetge,Allen,Chapman,3:17,N,8662.0,.75,2.0
2772,"Saturday, Apr 24",NYY,@,CLE,W,2.0,1.0,9.0,9-11,3.0,3.0,Cole,Bieber,Loaisiga,3:05,N,8817.0,.85,3.0
2773,"Sunday, Apr 25",NYY,@,CLE,L,3.0,7.0,9.0,9-12,4.0,4.0,Hentges,Taillon,None,3:07,D,8766.0,.91,-1.0
2774,"Monday, Apr 26",NYY,@,BAL,L,2.0,4.0,9.0,9-13,5.0,4.5,Harvey,Garcia,Valdez,2:41,N,6367.0,.94,-2.0
2775,"Tuesday, Apr 27",NYY,@,BAL,W,5.0,1.0,9.0,10-13,4.0,4.5,Kluber,Zimmermann,None,2:53,N,6662.0,.89,1.0
