"Season","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch"
"2017","SFG","-12.18","-114.92","102.73","-97.80","-9.80","1.04","1.31","293","-8.19","-3.54"
"2008","WSN","-12.25","-117.95","105.71","-109.01","-10.87","1.07","1.27","288","-9.24","-2.22"
"2006","PIT","-12.29","-120.99","108.70","-79.76","-7.90","1.09","1.37","261","-7.48","-3.83"
"2015","CIN","-12.36","-114.31","101.95","-54.11","-5.86","1.04","1.30","262","-4.54","-7.39"
"2019","BAL","-12.96","-111.08","98.12","-99.61","-9.40","0.95","1.63","126","-9.11","-4.52"
"2004","SEA","-12.97","-128.18","115.21","-85.90","-8.43","1.13","1.67","109","-7.93","-3.58"
"2004","KCR","-13.00","-109.59","96.59","-115.43","-10.20","0.95","1.55","51","-13.26","-0.37"
"2019","KCR","-13.54","-113.40","99.86","-124.67","-11.54","0.99","1.39","58","-13.23","-0.47"
"2004","MIL","-13.62","-114.73","101.11","-124.10","-12.40","1.02","1.22","280","-10.68","-2.74"
"2012","HOU","-13.71","-110.22","96.50","-106.41","-11.58","1.01","1.20","260","-8.80","-4.76"
"2002","DET","-14.13","-108.51","94.38","-180.09","-17.79","0.99","1.61","47","-15.22","0.90"
"2003","LAD","-14.33","-116.69","102.36","-139.54","-14.46","1.07","1.36","237","-11.15","-2.27"
"2004","MON","-14.74","-114.17","99.42","-147.24","-14.35","1.02","1.45","250","-11.93","-2.59"
"2013","CHW","-14.91","-120.61","105.71","-112.20","-11.80","1.09","1.81","74","-10.62","-3.08"
"2019","MIA","-15.08","-113.00","97.92","-121.39","-11.99","1.01","1.21","290","-13.53","-1.34"
"2021","TEX","-15.35","-97.82","82.47","-93.10","-9.32","1.00","1.49","79","-11.84","-3.46"
"2018","KCR","-15.39","-115.79","100.39","-115.93","-11.75","1.02","1.43","48","-11.36","-3.75"
"2013","HOU","-15.88","-109.61","93.73","-91.89","-9.54","1.00","1.46","107","-11.65","-4.29"
"2010","SEA","-16.17","-112.90","96.73","-163.91","-17.46","1.06","2.16","58","-15.80","0.50"
"2002","MIL","-17.57","-115.68","98.10","-106.53","-10.85","1.03","1.20","277","-10.70","-6.43"
"2004","ARI","-18.77","-120.03","101.26","-189.46","-18.14","1.05","1.33","242","-16.72","-1.23"
"2013","MIA","-20.24","-121.65","101.42","-137.44","-14.99","1.13","1.41","237","-15.48","-2.38"
"2018","BAL","-20.29","-112.42","92.13","-129.43","-13.09","0.99","1.50","97","-13.57","-6.90"
"2019","DET","-22.14","-120.33","98.19","-237.30","-22.30","1.04","1.71","68","-18.23","-3.12"
"2003","DET","-23.43","-116.48","93.05","-195.98","-19.20","1.01","1.54","118","-16.83","-6.33"
