"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Mitch Haniger","SEA","53","226","200","50","10","1","12","29","31","21","55","1","0",".253",".332",".484",".817",".350","14274"
"J.T. Realmuto","PHI","53","213","189","51","10","1","9","29","28","18","49","3","1",".269",".341",".475",".816",".350","11739"
"Carlos Correa","HOU","56","241","212","56","11","0","10","32","33","25","51","1","0",".266",".346",".469",".815",".350","14162"
"Salvador Perez","KCR","56","223","208","55","10","0","14","28","38","9","54","1","0",".265",".305",".525",".831",".349","7304"
"Ryan McMahon","COL","52","229","205","54","11","1","11","31","33","21","64","2","1",".262",".332",".489",".821",".349","15112"
"Yoan Moncada","CHW","54","235","204","54","11","2","8","32","27","27","63","2","1",".263",".353",".455",".807",".349","17232"
"Austin Meadows","TBR","48","210","185","47","11","1","10","28","29","21","50","3","1",".254",".335",".486",".820",".348","15672"
"Tommy Pham","SDP","51","229","197","52","9","1","7","32","26","28","51","8","2",".264",".360",".436",".796",".348","2967"
"Teoscar Hernandez","TOR","61","268","242","62","13","1","15","39","39","22","74","5","2",".256",".320",".501",".821",".348","13066"
"A.J. Pollock","LAD","33","149","135","35","7","1","8","21","22","10","35","2","1",".260",".320",".497",".817",".346","9256"
"Gary Sanchez","NYY","47","185","161","37","6","0","12","25","28","20","53","0","0",".228",".322",".489",".812",".345","11442"
"Justin Upton","LAA","53","220","193","46","8","0","13","31","31","23","65","2","1",".238",".326",".479",".805",".345","5222"
"Mitch Garver","MIN","38","147","128","30","6","0","8","20","21","16","43","0","0",".235",".324",".483",".806",".345","15161"
"Joc Pederson","ATL","38","159","140","34","7","1","8","22","22","15","37","1","0",".243",".326",".479",".805",".344","11899"
"Kyle Tucker","HOU","53","231","208","54","12","2","11","33","32","19","46","6","1",".260",".325",".489",".814",".344","18345"
"Daniel Vogelbach","MIL","12","54","46","11","2","0","2","7","7","7","12","0","0",".239",".350",".440",".790",".343","14130"
"Brandon Nimmo","NYM","48","211","176","44","9","1","5","28","20","29","52","3","1",".250",".368",".405",".773",".343","12927"
"Jorge Soler","KCR","47","202","176","42","8","0","11","26","29","21","55","1","0",".239",".328",".471",".799",".343","14221"
"Mike Yastrzemski","SFG","53","232","203","50","12","2","10","31","30","24","58","2","1",".246",".333",".470",".802",".343","14854"
"Avisail Garcia","MIL","49","216","196","53","9","1","9","28","29","15","51","3","1",".271",".333",".469",".802",".342","5760"
"Wander Franco","TBR","51","223","202","57","12","2","6","29","27","18","28","5","1",".284",".343",".455",".798",".342","23667"
"Randy Arozarena","TBR","56","244","217","56","11","1","10","34","30","21","62","8","2",".259",".338",".455",".793",".342","19290"
"Michael Conforto","NYM","53","236","202","50","10","0","9","30","29","28","57","2","1",".248",".348",".437",".786",".341","16376"
"Alex Dickerson","SFG","39","170","152","39","9","1","7","22","23","14","38","1","0",".256",".329",".471",".800",".341","12649"
"Alex Verdugo","BOS","50","213","192","54","12","1","6","28","24","18","32","2","1",".282",".347",".443",".790",".341","17027"
"Nate Lowe","TEX","54","225","195","50","10","1","8","28","26","27","58","2","1",".256",".348",".437",".785",".341","19566"
"Brandon Crawford","SFG","40","175","155","40","8","1","8","23","24","16","40","2","1",".260",".333",".469",".802",".341","5343"
"Cesar Hernandez","CLE","52","220","196","53","9","2","7","28","24","21","45","1","1",".273",".346",".439",".785",".341","10556"
"Carlos Santana","KCR","57","243","206","49","9","1","10","30","30","34","39","1","0",".240",".348",".437",".785",".340","2396"
"Trent Grisham","SDP","50","223","195","48","10","2","9","31","27","25","54","6","1",".249",".338",".449",".787",".340","18564"
"Carson Kelly","ARI","28","111","97","24","5","0","5","14","15","12","24","0","0",".252",".338",".454",".792",".340","13620"
"Jesus Aguilar","MIA","46","193","171","44","8","0","9","22","26","18","41","0","0",".258",".332",".460",".792",".339","11342"
"Michael Brantley","HOU","50","218","196","56","12","1","5","28","25","18","27","1","0",".287",".350",".431",".781",".339","4106"
"DJ LeMahieu","NYY","59","254","228","66","10","1","6","32","27","23","39","2","1",".288",".354",".423",".777",".339","9874"
"Robbie Grossman","DET","51","213","181","45","9","1","7","27","23","28","46","4","2",".248",".351",".425",".777",".339","5254"
"Wilmer Flores","SFG","30","130","117","32","6","0","5","16","18","10","19","0","0",".269",".329",".461",".790",".338","5827"
"Javier Baez","CHC","56","246","229","59","10","1","15","34","37","12","78","6","2",".258",".300",".504",".803",".338","12979"
"Buster Posey","SFG","42","166","146","40","7","0","5","20","20","17","28","1","0",".278",".354",".426",".780",".338","9166"
"Max Kepler","MIN","49","204","179","43","9","1","10","27","26","21","41","3","1",".238",".324",".466",".790",".338","12144"
"Omar Narvaez","MIL","37","147","129","34","6","0","5","17","18","16","28","0","0",".265",".350",".426",".776",".338","13338"
"Jorge Polanco","MIN","55","229","207","56","12","1","8","30","27","18","39","3","1",".271",".332",".455",".787",".338","13152"
"Jeff McNeil","NYM","53","236","211","59","12","1","6","29","26","18","35","2","1",".279",".348",".430",".778",".338","15362"
"Jonathan Schoop","DET","55","227","209","56","10","1","10","27","31","13","48","1","0",".268",".318",".471",".789",".338","11265"
"Darin Ruf","SFG","13","56","49","12","2","0","2","7","7","6","15","0","0",".246",".335",".448",".784",".337","9929"
"Garrett Cooper","MIA","31","131","116","31","6","0","5","16","15","12","34","0","0",".265",".340",".437",".777",".337","15279"
"Ramon Laureano","OAK","54","233","206","52","11","1","10","32","28","19","60","6","1",".252",".327",".455",".782",".337","17128"
"Yandy Diaz","TBR","38","165","141","38","6","0","3","20","17","21","27","1","0",".271",".367",".397",".764",".337","16578"
"Jonathan India","CIN","52","236","203","51","10","1","7","31","25","25","58","2","1",".252",".350",".420",".770",".337","21523"
"Jake Cronenworth","SDP","51","229","205","56","12","2","6","29","27","19","37","3","1",".275",".341",".438",".780",".337","18036"
"Kolten Wong","MIL","49","217","191","52","10","2","5","28","23","18","36","5","2",".272",".350",".425",".774",".337","12532"
"Brad Miller","PHI","30","133","116","27","5","1","6","18","18","15","40","1","0",".235",".326",".458",".784",".336","12775"
"Willy Adames","MIL","55","241","215","55","11","1","10","31","31","22","68","2","1",".254",".326",".455",".781",".336","15986"
"Eduardo Escobar","MIL","55","238","217","56","11","2","11","30","34","17","50","1","0",".257",".314",".480",".794",".336","6153"
"Hunter Renfroe","BOS","47","201","181","44","9","0","11","26","29","16","50","1","0",".242",".307",".481",".788",".335","15464"
"Enrique Hernandez","BOS","43","185","165","41","9","1","8","24","24","16","39","1","0",".248",".319",".463",".782",".335","10472"
"Wil Myers","SDP","34","150","134","33","7","1","7","20","20","14","43","3","1",".248",".324",".455",".779",".334","10047"
"Gleyber Torres","NYY","59","251","223","58","11","1","9","32","29","24","53","4","1",".262",".337",".434",".771",".334","16997"
"Harrison Bader","STL","54","233","206","52","10","1","10","31","28","21","59","5","2",".250",".330",".448",".779",".334","18030"
"Starling Marte","OAK","54","229","206","57","10","1","6","30","23","16","47","12","3",".275",".341",".425",".767",".333","9241"
"Francisco Lindor","NYM","32","141","125","32","6","0","6","18","17","13","24","3","1",".258",".331",".447",".778",".333","12916"
"Andrew Benintendi","KCR","49","208","185","49","10","1","7","26","23","19","42","5","1",".263",".334",".439",".773",".333","17901"
"Whit Merrifield","KCR","60","257","235","67","14","2","6","33","28","17","39","10","3",".285",".336",".436",".771",".333","11281"
"Eddie Rosario","CLE","45","190","176","48","9","1","8","24","25","12","30","3","1",".272",".316",".467",".783",".333","12155"
"Luis Arraez","MIN","40","169","152","46","9","1","1","20","16","14","18","1","0",".302",".362",".395",".757",".332","18568"
"Alejandro Kirk","TOR","24","101","90","23","5","0","3","13","12","9","16","0","0",".260",".335",".433",".768",".332","22581"
"Nick Senzel","CIN","29","134","121","32","8","1","4","18","15","11","27","3","1",".267",".331",".438",".769",".332","19293"
"Evan Longoria","SFG","29","124","111","29","6","1","5","15","16","10","27","1","0",".258",".323",".453",".775",".332","9368"
"Brendan Rodgers","COL","45","199","183","50","11","1","6","24","25","12","43","1","0",".271",".325",".446",".771",".331","17907"
"Tyler O'Neill","STL","56","243","220","53","10","1","13","33","34","18","77","5","2",".241",".305",".473",".778",".331","15711"
"Miguel Sano","MIN","55","229","202","44","9","0","14","30","34","25","86","1","0",".218",".307",".467",".774",".331","12164"
"Aristides Aquino","CIN","23","105","95","22","4","0","6","14","15","9","32","1","1",".230",".302",".478",".780",".331","15482"
"Robinson Chirinos","CHC","11","43","37","8","2","0","2","5","6","5","13","0","0",".224",".326",".438",".764",".331","3142"
"Ji-Man Choi","TBR","34","146","125","29","7","0","5","18","17","19","38","1","0",".236",".341",".416",".757",".331","5452"
"Travis d'Arnaud","ATL","23","88","80","21","4","0","4","11","11","7","20","0","0",".262",".321",".449",".770",".331","7739"
"Ian Happ","CHC","38","164","142","34","7","1","7","21","20","19","47","1","1",".235",".329",".434",".763",".331","17919"
"Randal Grichuk","TOR","51","225","209","52","11","1","12","30","32","13","52","1","0",".248",".295",".485",".780",".330","10243"
"Colton Welker","COL","3","13","12","3","1","0","0","2","2","1","3","0","0",".281",".334",".438",".772",".330","sa917962"
"Paul DeJong","STL","51","222","198","48","10","0","11","28","29","19","56","2","1",".241",".316",".453",".768",".330","18015"
"Kole Calhoun","ARI","47","202","177","42","8","1","8","25","26","21","47","1","0",".240",".326",".439",".764",".330","11200"
"Tim Anderson","CHW","58","250","235","67","12","1","8","33","29","12","56","9","3",".284",".322",".444",".766",".330","15172"
"Ke'Bryan Hayes","PIT","56","236","211","55","12","1","7","29","26","21","53","3","1",".261",".333",".427",".760",".330","18577"
"Cedric Mullins II","BAL","57","238","214","55","12","2","8","32","25","19","49","9","2",".258",".322",".445",".766",".330","17929"
"Ryan Mountcastle","BAL","54","224","207","54","11","1","10","28","29","13","61","2","1",".259",".308",".465",".772",".329","18373"
"Dominic Smith","NYM","49","217","196","50","11","0","8","26","27","17","51","1","0",".256",".323",".440",".763",".328","15653"
"Luis Robert","CHW","32","137","125","32","7","1","5","18","16","9","38","4","1",".258",".317",".446",".763",".328","20043"
"Ty France","SEA","51","218","193","50","10","0","7","25","25","16","41","1","0",".258",".333",".420",".753",".328","17982"
"J.D. Davis","NYM","50","219","195","48","10","0","9","26","27","20","62","1","0",".249",".327",".433",".760",".328","16219"
"Rowdy Tellez","MIL","26","115","103","25","5","0","5","13","16","10","25","0","0",".247",".318",".448",".766",".328","15679"
"Austin Slater","SFG","29","127","112","28","5","1","4","17","14","12","36","3","1",".252",".334",".417",".750",".328","16153"
"Max Stassi","LAA","37","142","126","30","5","0","7","18","19","12","41","0","0",".237",".315",".444",".759",".328","10059"
"Dansby Swanson","ATL","55","233","211","54","11","1","9","30","29","19","60","4","1",".255",".318",".451",".768",".328","18314"
"Matt Chapman","OAK","56","244","213","48","10","1","11","31","31","25","71","1","0",".227",".315",".445",".760",".327","16505"
"Luis Urias","MIL","52","230","203","51","10","1","7","28","26","22","50","2","1",".252",".335",".415",".750",".327","16622"
"Ryan Zimmerman","WSN","16","69","63","16","3","0","3","8","9","5","17","0","0",".252",".311",".452",".763",".327","4220"
"Tyler Naquin","CIN","45","202","184","47","9","1","9","26","26","14","51","2","1",".255",".313",".452",".764",".327","13359"
"Tyler Stephenson","CIN","29","121","107","28","6","0","3","15","13","11","26","0","0",".261",".336",".413",".749",".326","17988"
"Adam Frazier","SDP","52","231","208","58","12","2","3","28","24","17","30","3","1",".280",".342",".405",".747",".326","15223"
"Yuli Gurriel","HOU","55","239","218","59","13","1","7","29","29","16","29","2","0",".272",".325",".431",".756",".326","19198"
"Asdrubal Cabrera","ARI","16","70","62","16","4","0","2","8","8","6","15","0","0",".254",".325",".430",".754",".326","4962"
"Andrew Vaughn","CHW","49","211","190","48","11","0","7","25","26","16","48","1","0",".254",".320",".434",".754",".326","26197"
"Jeimer Candelario","DET","54","222","195","48","12","1","6","25","24","23","51","1","0",".248",".332",".416",".747",".325","13621"
"David Peralta","ARI","46","197","178","48","10","2","4","24","21","16","36","1","0",".271",".334",".417",".751",".325","2136"
"David Bote","CHC","21","92","81","20","4","0","3","11","11","8","22","1","0",".245",".324",".427",".751",".325","14593"
"Odubel Herrera","PHI","45","199","180","48","10","1","6","24","22","15","39","3","1",".265",".327",".423",".750",".325","11476"
"Yasiel Puig","","24","105","94","23","4","0","4","13","12","9","22","3","1",".247",".321",".430",".751",".325","14225"
"Brian Anderson","MIA","51","213","189","47","9","1","7","25","24","19","55","2","1",".249",".328",".420",".748",".325","18289"
"Josh Rojas","ARI","33","143","126","32","7","1","4","19","15","14","34","4","1",".250",".329",".418",".747",".325","19734"
"Rougned Odor","NYY","23","100","90","20","4","0","6","13","14","8","28","1","0",".225",".294",".469",".764",".325","12282"
"Jake Lamb","CHW","5","24","21","5","1","0","1","3","3","3","7","0","0",".220",".320",".430",".750",".325","13329"
"Keibert Ruiz","LAD","4","15","13","4","1","0","0","2","2","1","2","0","0",".267",".320",".435",".755",".324","19610"
"Lorenzo Cain","MIL","45","198","177","48","9","1","4","24","19","18","35","5","2",".271",".344",".394",".738",".324","9077"
"Austin Hays","BAL","42","175","160","41","8","1","7","22","21","11","39","2","1",".255",".308",".447",".755",".324","19363"
"Corey Dickerson","TOR","30","134","123","33","8","1","4","17","16","9","26","1","0",".269",".320",".436",".756",".324","10762"
"LaMonte Wade Jr.","SFG","17","73","62","15","3","0","2","9","8","8","15","1","0",".236",".334",".406",".740",".324","18126"
"Jean Segura","PHI","53","231","211","59","10","1","5","28","25","15","37","4","2",".281",".334",".412",".745",".324","5933"
"Kyle Seager","SEA","53","226","199","46","10","1","10","26","29","22","51","1","0",".230",".312",".442",".754",".323","9785"
"Raimel Tapia","COL","51","226","208","59","12","2","3","29","22","16","39","8","2",".284",".335",".410",".745",".323","14350"
"Connor Joe","COL","10","46","41","10","2","0","1","6","5","5","11","0","0",".249",".331",".408",".739",".323","16572"
"Renato Nunez","DET","1","5","4","1","0","0","0","1","1","0","1","0","0",".240",".308",".444",".752",".323","14503"
"Yoenis Cespedes","","24","105","94","22","4","0","5","13","15","8","27","1","0",".236",".303",".452",".756",".323","13110"
"Tommy La Stella","SFG","26","114","100","26","5","1","2","13","12","11","14","0","0",".263",".338",".397",".735",".322","12371"
"Cavan Biggio","TOR","51","225","193","44","10","1","8","29","25","29","59","3","1",".229",".331",".406",".737",".322","19252"
"Christian Walker","ARI","49","210","189","47","11","1","7","25","25","17","51","1","0",".249",".315",".433",".749",".322","13419"
"Matt Joyce","PHI","9","41","35","8","2","0","1","5","5","5","9","0","0",".234",".336",".398",".734",".322","3353"
"Ben Gamel","PIT","42","178","158","40","9","1","4","21","18","18","45","2","1",".254",".333",".405",".738",".322","12160"
"Mike Zunino","TBR","32","126","112","23","4","0","8","16","20","11","46","0","0",".205",".290",".461",".751",".321","13265"
"Anthony Santander","BAL","52","216","198","49","12","1","9","26","27","14","48","1","0",".248",".303",".450",".753",".321","14551"
"Ryan Braun","","16","70","63","16","3","0","3","9","8","5","15","1","0",".254",".314",".431",".745",".321","3410"
"Adam Duvall","MIA","46","193","175","39","8","1","11","23","28","14","58","1","0",".226",".290",".466",".756",".321","10950"
"Kyle Lewis","SEA","18","77","69","17","3","0","3","9","9","8","22","1","0",".241",".318",".420",".738",".320","19508"
"Dylan Carlson","STL","55","238","211","52","11","1","7","28","25","22","59","2","1",".248",".326",".409",".735",".320","20126"
"Jarren Duran","BOS","41","175","159","42","9","1","4","23","17","13","46","5","1",".261",".322",".416",".738",".320","24617"
"Jed Lowrie","OAK","38","163","144","36","8","0","5","18","19","16","35","0","0",".247",".322",".416",".738",".320","4418"
"Colin Moran","PIT","38","163","146","37","7","0","5","18","20","13","39","0","0",".255",".321",".419",".740",".320","16909"
"Harold Ramirez","CLE","39","166","154","42","9","1","4","19","18","9","31","2","1",".275",".322",".418",".740",".320","14387"
"Eric Hosmer","SDP","44","197","179","48","8","0","6","23","24","15","38","2","1",".266",".324",".415",".739",".320","3516"
"Keston Hiura","MIL","29","126","113","27","6","1","5","16","16","9","42","2","1",".238",".310",".430",".740",".319","20003"
"Yan Gomes","WSN","30","121","110","28","6","0","4","14","16","8","28","0","0",".253",".313",".432",".745",".319","9627"
"Abraham Almonte","ATL","14","61","53","13","3","0","2","8","6","7","13","1","0",".238",".328",".403",".731",".319","5486"
"Didi Gregorius","PHI","48","212","194","49","9","1","9","25","27","13","35","2","1",".253",".305",".444",".749",".319","6012"
"Taylor Ward","LAA","17","72","64","16","3","0","2","9","8","7","18","1","0",".244",".321",".411",".731",".318","17548"
"Pavin Smith","ARI","46","197","178","46","10","1","5","23","21","16","34","1","0",".258",".322",".409",".731",".317","19892"
"Garrett Hampson","COL","35","156","143","37","7","2","4","21","16","11","38","6","1",".261",".316",".418",".734",".317","19262"
"Jake Fraley","SEA","32","136","118","27","6","1","5","17","14","14","36","4","1",".230",".321",".409",".729",".317","19260"
"Ryan O'Hearn","KCR","35","151","135","31","7","1","7","17","20","13","42","1","0",".232",".302",".439",".742",".317","16442"
"Gio Urshela","NYY","56","240","221","57","11","0","8","28","29","15","52","1","0",".260",".310",".424",".734",".317","10681"
"Nolan Jones","CLE","8","35","31","7","2","0","1","4","4","4","12","0","0",".233",".327",".394",".721",".316","sa917941"
"Elias Diaz","COL","34","138","126","32","6","0","5","16","17","10","26","0","0",".257",".313",".418",".732",".316","11680"
"Christian Arroyo","BOS","29","125","115","29","6","0","4","15","15","7","31","1","0",".254",".309",".424",".733",".316","16434"
"Manuel Margot","TBR","33","143","131","34","6","1","4","19","15","11","25","5","1",".258",".317",".415",".732",".316","14712"
"D.J. Stewart","BAL","30","127","109","24","5","0","5","15","14","14","37","1","0",".218",".318",".406",".723",".316","17766"
"Bobby Bradley","CLE","49","206","183","40","8","1","10","25","28","19","74","1","0",".217",".298",".440",".738",".316","17278"
"Mike Brosseau","TBR","7","29","26","6","1","0","1","4","3","2","8","0","0",".239",".312",".415",".728",".316","19683"
"Vidal Brujan","TBR","9","37","34","9","2","0","1","5","4","3","7","2","0",".260",".326",".398",".723",".316","20536"
"Daulton Varsho","ARI","26","103","92","22","5","1","3","13","11","9","24","2","0",".238",".311",".420",".731",".315","19918"
"Brian Goodwin","CHW","27","116","103","24","5","0","4","14","14","11","33","1","0",".234",".310",".420",".729",".315","12858"
"Chris Gittens","NYY","3","11","10","2","0","0","0","1","1","1","4","0","0",".219",".315",".406",".720",".315","18482"
"Hunter Dozier","KCR","52","221","198","46","10","2","8","26","26","20","60","2","1",".233",".307",".421",".728",".315","15117"
"Wilson Ramos","CLE","7","27","25","7","1","0","1","3","3","2","5","0","0",".261",".315",".412",".728",".315","1433"
"Patrick Wisdom","CHC","48","209","187","40","8","0","12","26","30","18","75","2","1",".214",".289",".449",".738",".315","13602"
"Travis Shaw","MIL","16","70","61","14","3","0","3","8","9","7","18","0","0",".223",".312",".413",".725",".314","11982"
"Akil Baddoo","DET","47","192","171","39","8","2","6","25","20","19","55","6","2",".230",".310",".416",".727",".314","22168"
"Trevor Larnach","MIN","46","194","172","41","8","1","6","23","21","18","61","1","0",".240",".319",".402",".721",".314","21501"
"Billy McKinney","LAD","12","54","48","11","3","0","2","7","7","5","14","0","0",".230",".303",".427",".730",".314","15654"
"Edwin Encarnacion","","16","70","61","13","2","0","3","8","9","7","18","0","0",".213",".303",".421",".724",".314","2151"
"Adam Engel","CHW","30","132","120","29","6","1","5","17","14","8","33","3","1",".242",".304",".420",".725",".314","15082"
"Josh VanMeter","ARI","17","75","66","15","4","0","2","9","8","8","20","1","0",".229",".312",".410",".721",".313","15170"
"Andy Young","ARI","7","29","26","6","1","0","1","3","4","2","9","0","0",".228",".301",".422",".723",".313","19521"
"Jedd Gyorko","","11","49","43","10","2","0","2","6","6","5","12","0","0",".229",".308",".413",".721",".313","10816"
"Alec Bohm","PHI","51","225","205","53","10","1","6","26","25","17","54","2","1",".258",".318",".402",".720",".313","21618"
"Adam Eaton","LAA","26","109","96","24","4","1","2","13","10","10","23","2","1",".249",".328",".382",".710",".313","11205"
"Miguel Andujar","NYY","20","86","81","21","4","0","3","10","10","4","16","0","0",".257",".299",".432",".731",".313","15878"
"Jacob Stallings","PIT","35","134","120","30","6","0","4","14","16","11","30","0","0",".246",".315",".404",".719",".312","13723"
"Miguel Cabrera","DET","51","213","192","49","9","0","6","23","24","18","49","0","0",".253",".318",".401",".719",".312","1744"
"Jason Heyward","CHC","42","182","160","39","7","1","5","21","19","18","36","2","1",".240",".323",".391",".714",".312","4940"
"Isaac Paredes","DET","22","90","81","20","4","0","2","10","9","7","14","0","0",".254",".324",".391",".715",".312","20036"
"Matt Carpenter","STL","28","122","103","22","5","0","4","14","13","16","36","1","0",".211",".326",".383",".709",".312","8090"
"Aledmys Diaz","HOU","20","88","80","20","4","0","3","10","11","6","15","0","0",".252",".308",".417",".725",".312","15937"
"Josh Harrison","WSN","54","240","216","57","11","1","5","27","24","15","39","4","1",".262",".324",".388",".712",".312","8202"
"Gavin Lux","LAD","36","162","146","36","7","1","4","21","17","15","40","2","1",".247",".317",".401",".718",".312","19955"
"Miguel Rojas","MIA","52","218","198","54","10","1","3","24","21","15","32","4","1",".272",".330",".382",".712",".312","7802"
"Amed Rosario","CLE","42","180","167","46","8","2","3","22","17","10","37","4","1",".275",".317",".403",".720",".312","15518"
"Jazz Chisholm","MIA","42","177","159","37","6","2","7","23","19","15","58","6","2",".231",".303",".417",".720",".312","20454"
"Yonathan Daza","COL","20","86","80","23","5","1","1","10","8","5","15","1","1",".283",".324",".392",".716",".312","15794"
"Willie Calhoun","TEX","22","92","83","20","4","0","3","10","10","7","13","0","0",".246",".312",".406",".718",".312","17838"
"Gregory Polanco","PIT","43","184","164","36","8","1","8","23","23","18","53","5","1",".221",".299",".428",".727",".312","12907"
"Gavin Sheets","CHW","40","171","154","37","7","0","6","19","20","15","40","1","0",".239",".308",".408",".716",".311","19901"
"Matt Duffy","CHC","15","66","58","16","3","0","1","7","6","6","11","1","0",".266",".337",".366",".702",".311","13836"
"Matt Beaty","LAD","18","81","73","18","4","0","2","10","9","6","15","0","0",".250",".316",".397",".713",".311","17710"
"Tim Beckham","CHW","4","16","15","4","1","0","1","2","2","1","4","0","0",".241",".298",".423",".720",".311","7949"
"Danny Santana","BOS","12","49","45","11","2","0","2","7","6","3","13","1","0",".241",".297",".427",".724",".310","10322"
"Sean Murphy","OAK","38","149","132","29","6","0","6","17","18","13","39","0","0",".223",".303",".412",".715",".310","19352"
"Freddy Galvis","BAL","38","158","144","36","7","1","6","18","18","11","35","1","0",".246",".300",".421",".721",".310","6609"
"Lourdes Gurriel Jr.","TOR","52","230","215","54","11","1","9","28","28","12","50","2","1",".252",".295",".426",".721",".309","19238"
"Clint Frazier","NYY","28","119","105","23","5","0","4","14","13","12","34","1","0",".224",".310",".397",".707",".309","15983"
"Ryan Jeffers","MIN","19","74","66","15","3","0","3","9","9","7","22","0","0",".227",".303",".407",".711",".309","24618"
"Ehire Adrianza","ATL","20","84","75","19","4","0","2","10","8","7","16","1","0",".250",".321",".386",".706",".309","8418"
"Tyrone Taylor","MIL","15","64","58","14","3","0","3","7","8","4","15","1","0",".236",".296",".422",".718",".309","13675"
"Starlin Castro","WSN","1","5","5","1","0","0","0","1","1","0","1","0","0",".268",".316",".397",".713",".309","4579"
"Ramon Urias","BAL","18","77","69","16","3","0","2","9","8","6","20","1","0",".239",".311",".396",".707",".309","18795"
"Lewin Diaz","MIA","10","41","38","9","2","0","2","4","6","2","10","0","0",".235",".287",".442",".729",".309","18365"
"Danny Jansen","TOR","26","106","94","21","4","0","4","13","12","10","25","0","0",".222",".307",".402",".709",".309","16535"
"Curtis Terry","TEX","21","87","80","19","4","0","3","10","10","5","25","0","0",".234",".295",".419",".715",".308","18881"
"William Contreras","ATL","8","30","28","7","1","0","1","3","4","2","8","0","0",".246",".302",".412",".714",".308","20503"
"Luis Torrens","SEA","32","130","117","27","5","0","5","14","16","10","32","0","0",".233",".299",".415",".714",".308","15905"
"Jose Miranda","MIN","25","103","95","24","5","0","3","11","12","6","16","0","0",".255",".306",".411",".717",".308","sa917952"
"Tommy Edman","STL","54","233","214","57","11","2","4","29","21","15","38","8","2",".264",".316",".390",".706",".308","19470"
"Manny Pina","MIL","21","83","74","17","3","0","3","9","10","7","19","0","0",".234",".305",".403",".709",".308","2829"
"Kyle Farmer","CIN","23","105","96","24","5","0","3","12","12","6","21","1","0",".247",".303",".408",".711",".308","14813"
"Maikel Franco","BAL","46","193","178","43","8","0","8","21","24","13","32","0","0",".242",".295",".426",".721",".307","12179"
"Bobby Dalbec","BOS","40","172","155","34","7","1","8","21","22","13","63","1","0",".220",".290",".426",".716",".307","19966"
"Nick Solak","TEX","43","179","162","40","7","1","5","20","18","13","41","3","1",".248",".313",".389",".702",".307","19294"
"Yoshi Tsutsugo","LAD","1","3","3","1","0","0","0","0","0","0","1","0","0",".215",".308",".395",".703",".307","27459"
"Yadier Molina","STL","45","177","160","41","8","0","5","19","20","10","30","1","0",".256",".306",".403",".709",".307","7007"
"Austin Barnes","LAD","22","92","80","18","4","0","3","11","10","9","23","1","0",".229",".317",".381",".698",".307","12158"
"John Nogowski","PIT","24","102","90","22","4","0","2","10","10","10","17","0","0",".246",".325",".369",".694",".306","16852"
"Abraham Toro","SEA","12","51","46","11","2","0","2","6","5","4","11","1","0",".232",".307",".397",".704",".306","19844"
"Pablo Sandoval","ATL","8","33","30","7","1","0","1","4","4","3","8","0","0",".232",".299",".410",".709",".306","5409"
"Yadiel Hernandez","WSN","6","28","25","6","1","0","1","3","3","3","7","0","0",".242",".315",".390",".705",".306","19334"
"Eric Haase","DET","42","164","149","31","6","1","9","19","23","12","60","1","0",".211",".275",".441",".716",".306","14111"
"Zack Short","DET","19","80","70","15","3","0","3","9","9","9","24","1","0",".210",".310",".387",".696",".306","19562"
"Kurt Suzuki","LAA","22","85","76","18","3","0","3","10","10","5","16","0","0",".239",".305",".397",".702",".306","8259"
"Joey Wendle","TBR","43","189","172","44","10","1","4","22","19","12","42","5","1",".255",".313",".393",".706",".306","13853"
"Jake Marisnick","CHC","26","115","104","24","5","1","5","14","13","7","35","3","1",".227",".290",".419",".709",".306","11339"
"Jason Castro","HOU","20","78","67","14","3","0","2","9","9","9","25","0","0",".212",".315",".378",".692",".305","8722"
"Jose Marmolejos","SEA","6","26","23","5","1","0","1","3","3","2","7","0","0",".230",".304",".402",".706",".305","15767"
"Mitch Moreland","OAK","37","158","141","31","6","0","7","18","19","14","39","0","0",".223",".298",".408",".707",".305","3086"
"Chas McCormick","HOU","22","96","86","20","4","0","3","12","11","8","23","2","0",".234",".305",".397",".701",".305","19599"
"Thairo Estrada","SFG","19","81","74","19","3","0","2","9","8","5","18","1","0",".260",".312",".388",".700",".305","16426"
"Jace Peterson","MIL","13","59","51","12","2","0","1","7","6","7","14","1","0",".227",".322",".365",".688",".305","12325"
"Stephen Vogt","ATL","19","76","68","15","3","0","3","9","9","7","18","0","0",".228",".299",".408",".707",".305","5000"
"Hoy Jun Park","PIT","9","39","34","8","2","0","1","4","3","4","9","1","0",".237",".329",".358",".687",".305","18027"
"Jesus Sanchez","MIA","41","172","159","39","8","1","5","18","19","11","44","1","0",".248",".301",".407",".707",".305","19913"
"Michael Chavis","BOS","5","21","19","4","1","0","1","3","2","1","7","0","0",".232",".291",".415",".706",".304","17321"
"Jonathan Villar","NYM","40","175","157","38","6","1","5","23","17","15","47","9","2",".240",".310",".387",".697",".304","10071"
"Austin Nola","SDP","31","126","113","27","6","0","3","14","14","11","25","0","0",".243",".317",".376",".693",".304","15941"
"Alex Avila","WSN","16","63","52","10","2","0","2","7","7","9","22","0","0",".202",".329",".353",".682",".304","7476"
