"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Donovan Walton","SEA","4","16","14","3","1","0","0","2","1","1","3","0","0",".230",".298",".333",".631",".280","19314"
"Jose Briceno","","2","10","10","2","0","0","0","1","1","1","3","0","0",".221",".265",".385",".650",".280","13151"
"Rafael Marchan","PHI","1","5","5","1","0","0","0","1","0","0","1","0","0",".246",".300",".335",".636",".280","21646"
"Mickey Moniak","PHI","7","32","30","7","2","0","1","3","3","2","10","0","0",".225",".277",".372",".648",".280","19956"
"Kevin Kiermaier","TBR","40","173","156","35","7","2","3","20","15","13","45","6","2",".222",".290",".348",".638",".280","11038"
"Kean Wong","LAA","2","8","7","2","0","0","0","1","1","0","2","0","0",".238",".292",".347",".639",".280","15994"
"Ernie Clement","CLE","12","49","45","12","3","0","0","5","4","3","6","1","0",".257",".303",".332",".635",".280","20352"
"JaCoby Jones","DET","2","8","7","1","0","0","0","1","1","1","3","0","0",".213",".279",".360",".639",".280","14818"
"Breyvic Valera","TOR","5","20","19","4","1","0","0","2","2","2","3","0","0",".235",".297",".337",".635",".280","12758"
"Ben Rortvedt","MIN","5","20","18","4","1","0","1","2","2","2","5","0","0",".217",".286",".353",".639",".280","20287"
"Jonathan Davis","TOR","1","6","5","1","0","0","0","1","1","1","2","0","0",".208",".295",".331",".626",".279","15104"
"Lane Thomas","STL","9","37","33","7","1","0","1","4","3","3","11","1","0",".212",".284",".351",".635",".279","16939"
"Elvis Andrus","OAK","51","220","201","49","10","1","3","24","18","13","40","6","2",".244",".293",".346",".639",".279","8709"
"Danny Mendick","CHW","23","98","88","20","4","0","2","10","9","8","22","1","0",".222",".293",".337",".630",".279","18889"
"Joe Panik","MIA","9","36","32","8","1","0","0","3","3","3","5","0","0",".233",".303",".328",".631",".279","11936"
"Edmundo Sosa","STL","18","76","71","17","3","0","1","8","7","3","17","1","0",".242",".288",".350",".639",".279","17022"
"Shed Long Jr.","SEA","38","161","146","31","6","1","4","17","15","13","46","2","1",".215",".285",".350",".635",".279","16542"
"Khalil Lee","NYM","1","3","3","1","0","0","0","0","0","0","1","0","0",".205",".299",".320",".619",".279","19952"
"Taylor Jones","HOU","2","10","9","2","0","0","0","1","1","1","3","0","0",".215",".290",".343",".633",".279","19533"
"Ryan LaMarre","NYY","14","60","54","12","2","0","1","7","5","4","19","1","0",".226",".288",".342",".630",".278","10700"
"DJ Peters","LAD","1","3","3","1","0","0","0","0","0","0","1","0","0",".199",".278",".357",".636",".278","19348"
"Bryan Holaday","ARI","9","36","33","7","2","0","1","3","4","2","8","0","0",".225",".285",".353",".638",".278","11287"
"Sheldon Neuse","LAD","1","5","5","1","0","0","0","1","1","0","2","0","0",".226",".280",".357",".636",".278","19635"
"Jonah Heim","TEX","30","116","107","24","5","0","3","11","11","8","23","1","0",".225",".281",".356",".637",".278","16930"
"Vimael Machin","OAK","3","13","12","3","1","0","0","1","1","1","3","0","0",".228",".303",".329",".632",".278","17684"
"Chadwick Tromp","SFG","1","5","5","1","0","0","0","1","1","0","1","0","0",".220",".276",".360",".636",".277","16953"
"Jose Rondon","STL","4","18","17","4","1","0","0","2","2","1","5","0","0",".222",".277",".359",".635",".277","14140"
"Mark Payton","NYM","1","3","3","1","0","0","0","0","0","0","1","0","0",".221",".286",".347",".633",".277","16042"
"Rene Rivera","WSN","6","23","21","4","1","0","1","2","3","1","8","0","0",".211",".268",".368",".637",".277","3648"
"Braden Bishop","SFG","1","3","3","1","0","0","0","0","0","0","1","0","0",".235",".295",".330",".625",".277","17806"
"Brett Phillips","TBR","10","45","40","8","2","0","1","6","4","5","17","2","0",".191",".284",".343",".626",".277","14735"
"Nicky Lopez","KCR","50","216","194","47","8","2","1","22","15","17","33","3","1",".243",".308",".311",".619",".277","19339"
"Luke Williams","PHI","15","68","62","14","3","0","1","7","6","5","18","1","0",".223",".284",".345",".630",".277","19931"
"Austin Romine","CHC","4","14","13","3","1","0","0","1","1","1","4","0","0",".227",".273",".361",".634",".276","5491"
"Yu-Cheng Chang","CLE","14","60","54","12","3","0","1","6","6","5","18","0","0",".212",".278",".352",".630",".276","14773"
"Erik Gonzalez","PIT","17","74","69","17","3","0","1","7","6","3","16","1","0",".248",".284",".350",".634",".276","13369"
"Derek Hill","DET","14","56","52","11","2","1","1","6","5","4","18","2","0",".221",".282",".346",".628",".276","16947"
"Sean Rodriguez","","5","21","18","3","1","0","1","2","2","2","7","0","0",".189",".283",".335",".618",".276","6589"
"Austin Wynns","BAL","25","97","88","20","3","0","2","9","9","7","23","0","0",".222",".284",".340",".624",".275","15271"
"Charlie Culberson","TEX","13","53","49","11","2","0","1","5","5","3","14","1","0",".225",".277",".356",".634",".275","3298"
